Altitude_km,Mach_0.053,Mach_0.058,Mach_0.064,Mach_0.068,Mach_0.073,Mach_0.078,Mach_0.083,Mach_0.088,Mach_0.093,Mach_0.098,Mach_0.103,Mach_0.108,Mach_0.113,Mach_0.118,Mach_0.123,Mach_0.128,Mach_0.133
0.0,,964.0236253940683,977.3442026232276,1001.3921435461809,1047.5715026498403,1111.0719368369175,1191.5235430956413,1288.7490614541334,1402.715357416648,1533.46562160519,1684.7431037359197,1856.960665782722,2048.532117071331,2259.903347410027,2491.602448548427,2744.1507843977543,3018.165193222608
0.125,,970.1665230909623,981.3627959388414,1003.9494362781263,1048.2226655454033,1109.704453748524,1187.99910584545,1282.9077256519984,1394.3704428440183,1522.4325299279312,1670.7567745313183,1839.7811298956453,2027.8948616347554,2235.5161919851953,2463.213813863203,2711.4682086358807,2980.721378788485
0.25,,976.510603320512,985.5812986502069,1006.7096778577917,1049.0855607031904,1108.5584250400034,1184.7063434655227,1277.3129598707737,1386.3047075813938,1511.6873231717866,1657.1241663284343,1822.9700400518077,2007.6726575114492,2211.606228253356,2435.3174297321098,2679.2846211676965,2943.9791376755534
0.375,,983.0558576763057,989.99999027465,1009.6763310884711,1050.161549030872,1107.6349264935188,1181.6526517139923,1271.9787228100881,1378.5109876643312,1501.2488032822066,1643.8056951340022,1806.530914092918,1987.831860239832,2188.127385172643,2407.858238383142,2647.610986898093,2907.8414146583023
0.5,,989.8146295452831,994.6263102191467,1012.8500595818234,1051.4497972227703,1106.9355653010398,1178.8369783984826,1266.8961272924525,1370.9923858670916,1491.1191141249321,1630.806822849282,1790.4401706177846,1968.379181364827,2165.040030501774,2380.96476024247,2616.530429647917,2872.2233901888117
0.625,,996.7786809101865,999.4644381687123,1016.2345023825222,1052.9570104091126,1106.46187708811,1176.259185694135,1262.0679250406224,1363.7515240493397,1481.274861807186,1618.1616812693594,1774.7375926398372,1949.3841007926956,2142.5435506434774,2354.6100908642334,2586.1009446000826,2837.490787914052
0.75,,1003.9562742070112,1004.5110735407519,1019.830264333149,1054.6802544195546,1106.2152202035713,1173.9212585421515,1257.4924644566158,1356.7831002090313,1471.744995032086,1605.8255114292258,1759.3684213132685,1930.7858437308707,2120.4485119149235,2328.768388102765,2556.200018544711,2803.290319724673
0.875,,1011.3516125700177,1009.7702173879148,1023.644499969528,1056.6223470945317,1106.1976445904077,1171.8238427132221,1253.1800195016467,1350.090347756291,1462.5077653039968,1593.8209023826469,1744.38630635759,1912.588625138902,2098.7635424158357,2303.3891351693055,2526.8337602191414,2769.6336330732324
1.0,,1018.964615544278,1015.2460052777825,1027.6745659047258,1058.7890078061203,1106.4105640565786,1169.9697954416254,1249.1245378355407,1343.682496203413,1453.5672435097808,1582.1507165899816,1729.7471665855564,1894.7659471016505,2077.535518934593,2278.4793104667533,2498.007201879004,2736.5309106171135
1.125,,1026.8087731089383,1020.9503324624288,1031.9387762574374,1061.207242827592,1106.8973162608647,1168.4191256362371,1245.4076677084142,1337.6582506935672,1445.0704251008663,1570.9654129515359,1715.6459927244473,1877.4938812539328,2056.8578405159183,2254.1559046868147,2469.80966302904,2704.1941299663526
1.25,,1034.8744713962883,1026.8794065090135,1036.429675931466,1063.8511051077494,1107.6182612132013,1167.1125544493675,1241.9498777254296,1331.9073668683538,1436.8626101625712,1560.1005115400874,1701.8708120885997,1860.60284122555,2036.6407513761533,2230.311225656255,2442.0995545817304,2672.3445295318124
1.375,,,1033.0294040057909,1041.1405890302046,1066.7243316500678,1108.5733985162615,1166.0506554860328,1238.750496652267,1326.4326847594255,1428.9656796240704,1549.5595493723067,1688.4674342190276,1844.0977229169266,2016.815082291451,2206.949254356542,2414.8855138487975,2641.0673922455094
1.5,,,1039.4087212976247,1046.0830807752598,1069.8248157161152,1109.7636271249362,1165.235486433251,1235.8116791457412,1321.2318925399868,1421.3551732420526,1539.332701290148,1675.4000413144026,1827.982639355412,1997.3891876272348,2184.029936054533,2388.1749724975166,2610.2996806194424
1.625,,,1045.6608933516045,1050.8334126976642,1072.661203713711,1110.6073086791366,1163.987728726292,1232.3537738328866,1315.4259759338254,1413.0482989227087,1528.3077958195493,1661.424497844157,1810.8481151490937,1976.8698352803367,2159.83869694441,2360.142644226262,2578.0681883083707
1.75,,,1052.158873751542,1055.8340774601559,1075.7490956678803,1111.7119121314138,1163.0129564256802,1229.1832622807071,1309.9286965183844,1405.0763261887078,1517.6426805279139,1647.8374834535437,1794.1353052863526,1956.8124969126743,2136.2031075376126,2332.6360204163234,2546.497481652578
1.875,,,1058.9024607918836,1061.081240683724,1079.0887656579105,1113.0781378483964,1162.3130147406855,1226.3043003604018,1304.741703751116,1397.434036145697,1507.3397689689964,1634.658064348616,1777.8483027624175,1937.2216010716977,2113.0460177462487,2305.7124500175846,2515.5269232567643
2.0,,,1065.9001950824345,1066.5830298483238,1082.6873521301175,1114.708999553366,1161.887865431701,1223.7151232032081,1299.860143953945,1390.12389627897,1497.3908745982903,1621.8566246627217,1761.9903926648751,1918.0727145259277,2090.411853689432,2279.3270587172965,2485.104379426404
2.125,,,1073.1518999304615,1072.3395395552218,1086.5417085011647,1116.6051321887237,1161.7406040820306,1221.418771642459,1295.2924021125414,1383.147836708096,1487.8085632706964,1609.437659655493,1746.5443009354046,1899.3990112881131,2068.2677872143786,2253.441624856044,2455.3538945177643
2.25,,,1080.66179466447,1078.3506717100208,1090.659306494853,1118.7726974814989,1161.872413470782,1219.4154131586,1291.0342599963521,1376.502155190898,1478.5760251039692,1597.4048995729893,1731.5147965251572,1881.1513132679006,2046.5861673424092,2228.1526294202185,2426.1107924290204
2.375,,,1088.4295431790704,1084.624908836539,1095.0405119572383,1121.206587349289,1162.2859962954876,1217.7066221114262,1287.0897617071917,1370.1845483307739,1469.6970836950925,1585.7613542882414,1716.905803924954,1863.3863796865649,2025.4400711695528,2203.3766254273064,2397.4941735896537
2.5,,,1096.4639707588533,1091.1577650872111,1099.6854571359456,1123.913016623845,1162.9804108688058,1216.2940704258235,1283.4563901182091,1364.2066137823335,1461.1824669420535,1574.4975725711988,1702.7204535257308,1846.0580689199903,2004.7677492457112,2179.121945501247,2369.4557034846875
2.625,,,1104.7647290198695,1097.9623661106366,1104.6021880905967,1126.8957516445585,1163.9603570314598,1215.178575703823,1280.136409442606,1358.5570233153126,1453.0189917058658,1563.6284700055858,1688.9450984319299,1829.1946195695793,1984.6053464885722,2155.4333212431866,2342.0018212970394
2.75,,,1113.3408150153043,1105.0341229876092,1109.7909780377,1130.1553658411763,1165.224436180238,1214.361564514534,1277.1324985557574,1353.2458743992813,1445.2167484970958,1553.1343397124292,1675.5992007379787,1812.777052208106,1964.92684582906,2132.275690430788,2315.0920476875554
2.875,,,1122.1918430884255,1112.3819341251399,1115.251868904782,1133.69575111952,1166.778033238235,1213.8463413433567,1274.4433022893497,1348.2647390768911,1437.7711895161794,1543.0391034516615,1662.6550838643968,1796.8097430700946,1945.7105877476397,2109.6194493073717,2288.7798802625503
3.0,,,,1120.0056030671537,1120.989026127466,1137.5173239440023,1168.622071796877,1213.6318182301225,1272.07214541072,1343.6222099186386,1430.68472016126,1533.3154675176074,1650.1315044520609,1781.2773076713058,1926.9895744309415,2087.5059430097235,2263.06807086277
