Altitude_km,Mach_min,CL_max,V_min_ms
0.0,0.0535,1.41583,18.19
0.01099,0.0535,1.41582,18.2
0.04236,0.0536,1.4158,18.23
0.07364,0.0537,1.41578,18.26
0.10485,0.0538,1.41576,18.29
0.13597,0.0539,1.41574,18.31
0.16702,0.054,1.41572,18.34
0.19798,0.0541,1.4157,18.37
0.22887,0.0542,1.41569,18.4
0.25968,0.0543,1.41567,18.42
0.29041,0.0544,1.41565,18.45
0.32106,0.0545,1.41563,18.48
0.35163,0.0546,1.41561,18.51
0.38213,0.0547,1.41559,18.53
0.41254,0.0548,1.41557,18.56
0.44289,0.0549,1.41555,18.59
0.47315,0.055,1.41553,18.62
0.50334,0.0551,1.41551,18.64
0.53346,0.0552,1.41549,18.67
0.5635,0.0553,1.41547,18.7
0.59346,0.0554,1.41545,18.73
0.62335,0.0555,1.41543,18.75
0.65316,0.0556,1.41541,18.78
0.68291,0.0557,1.41539,18.81
0.71257,0.0558,1.41537,18.84
0.74217,0.0559,1.41536,18.86
0.77169,0.056,1.41534,18.89
0.80113,0.0561,1.41532,18.92
0.83051,0.0562,1.4153,18.94
0.85981,0.0563,1.41528,18.97
0.88904,0.0564,1.41526,19.0
0.9182,0.0565,1.41524,19.03
0.94729,0.0566,1.41522,19.05
0.97631,0.0567,1.4152,19.08
1.00525,0.0568,1.41518,19.11
1.03413,0.0569,1.41516,19.14
1.06294,0.057,1.41514,19.16
1.09167,0.0571,1.41512,19.19
1.12034,0.0572,1.4151,19.22
1.14894,0.0573,1.41508,19.24
1.17747,0.0574,1.41506,19.27
1.20593,0.0575,1.41504,19.3
1.23432,0.0576,1.41503,19.33
1.26264,0.0577,1.41501,19.35
1.2909,0.0578,1.41499,19.38
1.31908,0.0579,1.41497,19.41
1.34721,0.058,1.41495,19.44
1.37526,0.0581,1.41493,19.46
1.40325,0.0582,1.41491,19.49
1.43117,0.0583,1.41489,19.52
1.45902,0.0584,1.41487,19.54
1.48681,0.0585,1.41485,19.57
1.51453,0.0586,1.41483,19.6
1.54219,0.0587,1.41481,19.63
1.56978,0.0588,1.41479,19.65
1.59731,0.0589,1.41477,19.68
1.62478,0.059,1.41475,19.71
1.65217,0.0591,1.41473,19.73
1.67951,0.0592,1.41472,19.76
1.70678,0.0593,1.4147,19.79
1.73399,0.0594,1.41468,19.81
1.76113,0.0595,1.41466,19.84
1.78821,0.0596,1.41464,19.87
1.81523,0.0597,1.41462,19.9
1.84219,0.0598,1.4146,19.92
1.86908,0.0599,1.41458,19.95
1.89591,0.06,1.41456,19.98
1.92268,0.0601,1.41454,20.0
1.94939,0.0602,1.41452,20.03
1.97604,0.0603,1.4145,20.06
2.00263,0.0604,1.41448,20.08
2.02915,0.0605,1.41446,20.11
2.05562,0.0606,1.41444,20.14
2.08202,0.0607,1.41442,20.17
2.10836,0.0608,1.4144,20.19
2.13465,0.0609,1.41439,20.22
2.16087,0.061,1.41437,20.25
2.18704,0.0611,1.41435,20.27
2.21314,0.0612,1.41433,20.3
2.23919,0.0613,1.41431,20.33
2.26518,0.0614,1.41429,20.35
2.29111,0.0615,1.41427,20.38
2.31698,0.0616,1.41425,20.41
2.3428,0.0617,1.41423,20.43
2.36855,0.0618,1.41421,20.46
2.39425,0.0619,1.41419,20.49
2.41989,0.062,1.41417,20.51
2.44547,0.0621,1.41415,20.54
2.471,0.0622,1.41413,20.57
2.49647,0.0623,1.41411,20.6
2.52189,0.0624,1.41409,20.62
2.54724,0.0625,1.41407,20.65
2.57254,0.0626,1.41406,20.68
2.59779,0.0627,1.41404,20.7
2.62298,0.0628,1.41402,20.73
2.64811,0.0629,1.414,20.76
2.67319,0.063,1.41398,20.78
2.69822,0.0631,1.41396,20.81
2.72319,0.0632,1.41394,20.84
2.7481,0.0633,1.41392,20.86
2.77296,0.0634,1.4139,20.89
2.79777,0.0635,1.41388,20.92
2.82252,0.0636,1.41386,20.94
2.84722,0.0637,1.41384,20.97
2.87187,0.0638,1.41382,21.0
2.89646,0.0639,1.4138,21.02
2.921,0.064,1.41378,21.05
2.94548,0.0641,1.41376,21.08
2.96991,0.0642,1.41375,21.1
2.99429,0.0643,1.41373,21.13
3.01862,0.0644,1.41371,21.16
3.0429,0.0645,1.41369,21.18
3.06712,0.0646,1.41367,21.21
3.09129,0.0647,1.41365,21.24
3.11541,0.0648,1.41363,21.26
3.13948,0.0649,1.41361,21.29
3.1635,0.065,1.41359,21.32
3.18747,0.0651,1.41357,21.34
3.21138,0.0652,1.41355,21.37
3.23525,0.0653,1.41353,21.4
3.25906,0.0654,1.41351,21.42
3.28282,0.0655,1.41349,21.45
3.30654,0.0656,1.41347,21.48
3.3302,0.0657,1.41345,21.5
3.35382,0.0658,1.41343,21.53
3.37738,0.0659,1.41342,21.55
3.4009,0.066,1.4134,21.58
3.42436,0.0661,1.41338,21.61
3.44778,0.0662,1.41336,21.63
3.47115,0.0663,1.41334,21.66
3.49447,0.0664,1.41332,21.69
3.51774,0.0665,1.4133,21.71
3.54096,0.0666,1.41328,21.74
3.56413,0.0667,1.41326,21.77
3.58726,0.0668,1.41324,21.79
3.61034,0.0669,1.41322,21.82
3.63337,0.067,1.4132,21.85
3.65635,0.0671,1.41318,21.87
3.67929,0.0672,1.41316,21.9
3.70217,0.0673,1.41314,21.93
3.72502,0.0674,1.41312,21.95
3.74781,0.0675,1.4131,21.98
3.77056,0.0676,1.41309,22.0
3.79326,0.0677,1.41307,22.03
3.81592,0.0678,1.41305,22.06
3.83852,0.0679,1.41303,22.08
3.86109,0.068,1.41301,22.11
3.88361,0.0681,1.41299,22.14
3.90608,0.0682,1.41297,22.16
3.9285,0.0683,1.41295,22.19
3.95088,0.0684,1.41293,22.22
3.97322,0.0685,1.41291,22.24
3.99551,0.0686,1.41289,22.27
4.01775,0.0687,1.41287,22.29
4.03995,0.0688,1.41285,22.32
4.06211,0.0689,1.41283,22.35
4.08422,0.069,1.41281,22.37
4.10629,0.0691,1.41279,22.4
4.12831,0.0692,1.41278,22.43
4.15029,0.0693,1.41276,22.45
4.17223,0.0694,1.41274,22.48
4.19412,0.0695,1.41272,22.5
4.21597,0.0696,1.4127,22.53
4.23777,0.0697,1.41268,22.56
4.25953,0.0698,1.41266,22.58
4.28125,0.0699,1.41264,22.61
4.30293,0.07,1.41262,22.64
4.32456,0.0701,1.4126,22.66
4.34615,0.0702,1.41258,22.69
4.3677,0.0703,1.41256,22.71
4.3892,0.0704,1.41254,22.74
4.41066,0.0705,1.41252,22.77
4.43209,0.0706,1.4125,22.79
4.45346,0.0707,1.41248,22.82
4.4748,0.0708,1.41246,22.84
4.4961,0.0709,1.41245,22.87
4.51735,0.071,1.41243,22.9
4.53856,0.0711,1.41241,22.92
4.55973,0.0712,1.41239,22.95
4.58086,0.0713,1.41237,22.98
4.60195,0.0714,1.41235,23.0
4.623,0.0715,1.41233,23.03
4.64401,0.0716,1.41231,23.05
4.66498,0.0717,1.41229,23.08
4.6859,0.0718,1.41227,23.11
4.70679,0.0719,1.41225,23.13
4.72764,0.072,1.41223,23.16
4.74844,0.0721,1.41221,23.18
4.76921,0.0722,1.41219,23.21
4.78994,0.0723,1.41217,23.24
4.81062,0.0724,1.41215,23.26
4.83127,0.0725,1.41213,23.29
4.85188,0.0726,1.41212,23.31
4.87245,0.0727,1.4121,23.34
4.89298,0.0728,1.41208,23.37
4.91347,0.0729,1.41206,23.39
4.93392,0.073,1.41204,23.42
4.95433,0.0731,1.41202,23.44
4.97471,0.0732,1.412,23.47
4.99504,0.0733,1.41198,23.5
5.01534,0.0734,1.41196,23.52
5.0356,0.0735,1.41194,23.55
5.05582,0.0736,1.41192,23.57
5.076,0.0737,1.4119,23.6
5.09615,0.0738,1.41188,23.63
5.11626,0.0739,1.41186,23.65
5.13633,0.074,1.41184,23.68
5.15636,0.0741,1.41182,23.7
5.17636,0.0742,1.41181,23.73
5.19631,0.0743,1.41179,23.76
5.21624,0.0744,1.41177,23.78
5.23612,0.0745,1.41175,23.81
5.25597,0.0746,1.41173,23.83
