Altitude_km,Mach_perm,CL_perm,V_perm_ms
0.0,0.0598,1.13266,20.35
0.01099,0.0535,1.13266,18.2
0.04236,0.0536,1.13264,18.23
0.07364,0.0537,1.13262,18.26
0.10485,0.0538,1.13261,18.29
0.13597,0.0539,1.13259,18.31
0.16702,0.054,1.13258,18.34
0.19798,0.0541,1.13256,18.37
0.22887,0.0542,1.13255,18.4
0.25968,0.0543,1.13254,18.42
0.29041,0.0544,1.13252,18.45
0.32106,0.0545,1.1325,18.48
0.35163,0.0546,1.13249,18.51
0.38213,0.0547,1.13247,18.53
0.41254,0.0548,1.13246,18.56
0.44289,0.0549,1.13244,18.59
0.47315,0.055,1.13242,18.62
0.50334,0.0551,1.13241,18.64
0.53346,0.0552,1.13239,18.67
0.5635,0.0553,1.13238,18.7
0.59346,0.0554,1.13236,18.73
0.62335,0.0555,1.13234,18.75
0.65316,0.0556,1.13233,18.78
0.68291,0.0557,1.13231,18.81
0.71257,0.0558,1.1323,18.84
0.74217,0.0559,1.13229,18.86
0.77169,0.056,1.13227,18.89
0.80113,0.0561,1.13226,18.92
0.83051,0.0562,1.13224,18.94
0.85981,0.0563,1.13222,18.97
0.88904,0.0564,1.13221,19.0
0.9182,0.0565,1.13219,19.03
0.94729,0.0566,1.13218,19.05
0.97631,0.0567,1.13216,19.08
1.00525,0.0568,1.13214,19.11
1.03413,0.0569,1.13213,19.14
1.06294,0.057,1.13211,19.16
1.09167,0.0571,1.1321,19.19
1.12034,0.0572,1.13208,19.22
1.14894,0.0573,1.13206,19.24
1.17747,0.0574,1.13205,19.27
1.20593,0.0575,1.13203,19.3
1.23432,0.0576,1.13202,19.33
1.26264,0.0577,1.13201,19.35
1.2909,0.0578,1.13199,19.38
1.31908,0.0579,1.13198,19.41
1.34721,0.058,1.13196,19.44
1.37526,0.0581,1.13194,19.46
1.40325,0.0582,1.13193,19.49
1.43117,0.0583,1.13191,19.52
1.45902,0.0584,1.1319,19.54
1.48681,0.0585,1.13188,19.57
1.51453,0.0586,1.13186,19.6
1.54219,0.0587,1.13185,19.63
1.56978,0.0588,1.13183,19.65
1.59731,0.0589,1.13182,19.68
1.62478,0.059,1.1318,19.71
1.65217,0.0591,1.13178,19.73
1.67951,0.0592,1.13178,19.76
1.70678,0.0593,1.13176,19.79
1.73399,0.0594,1.13174,19.81
1.76113,0.0595,1.13173,19.84
1.78821,0.0596,1.13171,19.87
1.81523,0.0597,1.1317,19.9
1.84219,0.0598,1.13168,19.92
1.86908,0.0599,1.13166,19.95
1.89591,0.06,1.13165,19.98
1.92268,0.0601,1.13163,20.0
1.94939,0.0602,1.13162,20.03
1.97604,0.0603,1.1316,20.06
2.00263,0.0604,1.13158,20.08
2.02915,0.0605,1.13157,20.11
2.05562,0.0606,1.13155,20.14
2.08202,0.0607,1.13154,20.17
2.10836,0.0608,1.13152,20.19
2.13465,0.0609,1.13151,20.22
2.16087,0.061,1.1315,20.25
2.18704,0.0611,1.13148,20.27
2.21314,0.0612,1.13146,20.3
2.23919,0.0613,1.13145,20.33
2.26518,0.0614,1.13143,20.35
2.29111,0.0615,1.13142,20.38
2.31698,0.0616,1.1314,20.41
2.3428,0.0617,1.13138,20.43
2.36855,0.0618,1.13137,20.46
2.39425,0.0619,1.13135,20.49
2.41989,0.062,1.13134,20.51
2.44547,0.0621,1.13132,20.54
2.471,0.0622,1.1313,20.57
2.49647,0.0623,1.13129,20.6
2.52189,0.0624,1.13127,20.62
2.54724,0.0625,1.13126,20.65
2.57254,0.0626,1.13125,20.68
2.59779,0.0627,1.13123,20.7
2.62298,0.0628,1.13122,20.73
2.64811,0.0629,1.1312,20.76
2.67319,0.063,1.13118,20.78
2.69822,0.0631,1.13117,20.81
2.72319,0.0632,1.13115,20.84
2.7481,0.0633,1.13114,20.86
2.77296,0.0634,1.13112,20.89
2.79777,0.0635,1.1311,20.92
2.82252,0.0636,1.13109,20.94
2.84722,0.0637,1.13107,20.97
2.87187,0.0638,1.13106,21.0
2.89646,0.0639,1.13104,21.02
2.921,0.064,1.13102,21.05
2.94548,0.0641,1.13101,21.08
2.96991,0.0642,1.131,21.1
2.99429,0.0643,1.13098,21.13
3.01862,0.0644,1.13097,21.16
3.0429,0.0645,1.13095,21.18
3.06712,0.0646,1.13094,21.21
3.09129,0.0647,1.13092,21.24
3.11541,0.0648,1.1309,21.26
3.13948,0.0649,1.13089,21.29
3.1635,0.065,1.13087,21.32
3.18747,0.0651,1.13086,21.34
3.21138,0.0652,1.13084,21.37
3.23525,0.0653,1.13082,21.4
3.25906,0.0654,1.13081,21.42
3.28282,0.0655,1.13079,21.45
3.30654,0.0656,1.13078,21.48
3.3302,0.0657,1.13076,21.5
3.35382,0.0658,1.13074,21.53
3.37738,0.0659,1.13074,21.55
3.4009,0.066,1.13072,21.58
3.42436,0.0661,1.1307,21.61
3.44778,0.0662,1.13069,21.63
3.47115,0.0663,1.13067,21.66
3.49447,0.0664,1.13066,21.69
3.51774,0.0665,1.13064,21.71
3.54096,0.0666,1.13062,21.74
3.56413,0.0667,1.13061,21.77
3.58726,0.0668,1.13059,21.79
3.61034,0.0669,1.13058,21.82
3.63337,0.067,1.13056,21.85
3.65635,0.0671,1.13054,21.87
3.67929,0.0672,1.13053,21.9
3.70217,0.0673,1.13051,21.93
3.72502,0.0674,1.1305,21.95
3.74781,0.0675,1.13048,21.98
3.77056,0.0676,1.13047,22.0
3.79326,0.0677,1.13046,22.03
3.81592,0.0678,1.13044,22.06
3.83852,0.0679,1.13042,22.08
3.86109,0.068,1.13041,22.11
3.88361,0.0681,1.13039,22.14
3.90608,0.0682,1.13038,22.16
3.9285,0.0683,1.13036,22.19
3.95088,0.0684,1.13034,22.22
3.97322,0.0685,1.13033,22.24
3.99551,0.0686,1.13031,22.27
4.01775,0.0687,1.1303,22.29
4.03995,0.0688,1.13028,22.32
4.06211,0.0689,1.13026,22.35
4.08422,0.069,1.13025,22.37
4.10629,0.0691,1.13023,22.4
4.12831,0.0692,1.13022,22.43
4.15029,0.0693,1.13021,22.45
4.17223,0.0694,1.13019,22.48
4.19412,0.0695,1.13018,22.5
4.21597,0.0696,1.13016,22.53
4.23777,0.0697,1.13014,22.56
4.25953,0.0698,1.13013,22.58
4.28125,0.0699,1.13011,22.61
4.30293,0.07,1.1301,22.64
4.32456,0.0701,1.13008,22.66
4.34615,0.0702,1.13006,22.69
4.3677,0.0703,1.13005,22.71
4.3892,0.0704,1.13003,22.74
4.41066,0.0705,1.13002,22.77
4.43209,0.0706,1.13,22.79
4.45346,0.0707,1.12998,22.82
4.4748,0.0708,1.12997,22.84
4.4961,0.0709,1.12996,22.87
4.51735,0.071,1.12994,22.9
4.53856,0.0711,1.12993,22.92
4.55973,0.0712,1.12991,22.95
4.58086,0.0713,1.1299,22.98
4.60195,0.0714,1.12988,23.0
4.623,0.0715,1.12986,23.03
4.64401,0.0716,1.12985,23.05
4.66498,0.0717,1.12983,23.08
4.6859,0.0718,1.12982,23.11
4.70679,0.0719,1.1298,23.13
4.72764,0.072,1.12978,23.16
4.74844,0.0721,1.12977,23.18
4.76921,0.0722,1.12975,23.21
4.78994,0.0723,1.12974,23.24
4.81062,0.0724,1.12972,23.26
4.83127,0.0725,1.1297,23.29
4.85188,0.0726,1.1297,23.31
4.87245,0.0727,1.12968,23.34
4.89298,0.0728,1.12966,23.37
4.91347,0.0729,1.12965,23.39
4.93392,0.073,1.12963,23.42
4.95433,0.0731,1.12962,23.44
4.97471,0.0732,1.1296,23.47
4.99504,0.0733,1.12958,23.5
5.01534,0.0734,1.12957,23.52
5.0356,0.0735,1.12955,23.55
5.05582,0.0736,1.12954,23.57
5.076,0.0737,1.12952,23.6
5.09615,0.0738,1.1295,23.63
5.11626,0.0739,1.12949,23.65
5.13633,0.074,1.12947,23.68
5.15636,0.0741,1.12946,23.7
5.17636,0.0742,1.12945,23.73
5.19631,0.0743,1.12943,23.76
5.21624,0.0744,1.12942,23.78
5.23612,0.0745,1.1294,23.81
5.25597,0.0746,1.12938,23.83
5.27578,0.0747,1.12937,23.86
5.29555,0.0748,1.12935,23.89
5.31529,0.0749,1.12934,23.91
5.33499,0.075,1.12932,23.94
5.35465,0.0751,1.1293,23.96
5.37428,0.0752,1.12929,23.99
5.39387,0.0753,1.12927,24.02
5.41343,0.0754,1.12926,24.04
5.43295,0.0755,1.12924,24.07
5.45243,0.0756,1.12922,24.09
5.47188,0.0757,1.12921,24.12
5.4913,0.0758,1.12919,24.14
5.51067,0.0759,1.12918,24.17
5.53002,0.076,1.12917,24.2
5.54932,0.0761,1.12915,24.22
5.5686,0.0762,1.12914,24.25
5.58783,0.0763,1.12912,24.27
5.60704,0.0764,1.1291,24.3
5.6262,0.0765,1.12909,24.32
5.64534,0.0766,1.12907,24.35
5.66443,0.0767,1.12906,24.38
5.6835,0.0768,1.12904,24.4
5.70253,0.0769,1.12902,24.43
5.72152,0.077,1.12901,24.45
5.74049,0.0771,1.12899,24.48
5.75941,0.0772,1.12898,24.51
5.77831,0.0773,1.12896,24.53
5.79717,0.0774,1.12894,24.56
5.81599,0.0775,1.12893,24.58
5.83478,0.0776,1.12892,24.61
5.85354,0.0777,1.1289,24.63
5.87227,0.0778,1.12889,24.66
5.89096,0.0779,1.12887,24.69
5.90962,0.078,1.12886,24.71
5.92825,0.0781,1.12884,24.74
5.94684,0.0782,1.12882,24.76
5.9654,0.0783,1.12881,24.79
5.98393,0.0784,1.12879,24.81
6.00242,0.0785,1.12878,24.84
6.02089,0.0786,1.12876,24.86
6.03931,0.0787,1.12874,24.89
6.05771,0.0788,1.12873,24.92
6.07608,0.0789,1.12871,24.94
6.09441,0.079,1.1287,24.97
6.11271,0.0791,1.12868,24.99
6.13098,0.0792,1.12867,25.02
6.14922,0.0793,1.12866,25.04
6.16742,0.0794,1.12864,25.07
6.1856,0.0795,1.12862,25.1
6.20374,0.0796,1.12861,25.12
6.22185,0.0797,1.12859,25.15
6.23993,0.0798,1.12858,25.17
6.25797,0.0799,1.12856,25.2
6.27599,0.08,1.12854,25.22
6.29398,0.0801,1.12853,25.25
6.31193,0.0802,1.12851,25.27
6.32985,0.0803,1.1285,25.3
6.34774,0.0804,1.12848,25.33
6.36561,0.0805,1.12846,25.35
6.38344,0.0806,1.12845,25.38
6.40124,0.0807,1.12843,25.4
6.41901,0.0808,1.12842,25.43
6.43675,0.0809,1.12841,25.45
6.45446,0.081,1.12839,25.48
6.47213,0.0811,1.12838,25.5
6.48978,0.0812,1.12836,25.53
6.5074,0.0813,1.12834,25.56
6.52499,0.0814,1.12833,25.58
6.54255,0.0815,1.12831,25.61
6.56008,0.0816,1.1283,25.63
6.57758,0.0817,1.12828,25.66
6.59505,0.0818,1.12826,25.68
6.61249,0.0819,1.12825,25.71
6.6299,0.082,1.12823,25.73
6.64728,0.0821,1.12822,25.76
6.66463,0.0822,1.1282,25.78
6.68195,0.0823,1.12818,25.81
6.69925,0.0824,1.12817,25.84
6.71651,0.0825,1.12815,25.86
6.73375,0.0826,1.12814,25.89
6.75095,0.0827,1.12813,25.91
6.76813,0.0828,1.12811,25.94
6.78528,0.0829,1.1281,25.96
6.8024,0.083,1.12808,25.99
6.81949,0.0831,1.12806,26.01
6.83656,0.0832,1.12805,26.04
6.85359,0.0833,1.12803,26.06
6.8706,0.0834,1.12802,26.09
