Altitude_km,Mach_0.053,Mach_0.058,Mach_0.064,Mach_0.068,Mach_0.073,Mach_0.078,Mach_0.083,Mach_0.088,Mach_0.093,Mach_0.098,Mach_0.103,Mach_0.108,Mach_0.113,Mach_0.118,Mach_0.123,Mach_0.128,Mach_0.133
0.0,,1.20308,0.98807,0.87525,0.75946,0.66521,0.58748,0.52262,0.46793,0.4214,0.38148,0.34698,0.31695,0.29066,0.26751,0.24702,0.22879
0.125,,1.22107,1.00285,0.88834,0.77081,0.67516,0.59626,0.53043,0.47493,0.4277,0.38719,0.35217,0.32169,0.29501,0.27151,0.25071,0.23222
0.25,,1.23938,1.01789,0.90166,0.78237,0.68528,0.60521,0.53839,0.48205,0.43412,0.39299,0.35745,0.32651,0.29943,0.27558,0.25447,0.2357
0.375,,1.25801,1.03319,0.91522,0.79414,0.69559,0.61431,0.54648,0.4893,0.44065,0.3989,0.36282,0.33142,0.30393,0.27973,0.2583,0.23924
0.5,,1.27699,1.04877,0.92902,0.80611,0.70608,0.62357,0.55472,0.49668,0.44729,0.40492,0.36829,0.33642,0.30852,0.28394,0.26219,0.24285
0.625,,1.2963,1.06464,0.94307,0.81831,0.71676,0.633,0.56311,0.50419,0.45406,0.41104,0.37386,0.34151,0.31318,0.28824,0.26616,0.24652
0.75,,1.31596,1.08079,0.95737,0.83072,0.72763,0.6426,0.57166,0.51184,0.46094,0.41728,0.37954,0.34669,0.31793,0.29261,0.2702,0.25026
0.875,,1.33598,1.09723,0.97194,0.84335,0.7387,0.65238,0.58035,0.51963,0.46795,0.42363,0.38531,0.35196,0.32277,0.29706,0.27431,0.25407
1.0,,1.35636,1.11397,0.98677,0.85622,0.74997,0.66233,0.5892,0.52755,0.47509,0.43009,0.39119,0.35733,0.32769,0.30159,0.27849,0.25795
1.125,,1.37712,1.13101,1.00186,0.86932,0.76144,0.67247,0.59822,0.53562,0.48236,0.43667,0.39717,0.3628,0.33271,0.30621,0.28275,0.26189
1.25,,1.39825,1.14837,1.01724,0.88266,0.77313,0.68278,0.6074,0.54384,0.48977,0.44337,0.40327,0.36837,0.33781,0.31091,0.28709,0.26591
1.375,,,1.16604,1.03289,0.89625,0.78503,0.69329,0.61675,0.55221,0.4973,0.45019,0.40947,0.37404,0.34301,0.31569,0.29151,0.27
1.5,,,1.18404,1.04884,0.91008,0.79714,0.70399,0.62627,0.56074,0.50498,0.45714,0.41579,0.37981,0.34831,0.32056,0.29601,0.27417
1.625,,,1.20237,1.06507,0.92417,0.80948,0.71489,0.63596,0.56942,0.5128,0.46422,0.42223,0.38569,0.3537,0.32553,0.30059,0.27842
1.75,,,1.22104,1.08161,0.93852,0.82205,0.72599,0.64584,0.57826,0.52076,0.47143,0.42879,0.39168,0.35919,0.33058,0.30526,0.28274
1.875,,,1.24005,1.09845,0.95313,0.83485,0.7373,0.65589,0.58726,0.52887,0.47877,0.43546,0.39778,0.36478,0.33573,0.31001,0.28714
2.0,,,1.25942,1.11561,0.96802,0.84789,0.74881,0.66614,0.59644,0.53713,0.48625,0.44226,0.40399,0.37048,0.34097,0.31485,0.29163
2.125,,,1.27915,1.13309,0.98318,0.86117,0.76054,0.67657,0.60578,0.54554,0.49386,0.44919,0.41032,0.37628,0.34631,0.31979,0.29619
2.25,,,1.29925,1.15089,0.99863,0.87471,0.77249,0.6872,0.6153,0.55411,0.50162,0.45625,0.41677,0.3822,0.35176,0.32481,0.30085
2.375,,,1.31972,1.16903,1.01437,0.88849,0.78467,0.69803,0.62499,0.56285,0.50953,0.46344,0.42334,0.38822,0.3573,0.32993,0.30559
2.5,,,1.34058,1.1875,1.0304,0.90253,0.79707,0.70907,0.63487,0.57174,0.51758,0.47077,0.43003,0.39436,0.36295,0.33515,0.31042
2.625,,,1.36183,1.20633,1.04674,0.91684,0.80971,0.72031,0.64494,0.58081,0.52579,0.47823,0.43685,0.40061,0.3687,0.34046,0.31534
2.75,,,1.38349,1.22551,1.06339,0.93142,0.82258,0.73176,0.65519,0.59004,0.53415,0.48584,0.44379,0.40698,0.37456,0.34587,0.32036
2.875,,,1.40556,1.24506,1.08035,0.94628,0.8357,0.74344,0.66565,0.59946,0.54267,0.49358,0.45087,0.41347,0.38054,0.35139,0.32547
3.0,,,,1.26498,1.09763,0.96142,0.84907,0.75533,0.6763,0.60905,0.55135,0.50148,0.45808,0.42009,0.38663,0.35701,0.33067
3.125,,,,1.28528,1.11525,0.97685,0.8627,0.76745,0.68715,0.61882,0.5602,0.50953,0.46544,0.42683,0.39283,0.36274,0.33598
3.25,,,,1.30597,1.1332,0.99257,0.87659,0.77981,0.69821,0.62878,0.56922,0.51773,0.47293,0.4337,0.39915,0.36858,0.34139
3.375,,,,1.32706,1.1515,1.0086,0.89074,0.7924,0.70948,0.63893,0.57841,0.52609,0.48056,0.4407,0.4056,0.37453,0.3469
3.5,,,,1.34855,1.17015,1.02494,0.90517,0.80523,0.72097,0.64928,0.58778,0.53461,0.48835,0.44784,0.41217,0.3806,0.35252
3.625,,,,1.37046,1.18916,1.04159,0.91987,0.81831,0.73269,0.65983,0.59732,0.5433,0.49628,0.45511,0.41887,0.38678,0.35825
3.75,,,,1.3928,1.20854,1.05856,0.93487,0.83165,0.74463,0.67058,0.60706,0.55215,0.50437,0.46253,0.42569,0.39308,0.36408
3.875,,,,,1.22829,1.07587,0.95015,0.84524,0.7568,0.68155,0.61698,0.56118,0.51261,0.47009,0.43265,0.39951,0.37004
4.0,,,,,1.24843,1.09351,0.96573,0.8591,0.76921,0.69272,0.6271,0.57038,0.52102,0.4778,0.43975,0.40606,0.3761
4.125,,,,,1.26897,1.1115,0.98161,0.87324,0.78186,0.70412,0.63742,0.57976,0.52959,0.48566,0.44698,0.41274,0.38229
4.25,,,,,1.28991,1.12984,0.99781,0.88765,0.79477,0.71574,0.64793,0.58933,0.53833,0.49367,0.45435,0.41955,0.3886
4.375,,,,,1.31126,1.14854,1.01433,0.90234,0.80792,0.72758,0.65866,0.59908,0.54724,0.50185,0.46188,0.4265,0.39503
4.5,,,,,1.33304,1.16761,1.03117,0.91732,0.82134,0.73967,0.6696,0.60903,0.55633,0.51018,0.46955,0.43358,0.40159
4.625,,,,,1.35524,1.18706,1.04835,0.9326,0.83502,0.75199,0.68075,0.61918,0.5656,0.51868,0.47737,0.4408,0.40828
4.75,,,,,1.37789,1.2069,1.06587,0.94819,0.84897,0.76455,0.69213,0.62952,0.57505,0.52735,0.48534,0.44817,0.4151
4.875,,,,,1.40099,1.22713,1.08374,0.96409,0.86321,0.77737,0.70373,0.64008,0.58469,0.53619,0.49348,0.45568,0.42206
5.0,,,,,,1.24777,1.10197,0.9803,0.87772,0.79045,0.71557,0.65084,0.59452,0.54521,0.50178,0.46334,0.42916
5.125,,,,,,1.26882,1.12056,0.99684,0.89253,0.80378,0.72764,0.66182,0.60455,0.5544,0.51025,0.47116,0.4364
5.25,,,,,,1.2903,1.13952,1.01371,0.90764,0.81739,0.73996,0.67303,0.61478,0.56379,0.51888,0.47914,0.44379
5.375,,,,,,1.31221,1.15888,1.03093,0.92305,0.83127,0.75252,0.68446,0.62522,0.57336,0.52769,0.48727,0.45133
5.5,,,,,,1.33457,1.17862,1.04849,0.93878,0.84543,0.76534,0.69612,0.63588,0.58313,0.53668,0.49558,0.45901
5.625,,,,,,1.35738,1.19876,1.06641,0.95482,0.85988,0.77842,0.70801,0.64674,0.5931,0.54586,0.50405,0.46686
5.75,,,,,,1.38065,1.21932,1.0847,0.9712,0.87462,0.79177,0.72015,0.65783,0.60327,0.55522,0.51269,0.47486
5.875,,,,,,1.4044,1.24029,1.10336,0.98791,0.88967,0.80539,0.73254,0.66915,0.61364,0.56477,0.52151,0.48303
6.0,,,,,,,1.2617,1.1224,1.00496,0.90503,0.81929,0.74519,0.6807,0.62424,0.57452,0.53051,0.49137
6.125,,,,,,,1.28355,1.14184,1.02236,0.9207,0.83348,0.75809,0.69249,0.63505,0.58447,0.5397,0.49988
6.25,,,,,,,1.30585,1.16168,1.04012,0.93669,0.84796,0.77126,0.70452,0.64608,0.59462,0.54907,0.50857
