Altitude_km,Mach_0.053,Mach_0.054,Mach_0.055,Mach_0.056,Mach_0.057,Mach_0.058,Mach_0.059,Mach_0.060,Mach_0.061,Mach_0.062,Mach_0.063,Mach_0.064,Mach_0.065,Mach_0.066,Mach_0.067,Mach_0.068,Mach_0.069,Mach_0.070,Mach_0.071,Mach_0.072,Mach_0.073,Mach_0.074,Mach_0.075,Mach_0.076,Mach_0.077,Mach_0.078,Mach_0.079,Mach_0.080,Mach_0.081,Mach_0.082,Mach_0.083,Mach_0.084,Mach_0.085,Mach_0.086,Mach_0.087,Mach_0.088,Mach_0.089,Mach_0.090,Mach_0.091,Mach_0.092,Mach_0.093,Mach_0.094,Mach_0.095,Mach_0.096,Mach_0.097,Mach_0.098,Mach_0.099,Mach_0.100,Mach_0.101,Mach_0.102,Mach_0.103,Mach_0.104,Mach_0.105,Mach_0.106,Mach_0.107,Mach_0.108,Mach_0.109,Mach_0.110,Mach_0.111,Mach_0.112,Mach_0.113,Mach_0.114,Mach_0.115,Mach_0.116,Mach_0.117,Mach_0.118,Mach_0.119,Mach_0.120,Mach_0.121,Mach_0.122,Mach_0.123,Mach_0.124,Mach_0.125,Mach_0.126,Mach_0.127,Mach_0.128,Mach_0.129,Mach_0.130,Mach_0.131,Mach_0.132,Mach_0.133,Mach_0.134,Mach_0.135
0.0,,1.38791,1.3379,1.29055,1.24566,1.20308,1.16264,1.12421,1.08765,1.05285,1.01969,0.98807,0.95791,0.9291,0.90157,0.87525,0.85006,0.82595,0.80285,0.7807,0.75946,0.73907,0.71949,0.70068,0.6826,0.66521,0.64848,0.63237,0.61685,0.6019,0.58748,0.57358,0.56016,0.54721,0.5347,0.52262,0.51094,0.49965,0.48873,0.47816,0.46793,0.45803,0.44844,0.43914,0.43014,0.4214,0.41293,0.40472,0.39674,0.389,0.38148,0.37418,0.36709,0.3602,0.35349,0.34698,0.34064,0.33448,0.32848,0.32264,0.31695,0.31142,0.30602,0.30077,0.29565,0.29066,0.2858,0.28105,0.27643,0.27191,0.26751,0.26321,0.25902,0.25492,0.25092,0.24702,0.2432,0.23948,0.23583,0.23227,0.22879,0.22539,0.22207
0.1,,1.40449,1.35388,1.30596,1.26054,1.21744,1.17652,1.13763,1.10064,1.06542,1.03187,0.99987,0.96934,0.94019,0.91234,0.8857,0.86021,0.83581,0.81243,0.79002,0.76853,0.7479,0.72809,0.70905,0.69075,0.67316,0.65622,0.63992,0.62422,0.60908,0.5945,0.58043,0.56685,0.55374,0.54109,0.52886,0.51704,0.50561,0.49456,0.48387,0.47352,0.4635,0.45379,0.44439,0.43527,0.42643,0.41786,0.40955,0.40148,0.39364,0.38604,0.37865,0.37147,0.3645,0.35772,0.35112,0.34471,0.33847,0.3324,0.32649,0.32074,0.31513,0.30968,0.30436,0.29918,0.29413,0.28921,0.28441,0.27973,0.27516,0.2707,0.26636,0.26211,0.25797,0.25392,0.24997,0.24611,0.24234,0.23865,0.23505,0.23153,0.22808,0.22472
0.2,,,1.37008,1.32159,1.27562,1.23201,1.1906,1.15125,1.11381,1.07817,1.04422,1.01184,0.98095,0.95144,0.92326,0.8963,0.87051,0.84582,0.82216,0.79948,0.77772,0.75685,0.7368,0.71754,0.69902,0.68121,0.66408,0.64758,0.63169,0.61637,0.60161,0.58737,0.57363,0.56037,0.54756,0.53519,0.52323,0.51167,0.50048,0.48966,0.47919,0.46905,0.45922,0.44971,0.44048,0.43154,0.42286,0.41445,0.40628,0.39836,0.39066,0.38318,0.37592,0.36886,0.362,0.35532,0.34883,0.34252,0.33638,0.3304,0.32457,0.31891,0.31338,0.308,0.30276,0.29765,0.29267,0.28781,0.28307,0.27845,0.27394,0.26954,0.26525,0.26105,0.25696,0.25296,0.24905,0.24524,0.24151,0.23786,0.2343,0.23081,0.22741
0.30000000000000004,,,1.38652,1.33744,1.29092,1.24679,1.20489,1.16506,1.12717,1.09111,1.05674,1.02398,0.99271,0.96286,0.93433,0.90705,0.88095,0.85596,0.83202,0.80907,0.78705,0.76593,0.74564,0.72614,0.70741,0.68938,0.67204,0.65534,0.63926,0.62377,0.60883,0.59442,0.58051,0.56709,0.55413,0.54161,0.5295,0.5178,0.50649,0.49553,0.48494,0.47467,0.46473,0.4551,0.44577,0.43671,0.42794,0.41942,0.41116,0.40313,0.39534,0.38778,0.38043,0.37328,0.36634,0.35959,0.35302,0.34663,0.34041,0.33436,0.32847,0.32273,0.31714,0.3117,0.30639,0.30122,0.29618,0.29126,0.28647,0.28179,0.27723,0.27278,0.26843,0.26419,0.26004,0.25599,0.25204,0.24818,0.2444,0.24071,0.23711,0.23358,0.23013
0.4,,,1.40318,1.35352,1.30644,1.26178,1.21937,1.17906,1.14072,1.10422,1.06945,1.03629,1.00465,0.97443,0.94556,0.91796,0.89154,0.86625,0.84202,0.81879,0.79652,0.77513,0.7546,0.73487,0.71591,0.69767,0.68012,0.66322,0.64695,0.63127,0.61615,0.60156,0.58749,0.57391,0.56079,0.54812,0.53587,0.52403,0.51257,0.50149,0.49077,0.48038,0.47032,0.46057,0.45112,0.44197,0.43308,0.42446,0.4161,0.40798,0.4001,0.39244,0.385,0.37777,0.37074,0.36391,0.35726,0.3508,0.3445,0.33838,0.33242,0.32661,0.32096,0.31545,0.31008,0.30484,0.29974,0.29477,0.28991,0.28518,0.28056,0.27606,0.27166,0.26736,0.26317,0.25907,0.25507,0.25116,0.24734,0.24361,0.23996,0.23639,0.2329
0.5,,,,1.36983,1.32219,1.27699,1.23407,1.19327,1.15447,1.11753,1.08233,1.04877,1.01675,0.98618,0.95696,0.92902,0.90229,0.87669,0.85217,0.82866,0.80611,0.78447,0.76369,0.74373,0.72454,0.70608,0.68832,0.67122,0.65474,0.63887,0.62357,0.60881,0.59457,0.58083,0.56755,0.55472,0.54233,0.53034,0.51875,0.50754,0.49668,0.48617,0.47599,0.46612,0.45656,0.44729,0.4383,0.42958,0.42111,0.4129,0.40492,0.39717,0.38964,0.38232,0.37521,0.36829,0.36157,0.35502,0.34866,0.34246,0.33642,0.33055,0.32482,0.31925,0.31381,0.30852,0.30335,0.29832,0.29341,0.28862,0.28394,0.27938,0.27493,0.27058,0.26634,0.26219,0.25814,0.25419,0.25032,0.24654,0.24285,0.23924,0.23571
0.6000000000000001,,,,1.38637,1.33816,1.29241,1.24897,1.20768,1.16841,1.13103,1.09541,1.06144,1.02903,0.99809,0.96852,0.94024,0.91318,0.88728,0.86246,0.83867,0.81585,0.79395,0.77292,0.75271,0.73329,0.71461,0.69663,0.67932,0.66265,0.64659,0.6311,0.61617,0.60175,0.58784,0.5744,0.56142,0.54888,0.53675,0.52502,0.51367,0.50268,0.49204,0.48174,0.47175,0.46208,0.45269,0.44359,0.43477,0.4262,0.41788,0.40981,0.40197,0.39435,0.38694,0.37974,0.37274,0.36593,0.35931,0.35287,0.34659,0.34049,0.33454,0.32875,0.3231,0.3176,0.31224,0.30702,0.30192,0.29695,0.2921,0.28737,0.28276,0.27825,0.27385,0.26956,0.26536,0.26126,0.25726,0.25335,0.24952,0.24578,0.24213,0.23856
0.7000000000000001,,,,1.40316,1.35435,1.30806,1.26409,1.2223,1.18256,1.14472,1.10867,1.07429,1.04149,1.01017,0.98024,0.95162,0.92424,0.89802,0.8729,0.84882,0.82573,0.80356,0.78228,0.76182,0.74217,0.72326,0.70506,0.68755,0.67067,0.65442,0.63874,0.62362,0.60904,0.59496,0.58136,0.56822,0.55552,0.54325,0.53137,0.51988,0.50876,0.498,0.48757,0.47746,0.46767,0.45817,0.44896,0.44003,0.43136,0.42294,0.41477,0.40683,0.39912,0.39162,0.38434,0.37725,0.37036,0.36366,0.35714,0.35079,0.34461,0.33859,0.33273,0.32701,0.32145,0.31602,0.31073,0.30558,0.30055,0.29564,0.29085,0.28618,0.28162,0.27717,0.27282,0.26857,0.26443,0.26037,0.25641,0.25254,0.24876,0.24506,0.24144
0.8,,,,,1.37079,1.32393,1.27943,1.23714,1.19691,1.15861,1.12212,1.08733,1.05413,1.02243,0.99213,0.96317,0.93545,0.90892,0.88349,0.85912,0.83575,0.81331,0.79177,0.77107,0.75117,0.73203,0.71362,0.69589,0.67881,0.66236,0.64649,0.63119,0.61643,0.60218,0.58841,0.57511,0.56226,0.54984,0.53782,0.52619,0.51494,0.50404,0.49348,0.48326,0.47334,0.46373,0.45441,0.44537,0.43659,0.42807,0.4198,0.41177,0.40396,0.39638,0.389,0.38183,0.37486,0.36807,0.36147,0.35505,0.34879,0.3427,0.33676,0.33098,0.32535,0.31986,0.3145,0.30928,0.30419,0.29923,0.29438,0.28965,0.28504,0.28053,0.27613,0.27183,0.26763,0.26353,0.25952,0.25561,0.25178,0.24803,0.24437
0.9,,,,,1.38746,1.34003,1.29499,1.25218,1.21146,1.1727,1.13577,1.10055,1.06695,1.03486,1.0042,0.97488,0.94683,0.91997,0.89424,0.86957,0.84591,0.8232,0.8014,0.78045,0.76031,0.74094,0.7223,0.70435,0.68707,0.67041,0.65436,0.63887,0.62392,0.6095,0.59557,0.58211,0.5691,0.55653,0.54436,0.53259,0.5212,0.51017,0.49949,0.48913,0.4791,0.46937,0.45994,0.45079,0.4419,0.43328,0.42491,0.41678,0.40888,0.4012,0.39373,0.38648,0.37942,0.37255,0.36587,0.35936,0.35303,0.34686,0.34086,0.33501,0.3293,0.32375,0.31833,0.31305,0.30789,0.30287,0.29796,0.29317,0.2885,0.28394,0.27949,0.27514,0.27089,0.26674,0.26268,0.25872,0.25484,0.25105,0.24734
