Altitude_km,Mach_min,CL_max,V_min_ms
0.0,0.1443,1.35791,49.12
0.00692,0.1444,1.35789,49.14
0.01841,0.1445,1.35786,49.16
0.02989,0.1446,1.35784,49.19
0.04136,0.1447,1.35781,49.22
0.05281,0.1448,1.35778,49.25
0.06426,0.1449,1.35775,49.27
0.0757,0.145,1.35772,49.3
0.08712,0.1451,1.35769,49.33
0.09853,0.1452,1.35766,49.36
0.10994,0.1453,1.35763,49.38
0.12133,0.1454,1.3576,49.41
0.13271,0.1455,1.35757,49.44
0.14408,0.1456,1.35754,49.47
0.15544,0.1457,1.35751,49.49
0.16679,0.1458,1.35748,49.52
0.17813,0.1459,1.35745,49.55
0.18945,0.146,1.35742,49.58
0.20077,0.1461,1.35739,49.61
0.21207,0.1462,1.35736,49.63
0.22337,0.1463,1.35733,49.66
0.23465,0.1464,1.3573,49.69
0.24593,0.1465,1.35727,49.72
0.25719,0.1466,1.35724,49.74
0.26844,0.1467,1.35721,49.77
0.27968,0.1468,1.35719,49.8
0.29091,0.1469,1.35716,49.83
0.30213,0.147,1.35713,49.85
0.31334,0.1471,1.3571,49.88
0.32454,0.1472,1.35707,49.91
0.33573,0.1473,1.35704,49.94
0.3469,0.1474,1.35701,49.96
0.35807,0.1475,1.35698,49.99
0.36923,0.1476,1.35695,50.02
0.38037,0.1477,1.35692,50.05
0.39151,0.1478,1.35689,50.07
0.40263,0.1479,1.35686,50.1
0.41375,0.148,1.35683,50.13
0.42485,0.1481,1.3568,50.16
0.43595,0.1482,1.35677,50.18
0.44703,0.1483,1.35674,50.21
0.4581,0.1484,1.35671,50.24
0.46916,0.1485,1.35668,50.27
0.48022,0.1486,1.35665,50.29
0.49126,0.1487,1.35662,50.32
0.50229,0.1488,1.35659,50.35
0.51331,0.1489,1.35656,50.38
0.52432,0.149,1.35654,50.4
0.53532,0.1491,1.35651,50.43
0.54631,0.1492,1.35648,50.46
0.55729,0.1493,1.35645,50.49
0.56826,0.1494,1.35642,50.51
0.57922,0.1495,1.35639,50.54
0.59017,0.1496,1.35636,50.57
0.60111,0.1497,1.35633,50.6
0.61204,0.1498,1.3563,50.62
0.62296,0.1499,1.35627,50.65
0.63387,0.15,1.35624,50.68
0.64477,0.1501,1.35621,50.71
0.65565,0.1502,1.35618,50.73
0.66653,0.1503,1.35615,50.76
0.6774,0.1504,1.35612,50.79
0.68826,0.1505,1.35609,50.82
0.69911,0.1506,1.35606,50.84
0.70995,0.1507,1.35603,50.87
0.72077,0.1508,1.356,50.9
0.73159,0.1509,1.35597,50.93
0.7424,0.151,1.35594,50.95
0.7532,0.1511,1.35592,50.98
0.76399,0.1512,1.35589,51.01
0.77477,0.1513,1.35586,51.04
0.78553,0.1514,1.35583,51.06
0.79629,0.1515,1.3558,51.09
0.80704,0.1516,1.35577,51.12
0.81778,0.1517,1.35574,51.15
0.82851,0.1518,1.35571,51.17
0.83923,0.1519,1.35568,51.2
0.84994,0.152,1.35565,51.23
0.86064,0.1521,1.35562,51.25
0.87133,0.1522,1.35559,51.28
0.88201,0.1523,1.35556,51.31
0.89268,0.1524,1.35553,51.34
0.90334,0.1525,1.3555,51.36
0.91399,0.1526,1.35547,51.39
0.92463,0.1527,1.35544,51.42
0.93526,0.1528,1.35541,51.45
0.94588,0.1529,1.35538,51.47
0.9565,0.153,1.35535,51.5
0.9671,0.1531,1.35532,51.53
0.97769,0.1532,1.35529,51.56
0.98827,0.1533,1.35527,51.58
0.99885,0.1534,1.35524,51.61
1.00941,0.1535,1.35521,51.64
1.01997,0.1536,1.35518,51.67
1.03051,0.1537,1.35515,51.69
1.04105,0.1538,1.35512,51.72
1.05157,0.1539,1.35509,51.75
1.06209,0.154,1.35506,51.77
1.0726,0.1541,1.35503,51.8
1.08309,0.1542,1.355,51.83
1.09358,0.1543,1.35497,51.86
1.10406,0.1544,1.35494,51.88
1.11453,0.1545,1.35491,51.91
1.12499,0.1546,1.35488,51.94
1.13544,0.1547,1.35485,51.97
1.14588,0.1548,1.35482,51.99
1.15631,0.1549,1.35479,52.02
1.16673,0.155,1.35476,52.05
1.17715,0.1551,1.35473,52.08
1.18755,0.1552,1.3547,52.1
1.19794,0.1553,1.35467,52.13
1.20833,0.1554,1.35464,52.16
1.2187,0.1555,1.35462,52.18
1.22907,0.1556,1.35459,52.21
1.23943,0.1557,1.35456,52.24
1.24977,0.1558,1.35453,52.27
1.26011,0.1559,1.3545,52.29
1.27044,0.156,1.35447,52.32
1.28076,0.1561,1.35444,52.35
1.29107,0.1562,1.35441,52.38
1.30137,0.1563,1.35438,52.4
1.31166,0.1564,1.35435,52.43
1.32195,0.1565,1.35432,52.46
1.33222,0.1566,1.35429,52.48
1.34249,0.1567,1.35426,52.51
1.35274,0.1568,1.35423,52.54
1.36299,0.1569,1.3542,52.57
1.37323,0.157,1.35417,52.59
1.38346,0.1571,1.35414,52.62
1.39367,0.1572,1.35411,52.65
1.40389,0.1573,1.35408,52.67
1.41409,0.1574,1.35405,52.7
1.42428,0.1575,1.35402,52.73
1.43446,0.1576,1.35399,52.76
1.44464,0.1577,1.35397,52.78
1.4548,0.1578,1.35394,52.81
1.46496,0.1579,1.35391,52.84
1.47511,0.158,1.35388,52.87
1.48524,0.1581,1.35385,52.89
1.49537,0.1582,1.35382,52.92
1.50549,0.1583,1.35379,52.95
1.51561,0.1584,1.35376,52.97
1.52571,0.1585,1.35373,53.0
1.5358,0.1586,1.3537,53.03
1.54589,0.1587,1.35367,53.06
1.55596,0.1588,1.35364,53.08
1.56603,0.1589,1.35361,53.11
1.57609,0.159,1.35358,53.14
1.58614,0.1591,1.35355,53.16
1.59618,0.1592,1.35352,53.19
1.60621,0.1593,1.35349,53.22
1.61624,0.1594,1.35346,53.25
1.62625,0.1595,1.35343,53.27
1.63626,0.1596,1.3534,53.3
1.64626,0.1597,1.35337,53.33
1.65624,0.1598,1.35335,53.35
1.66622,0.1599,1.35332,53.38
1.6762,0.16,1.35329,53.41
1.68616,0.1601,1.35326,53.44
1.69611,0.1602,1.35323,53.46
1.70606,0.1603,1.3532,53.49
1.71599,0.1604,1.35317,53.52
1.72592,0.1605,1.35314,53.54
1.73584,0.1606,1.35311,53.57
1.74575,0.1607,1.35308,53.6
1.75566,0.1608,1.35305,53.63
1.76555,0.1609,1.35302,53.65
1.77543,0.161,1.35299,53.68
1.78531,0.1611,1.35296,53.71
1.79518,0.1612,1.35293,53.73
1.80504,0.1613,1.3529,53.76
1.81489,0.1614,1.35287,53.79
1.82473,0.1615,1.35284,53.82
1.83457,0.1616,1.35281,53.84
1.84439,0.1617,1.35278,53.87
1.85421,0.1618,1.35275,53.9
1.86402,0.1619,1.35272,53.92
1.87382,0.162,1.3527,53.95
1.88361,0.1621,1.35267,53.98
1.89339,0.1622,1.35264,54.01
1.90317,0.1623,1.35261,54.03
1.91293,0.1624,1.35258,54.06
1.92269,0.1625,1.35255,54.09
1.93244,0.1626,1.35252,54.11
1.94218,0.1627,1.35249,54.14
1.95192,0.1628,1.35246,54.17
1.96164,0.1629,1.35243,54.19
1.97136,0.163,1.3524,54.22
1.98107,0.1631,1.35237,54.25
1.99077,0.1632,1.35234,54.28
2.00046,0.1633,1.35231,54.3
2.01014,0.1634,1.35228,54.33
2.01982,0.1635,1.35225,54.36
2.02948,0.1636,1.35222,54.38
2.03914,0.1637,1.35219,54.41
2.04879,0.1638,1.35216,54.44
2.05844,0.1639,1.35213,54.46
2.06807,0.164,1.3521,54.49
2.0777,0.1641,1.35207,54.52
2.08731,0.1642,1.35205,54.55
2.09692,0.1643,1.35202,54.57
2.10652,0.1644,1.35199,54.6
2.11612,0.1645,1.35196,54.63
2.1257,0.1646,1.35193,54.65
2.13528,0.1647,1.3519,54.68
2.14485,0.1648,1.35187,54.71
2.15441,0.1649,1.35184,54.73
2.16396,0.165,1.35181,54.76
2.17351,0.1651,1.35178,54.79
2.18304,0.1652,1.35175,54.82
2.19257,0.1653,1.35172,54.84
2.20209,0.1654,1.35169,54.87
2.21161,0.1655,1.35166,54.9
2.22111,0.1656,1.35163,54.92
2.23061,0.1657,1.3516,54.95
2.2401,0.1658,1.35157,54.98
2.24958,0.1659,1.35154,55.0
2.25905,0.166,1.35151,55.03
2.26852,0.1661,1.35148,55.06
2.27797,0.1662,1.35145,55.09
2.28742,0.1663,1.35142,55.11
2.29686,0.1664,1.3514,55.14
2.3063,0.1665,1.35137,55.17
2.31572,0.1666,1.35134,55.19
2.32514,0.1667,1.35131,55.22
2.33455,0.1668,1.35128,55.25
2.34395,0.1669,1.35125,55.27
2.35334,0.167,1.35122,55.3
2.36273,0.1671,1.35119,55.33
2.37211,0.1672,1.35116,55.35
2.38148,0.1673,1.35113,55.38
2.39084,0.1674,1.3511,55.41
2.4002,0.1675,1.35107,55.44
2.40954,0.1676,1.35104,55.46
2.41888,0.1677,1.35101,55.49
2.42821,0.1678,1.35098,55.52
2.43754,0.1679,1.35095,55.54
2.44685,0.168,1.35092,55.57
2.45616,0.1681,1.35089,55.6
2.46546,0.1682,1.35086,55.62
2.47476,0.1683,1.35083,55.65
2.48404,0.1684,1.3508,55.68
2.49332,0.1685,1.35078,55.7
2.50259,0.1686,1.35075,55.73
2.51185,0.1687,1.35072,55.76
2.52111,0.1688,1.35069,55.79
2.53035,0.1689,1.35066,55.81
2.53959,0.169,1.35063,55.84
2.54882,0.1691,1.3506,55.87
2.55805,0.1692,1.35057,55.89
2.56726,0.1693,1.35054,55.92
2.57647,0.1694,1.35051,55.95
2.58568,0.1695,1.35048,55.97
2.59487,0.1696,1.35045,56.0
2.60406,0.1697,1.35042,56.03
2.61323,0.1698,1.35039,56.05
2.62241,0.1699,1.35036,56.08
2.63157,0.17,1.35033,56.11
2.64073,0.1701,1.3503,56.13
2.64987,0.1702,1.35027,56.16
2.65902,0.1703,1.35024,56.19
2.66815,0.1704,1.35021,56.21
2.67728,0.1705,1.35018,56.24
2.68639,0.1706,1.35015,56.27
2.69551,0.1707,1.35013,56.3
2.70461,0.1708,1.3501,56.32
2.71371,0.1709,1.35007,56.35
2.72279,0.171,1.35004,56.38
2.73188,0.1711,1.35001,56.4
2.74095,0.1712,1.34998,56.43
2.75002,0.1713,1.34995,56.46
2.75908,0.1714,1.34992,56.48
2.76813,0.1715,1.34989,56.51
2.77717,0.1716,1.34986,56.54
2.78621,0.1717,1.34983,56.56
2.79524,0.1718,1.3498,56.59
2.80427,0.1719,1.34977,56.62
2.81328,0.172,1.34974,56.64
2.82229,0.1721,1.34971,56.67
2.83129,0.1722,1.34968,56.7
2.84028,0.1723,1.34965,56.72
2.84927,0.1724,1.34962,56.75
2.85825,0.1725,1.34959,56.78
2.86722,0.1726,1.34956,56.8
2.87619,0.1727,1.34953,56.83
2.88514,0.1728,1.3495,56.86
2.89409,0.1729,1.34948,56.88
2.90304,0.173,1.34945,56.91
2.91197,0.1731,1.34942,56.94
2.9209,0.1732,1.34939,56.97
2.92982,0.1733,1.34936,56.99
2.93874,0.1734,1.34933,57.02
2.94764,0.1735,1.3493,57.05
2.95654,0.1736,1.34927,57.07
2.96544,0.1737,1.34924,57.1
2.97432,0.1738,1.34921,57.13
2.9832,0.1739,1.34918,57.15
2.99207,0.174,1.34915,57.18
3.00094,0.1741,1.34912,57.21
3.00979,0.1742,1.34909,57.23
3.01864,0.1743,1.34906,57.26
3.02749,0.1744,1.34903,57.29
3.03632,0.1745,1.349,57.31
3.04515,0.1746,1.34897,57.34
3.05397,0.1747,1.34894,57.37
3.06279,0.1748,1.34891,57.39
3.0716,0.1749,1.34888,57.42
3.0804,0.175,1.34886,57.45
3.08919,0.1751,1.34883,57.47
3.09798,0.1752,1.3488,57.5
3.10676,0.1753,1.34877,57.53
3.11553,0.1754,1.34874,57.55
3.1243,0.1755,1.34871,57.58
3.13306,0.1756,1.34868,57.61
3.14181,0.1757,1.34865,57.63
3.15055,0.1758,1.34862,57.66
3.15929,0.1759,1.34859,57.69
3.16802,0.176,1.34856,57.71
3.17675,0.1761,1.34853,57.74
3.18546,0.1762,1.3485,57.77
3.19418,0.1763,1.34847,57.79
3.20288,0.1764,1.34844,57.82
3.21158,0.1765,1.34841,57.85
3.22027,0.1766,1.34838,57.87
3.22895,0.1767,1.34835,57.9
3.23763,0.1768,1.34832,57.93
3.24629,0.1769,1.34829,57.95
3.25496,0.177,1.34826,57.98
3.26361,0.1771,1.34823,58.01
3.27226,0.1772,1.34821,58.03
3.2809,0.1773,1.34818,58.06
3.28954,0.1774,1.34815,58.09
3.29817,0.1775,1.34812,58.11
3.30679,0.1776,1.34809,58.14
3.3154,0.1777,1.34806,58.17
3.32401,0.1778,1.34803,58.19
3.33261,0.1779,1.348,58.22
3.34121,0.178,1.34797,58.25
3.3498,0.1781,1.34794,58.27
3.35838,0.1782,1.34791,58.3
3.36695,0.1783,1.34788,58.33
3.37552,0.1784,1.34785,58.35
3.38408,0.1785,1.34782,58.38
3.39264,0.1786,1.34779,58.41
3.40119,0.1787,1.34776,58.43
3.40973,0.1788,1.34773,58.46
3.41826,0.1789,1.3477,58.49
3.42679,0.179,1.34767,58.51
3.43531,0.1791,1.34764,58.54
3.44382,0.1792,1.34761,58.57
3.45233,0.1793,1.34758,58.59
3.46083,0.1794,1.34756,58.62
3.46933,0.1795,1.34753,58.64
3.47782,0.1796,1.3475,58.67
3.4863,0.1797,1.34747,58.7
3.49477,0.1798,1.34744,58.72
3.50324,0.1799,1.34741,58.75
3.5117,0.18,1.34738,58.78
3.52016,0.1801,1.34735,58.8
3.52861,0.1802,1.34732,58.83
3.53705,0.1803,1.34729,58.86
3.54549,0.1804,1.34726,58.88
3.55392,0.1805,1.34723,58.91
3.56234,0.1806,1.3472,58.94
3.57076,0.1807,1.34717,58.96
3.57916,0.1808,1.34714,58.99
3.58757,0.1809,1.34711,59.02
3.59596,0.181,1.34708,59.04
3.60436,0.1811,1.34705,59.07
3.61274,0.1812,1.34702,59.1
3.62112,0.1813,1.34699,59.12
3.62949,0.1814,1.34696,59.15
3.63785,0.1815,1.34693,59.18
3.64621,0.1816,1.34691,59.2
