Altitude_km,Mach_0.144,Mach_0.154,Mach_0.164,Mach_0.174,Mach_0.184,Mach_0.194,Mach_0.204,Mach_0.214,Mach_0.224,Mach_0.234,Mach_0.244,Mach_0.254,Mach_0.264,Mach_0.274,Mach_0.284,Mach_0.294,Mach_0.304,Mach_0.314,Mach_0.324,Mach_0.334,Mach_0.344,Mach_0.354,Mach_0.364,Mach_0.374,Mach_0.384,Mach_0.394,Mach_0.404,Mach_0.414,Mach_0.424,Mach_0.434,Mach_0.444,Mach_0.454,Mach_0.464,Mach_0.474,Mach_0.484,Mach_0.494,Mach_0.504,Mach_0.514,Mach_0.524,Mach_0.534,Mach_0.544,Mach_0.554,Mach_0.564,Mach_0.574,Mach_0.584,Mach_0.594,Mach_0.604,Mach_0.614,Mach_0.624,Mach_0.634,Mach_0.644,Mach_0.654,Mach_0.664,Mach_0.674,Mach_0.684,Mach_0.694,Mach_0.704,Mach_0.714,Mach_0.724,Mach_0.734,Mach_0.744,Mach_0.754,Mach_0.764,Mach_0.774,Mach_0.784,Mach_0.794
0.0,,3051.220593032265,2912.1874630132334,2822.3625680827986,2772.6341772629858,2756.1468212369746,2768.9573128161273,2808.1108273132872,2868.649114648607,2948.1379012705443,3044.5542028054633,3156.2556855236057,3281.920405369931,3420.4292750768777,3570.8778088097934,3732.468245360659,3905.5438568899485,4090.279877761131,4284.785835619517,4488.682123064155,4701.644248649345,4923.375607584152,5153.5424535133825,5391.99650817478,5638.454686951329,5892.755918496305,6155.571056023554,6427.289994285601,6706.618945438014,6993.414641210855,7287.595460298788,7589.070595631372,7897.705140873593,8213.501567209807,8536.311827246413,8866.090749730205,9203.225983548527,9548.003274641953,9899.649063763683,10258.14099375893,10623.417676856003,10995.41509395873,11374.102938265358,11759.448785811903,12151.3822566781,12549.903380291453,12959.52867012106,13382.992325415207,13813.738143020486,14251.67141323872,14696.840559478842,15149.220982227558,15608.82325984455,16075.585138276698,16549.51571126538,17030.623416797804,17518.880078787064,18014.292993410425,18516.868949628624,19026.578273002982,19543.426872134736,20067.38426819661,20598.491614766008,21136.681755689937,21682.031186798176,22234.43619082332
0.5,,3134.5141067954246,2973.4120510618905,2863.812230487532,2796.004706002951,2762.7583056962653,2759.7381619630596,2783.643319880663,2829.5026773056875,2894.6736533885337,2977.0392900170714,3074.8761776515025,3186.7270934702656,3311.504195023759,3448.178440216456,3595.9269478242836,3755.0167955027064,3925.516969153723,4105.663250871507,4295.028297984256,4493.236620204936,4699.937898677088,4914.923003895887,5137.877373227443,5368.638979134935,5606.949714382181,5853.419412606554,6108.399033022496,6370.667812886564,6640.161546031339,6916.660405762316,7200.1875292062705,7490.577054673406,7787.7278926862155,8091.640706352245,8402.166059105339,8719.777180044697,9044.661258367454,9376.106230097008,9714.092809273765,10058.490358276596,10409.309735057795,10766.48714980851,11129.992636565352,11499.794211926428,11875.822026227388,12262.331166119186,12661.967394277466,13068.485690576083,13481.864251637742,13902.044146375607,14329.109584672267,14762.963701808403,15203.616907743193,15651.078849755117,16105.35847761231,16566.392079808535,17034.187405418423,17508.78767052794,17990.127581100558,18478.213412518042,18973.051023420903,19474.645887280054,19982.967133325048,20497.983577398485,21019.771686559674
1.0,,3229.7464385094645,3045.736350494597,2915.670088301802,2829.316464342047,2778.9183930478307,2759.7745797269445,2768.293700344082,2799.430718102543,2850.309656095821,2918.6922576305,3002.78113603405,3101.0256915609643,3212.265616266921,3335.4234730982657,3469.6183368051215,3615.0809567889196,3771.7409679529396,3937.924714342171,4113.158735443903,4297.054041618817,4489.280009599658,4689.536384357462,4897.559907301529,5113.093633021062,5335.999753688566,5566.76043140941,5805.619349042923,6051.530349747434,6304.292063983562,6563.871733710802,6830.117941005029,7102.978538611309,7382.285201718106,7668.043148480089,7960.1071374779885,8258.924813578773,8564.799487140403,8876.868636758749,9195.15223934589,9519.594776670634,9850.101696830516,10186.683994096591,10529.27814389391,10877.818490334723,11232.30956742196,11596.721483466548,11973.51114872638,12356.834814065474,12746.671557970394,13142.963264996506,13545.758864852056,13954.998225106347,14370.69239729256,14792.815605039155,15221.377360309694,15656.35048670453,16097.743207586152,16545.563177064596,16999.745523867256,17460.332915230025,17927.29557270998,18400.639313227293,18880.369575781904,19366.455468388496,19858.90176944783
1.5,,,3129.8155494634293,2978.5210226994272,2872.99792642529,2804.99645856398,2769.4761514894426,2762.4318909022286,2778.684890207399,2815.246236335866,2869.6936794228136,2940.1274386409445,3024.909809964315,3122.777012887897,3232.643583118284,3353.610192858408,3485.694560318171,3628.8709091281726,3781.484469302241,3942.981293693711,4112.996522451716,4291.148257409422,4477.154585477284,4670.732245697832,4871.6385325707415,5079.676053416245,5295.240790952221,5518.617327065394,5748.747273077201,5985.50915957572,6228.768859923439,6478.453445978519,6734.408200767614,6996.614398298629,7264.937669154966,7539.309356115799,7820.148885008402,8107.729727434648,8401.259569811587,8700.689514039745,9005.967121818701,9317.036797471104,9633.876186146132,9956.424334067417,10284.61802145162,10618.464095707957,10961.73186272105,11316.696821234491,11677.827017398096,12045.102490298606,12418.538076351062,12798.111445058637,13183.799246413853,13575.613223776945,13973.492221563563,14377.48237247301,14787.521038396302,15203.65297433742,15625.850306804377,16054.08461763914,16488.362990101847,16928.656040500027,17375.005947862064,17827.38249960024,18285.79111140003,18750.16489336181
2.0,,,3226.375791035328,3052.9932695538027,2927.6365941545423,2841.563229340914,2789.2422680866002,2766.3861125087096,2767.623789928236,2789.7581144764954,2830.22943716349,2887.0439975829,2958.483820973493,3043.15110559177,3139.92083193855,3247.842957747635,3366.834844662682,3496.846516220501,3636.206738738561,3784.3191394153955,3940.8446248882115,4105.387543285339,4277.613272304346,4457.219585230908,4643.978910397865,4837.635042731432,5038.575162671133,5247.0200254566125,5461.96537054631,5683.333998496173,5910.926935115824,6144.677915093593,6384.474363524549,6630.230876776577,6881.818132905175,7139.208194481458,7402.825997359166,7672.877632024199,7948.608750010205,8229.973861834247,8516.887641389581,8809.333547712282,9107.25596080249,9410.632630316735,9719.366770188602,10033.467595090426,10356.44314673595,10690.50284925686,11030.409804834802,11376.14507421536,11727.724436296092,12085.090401089397,12448.256460176632,12817.19907860844,13191.893820884885,13572.387457529938,13958.617945749798,14350.55857511704,14748.254014926131,15151.676325936509,15560.797039030107,15975.659183831467,16396.19734383174,16822.417676936235,17254.361930604773,17691.96353230053
2.5,,,,3140.0934271376777,2994.1869783543298,2889.4693022730753,2819.9240322567443,2780.977491073009,2766.9604824521693,2774.5902504316346,2801.0727036893413,2844.329276630821,2902.496895615285,2974.1582618216144,3058.0092722138515,3153.1256253256142,3259.354392253004,3376.4727899535173,3502.8811266432685,3638.0509211386047,3781.4536906212006,3932.789781478291,4091.6368830885676,4257.71088650009,4430.80015595752,4610.590344670931,4797.4660491721315,4991.612880568215,5192.057986634538,5398.660823599466,5611.338717084472,5829.888236947415,6054.2755871436775,6284.385270321909,6520.09346304334,6761.377278986543,7008.593075910536,7262.022789032222,7520.845471140135,7785.091514506619,8054.606927018637,8329.414506549092,8609.461701281723,8894.657037573676,9184.978596281357,9480.438185030394,9784.215946066295,10098.400405185106,10418.166585034267,10743.424564665633,11074.227182054048,11410.517885973451,11752.311034318642,12099.547872496527,12452.27675555378,12810.43708901615,13174.075524610987,13543.093920147232,13917.573514492364,14297.450881813691,14682.698041734275,15073.394479701452,15469.439203308224,15870.87476039733,16277.70727917679,16689.87053978922
3.0,,,,,3072.9899890398724,2948.9286473370903,2861.661037295072,2806.1725305101663,2776.658937696241,2769.550632696645,2781.976080514043,2811.6012092723354,2856.498266877169,2915.164839752725,2986.2677940341805,3068.7324346661007,3162.377870159406,3266.849623487871,3380.618953960903,3503.0830781669088,3633.7428855043477,3772.1796606909006,3918.065493600646,4071.063404482724,4230.870442533563,4397.259541884132,4570.576804883937,4750.900787439398,4937.3637800028555,5129.798542835634,5328.058677994506,5532.020621250758,5741.621427744393,5956.679747876442,6177.113645395704,6402.905544026882,6634.413519865002,6871.8498781573935,7114.510661092801,7362.3218924363,7615.205334830224,7873.078950039206,8135.965491418849,8403.776456979567,8676.492729306552,8954.020613223302,9239.480628333085,9534.66996531761,9835.116611326615,10140.803917128593,10451.749772356223,10767.89863758729,11089.229779150888,11415.757364317546,11747.422482855754,12084.273350228723,12426.2852753276,12773.39677744977,13125.653685866173,13483.029143200769,13845.531686322463,14213.097294036863,14585.769422188054,14963.519053377873,15346.352720852898,15734.276544720842
3.5,,,,,3164.816036735487,3020.6457125747165,2915.042526452702,2842.542967202521,2797.1920874965554,2775.0780995345713,2773.2294521115987,2789.1397859125154,2820.7532727592793,2866.4535248021866,2924.8482463262444,2994.8257529588736,3075.9668102130295,3168.0434116580254,3269.3807673868127,3379.4127361626247,3497.599493600891,3623.5496245117165,3756.814476323843,3897.077841996602,4044.0550079736686,4197.4627662899675,4357.64524830505,4524.646625308357,4697.597428062736,4876.376544541397,5060.774384498182,5250.711619320169,5446.0243872073925,5646.646326566298,5852.465514454278,6063.361708132748,6279.765252926231,6501.926085796905,6729.043660926741,6961.084120043066,7197.972976390885,7439.667754649282,7686.122343880365,7937.28737755321,8193.11056755367,8453.536999344142,8721.390336361337,8998.402083026496,9280.431410290947,9567.390866268752,9859.33556739448,10156.211065953696,10458.033664877708,10764.710385614006,11076.327282280989,11392.78929047786,11714.144509680675,12040.332151726077,12371.3986913642,12707.281870361096,13047.990795432992,13393.497972573668,13743.847344996313,14098.974363373118,14458.92198188653,14823.624757542248
4.0,,,,,,3105.4244180590154,2980.7292027448275,2890.7390449374234,2829.0452431057583,2791.6654339371003,2775.2537349611316,2777.288026636357,2795.5218392879956,2828.268912853539,2873.9759425804295,2931.499717855739,3000.333951325579,3080.129622544214,3169.246805378526,3267.086514566099,3373.106716160873,3486.800836135582,3607.7818615915417,3735.683625099498,3870.2048513980044,4011.0434552336505,4158.469967044524,4312.603106275973,4472.57298062525,4638.124759026446,4809.202870644084,4985.59224289881,5167.209044545751,5353.921833710244,5545.625168356509,5742.276897894879,5944.197787674605,6151.674591647065,6363.8849870853,6580.835412927377,6802.419221347066,7028.597581270376,7259.291718783568,7494.491515509069,7734.147664954113,7978.208057382251,8229.249920841721,8488.875861960216,8753.255608337924,9022.33912954362,9296.11074295181,9574.589249895991,9857.719981331202,10145.483025167921,10437.893321208721,10734.928715052587,11036.530065698238,11342.74538000465,11653.54980980434,11968.917758020074,12288.8589368617,12613.310421341015,12942.316693623345,13275.885680905187,13613.952836822536,13956.561112165651
4.5,,,,,,3205.1848828951333,3060.682158201904,2952.560789424152,2874.1735886531733,2821.162394364515,2790.075977871313,2778.100153913204,2782.916629383228,2802.7054623908625,2835.831567176991,2881.0175226719666,2937.7270478552737,3005.5059719690194,3082.7301327557857,3168.7345979704382,3262.9415871814685,3364.839962438455,3473.961761603756,3590.0008726708033,3712.5686472093926,3841.3814818810256,3976.6669601649123,4118.506549640775,4266.040036222603,4419.023952721749,4577.3768105339395,4740.92879521688,4909.532145118295,5083.062906887507,5261.422438967062,5444.502615517646,5632.707302099431,5826.2005171989385,6024.2450648165795,6226.815533162444,6433.8452426635595,6645.2268251466285,6860.993040948531,7081.028677788283,7305.287327410671,7533.755638273074,7768.8648601809255,8012.092318046255,8259.824803405305,8512.049820740333,8768.717024322661,9029.846491684266,9295.384733100285,9565.31292824533,9839.6470295357,10118.329804978108,10401.375020463645,10688.79547430721,10980.495062331003,11276.556914795168,11576.919392503974,11881.592182138766,12190.512350594176,12503.760356105377,12821.272150261471,13143.055170575735
