Altitude_km,Mach_0.144,Mach_0.154,Mach_0.164,Mach_0.174,Mach_0.184,Mach_0.194,Mach_0.204,Mach_0.214,Mach_0.224,Mach_0.234,Mach_0.244,Mach_0.254,Mach_0.264,Mach_0.274,Mach_0.284,Mach_0.294,Mach_0.304,Mach_0.314,Mach_0.324,Mach_0.334,Mach_0.344,Mach_0.354,Mach_0.364,Mach_0.374,Mach_0.384,Mach_0.394,Mach_0.404,Mach_0.414,Mach_0.424,Mach_0.434,Mach_0.444,Mach_0.454,Mach_0.464,Mach_0.474,Mach_0.484,Mach_0.494,Mach_0.504,Mach_0.514,Mach_0.524,Mach_0.534,Mach_0.544,Mach_0.554,Mach_0.564,Mach_0.574,Mach_0.584,Mach_0.594,Mach_0.604,Mach_0.614,Mach_0.624,Mach_0.634,Mach_0.644,Mach_0.654,Mach_0.664,Mach_0.674,Mach_0.684,Mach_0.694,Mach_0.704,Mach_0.714,Mach_0.724,Mach_0.734,Mach_0.744,Mach_0.754,Mach_0.764,Mach_0.774,Mach_0.784,Mach_0.794
0.0,,1.1929,1.05186,0.93443,0.83562,0.75169,0.6798,0.61776,0.56383,0.51667,0.47519,0.43851,0.40592,0.37683,0.35076,0.3273,0.30612,0.28694,0.2695,0.2536,0.23907,0.22576,0.21352,0.20226,0.19186,0.18224,0.17333,0.16506,0.15737,0.1502,0.14351,0.13726,0.1314,0.12592,0.12077,0.11593,0.11137,0.10708,0.10303,0.09921,0.0956,0.09218,0.08894,0.08587,0.08295,0.08018,0.07755,0.07504,0.07266,0.07038,0.06821,0.06614,0.06417,0.06228,0.06047,0.05874,0.05708,0.05549,0.05397,0.05251,0.05111,0.04976,0.04847,0.04722,0.04603,0.04487
0.5,,1.26618,1.11647,0.99183,0.88695,0.79787,0.72157,0.65571,0.59847,0.54841,0.50438,0.46545,0.43085,0.39998,0.37231,0.34741,0.32493,0.30456,0.28605,0.26918,0.25376,0.23962,0.22664,0.21468,0.20365,0.19344,0.18398,0.1752,0.16703,0.15943,0.15232,0.14569,0.13948,0.13365,0.12819,0.12305,0.11822,0.11366,0.10936,0.10531,0.10147,0.09784,0.0944,0.09114,0.08805,0.08511,0.08231,0.07965,0.07712,0.07471,0.0724,0.07021,0.06811,0.0661,0.06418,0.06235,0.06059,0.0589,0.05729,0.05574,0.05425,0.05282,0.05145,0.05013,0.04885,0.04763
1.0,,1.34488,1.18587,1.05348,0.94209,0.84747,0.76642,0.69646,0.63567,0.5825,0.53573,0.49438,0.45763,0.42484,0.39545,0.369,0.34513,0.32349,0.30383,0.28591,0.26953,0.25452,0.24073,0.22803,0.2163,0.20546,0.19542,0.18609,0.17742,0.16933,0.16179,0.15474,0.14815,0.14196,0.13616,0.1307,0.12556,0.12073,0.11616,0.11185,0.10778,0.10392,0.10027,0.09681,0.09352,0.0904,0.08743,0.0846,0.08191,0.07935,0.0769,0.07457,0.07234,0.07021,0.06817,0.06622,0.06435,0.06256,0.06085,0.0592,0.05762,0.0561,0.05464,0.05324,0.05189,0.05059
1.5,,,1.26047,1.11975,1.00135,0.90077,0.81463,0.74027,0.67565,0.61914,0.56943,0.52548,0.48642,0.45156,0.42032,0.39222,0.36684,0.34384,0.32295,0.3039,0.28649,0.27053,0.25587,0.24237,0.22991,0.21839,0.20771,0.1978,0.18858,0.17999,0.17197,0.16448,0.15746,0.15089,0.14472,0.13892,0.13346,0.12832,0.12347,0.11889,0.11456,0.11046,0.10658,0.1029,0.0994,0.09608,0.09293,0.08993,0.08707,0.08434,0.08174,0.07926,0.07689,0.07463,0.07246,0.07039,0.0684,0.0665,0.06468,0.06293,0.06125,0.05963,0.05808,0.05659,0.05516,0.05377
2.0,,,1.34072,1.19104,1.0651,0.95812,0.86649,0.7874,0.71867,0.65856,0.60568,0.55893,0.51739,0.48031,0.44708,0.41719,0.39019,0.36573,0.34351,0.32324,0.30472,0.28775,0.27216,0.2578,0.24455,0.23229,0.22093,0.21039,0.20058,0.19145,0.18292,0.17495,0.16749,0.1605,0.15393,0.14776,0.14196,0.13649,0.13133,0.12646,0.12185,0.11749,0.11336,0.10945,0.10573,0.1022,0.09884,0.09565,0.09261,0.08971,0.08695,0.08431,0.08179,0.07938,0.07707,0.07487,0.07276,0.07073,0.06879,0.06693,0.06514,0.06343,0.06178,0.06019,0.05867,0.0572
2.5,,,,1.26779,1.13374,1.01987,0.92233,0.83815,0.76498,0.701,0.64471,0.59495,0.55073,0.51127,0.47589,0.44407,0.41534,0.3893,0.36564,0.34408,0.32436,0.3063,0.2897,0.27441,0.26031,0.24726,0.23517,0.22395,0.21351,0.20378,0.19471,0.18622,0.17828,0.17084,0.16385,0.15729,0.15111,0.14529,0.13979,0.13461,0.1297,0.12506,0.12067,0.1165,0.11254,0.10879,0.10521,0.10181,0.09858,0.09549,0.09255,0.08974,0.08706,0.08449,0.08204,0.07969,0.07745,0.07529,0.07323,0.07125,0.06934,0.06752,0.06576,0.06407,0.06245,0.06088
3.0,,,,,1.20771,1.08641,0.98251,0.89283,0.81489,0.74673,0.68678,0.63377,0.58666,0.54462,0.50694,0.47304,0.44244,0.4147,0.3895,0.36653,0.34553,0.32628,0.3086,0.29232,0.27729,0.26339,0.25052,0.23856,0.22744,0.21708,0.20741,0.19837,0.18992,0.18199,0.17454,0.16755,0.16097,0.15476,0.14891,0.14339,0.13817,0.13322,0.12854,0.1241,0.11989,0.11588,0.11208,0.10846,0.10501,0.10172,0.09859,0.0956,0.09274,0.09001,0.08739,0.08489,0.0825,0.0802,0.078,0.07589,0.07387,0.07192,0.07005,0.06825,0.06652,0.06486
3.5,,,,,1.28749,1.15818,1.04742,0.95181,0.86873,0.79606,0.73215,0.67564,0.62542,0.5806,0.54043,0.5043,0.47166,0.4421,0.41523,0.39074,0.36835,0.34784,0.32899,0.31163,0.29561,0.28079,0.26707,0.25432,0.24246,0.23142,0.22111,0.21148,0.20246,0.19401,0.18608,0.17862,0.1716,0.16499,0.15875,0.15286,0.14729,0.14202,0.13703,0.1323,0.12781,0.12354,0.11948,0.11562,0.11195,0.10844,0.1051,0.10191,0.09887,0.09595,0.09317,0.0905,0.08795,0.0855,0.08316,0.08091,0.07875,0.07667,0.07468,0.07276,0.07092,0.06914
4.0,,,,,,1.23567,1.11749,1.0155,0.92685,0.84933,0.78113,0.72084,0.66726,0.61945,0.57659,0.53804,0.50322,0.47168,0.44301,0.41688,0.393,0.37111,0.351,0.33248,0.31539,0.29958,0.28493,0.27133,0.25869,0.2469,0.23591,0.22563,0.21601,0.20699,0.19852,0.19057,0.18308,0.17603,0.16937,0.16309,0.15715,0.15153,0.1462,0.14115,0.13636,0.13181,0.12748,0.12336,0.11944,0.1157,0.11213,0.10873,0.10548,0.10237,0.0994,0.09656,0.09383,0.09122,0.08872,0.08632,0.08402,0.0818,0.07967,0.07763,0.07566,0.07377
4.5,,,,,,1.31941,1.19322,1.08431,0.98966,0.90688,0.83407,0.76969,0.71248,0.66143,0.61567,0.5745,0.53732,0.50364,0.47303,0.44513,0.41963,0.39626,0.37478,0.35501,0.33676,0.31988,0.30424,0.28972,0.27622,0.26363,0.25189,0.24092,0.23065,0.22102,0.21198,0.20348,0.19549,0.18796,0.18085,0.17414,0.1678,0.16179,0.15611,0.15072,0.1456,0.14074,0.13612,0.13172,0.12753,0.12354,0.11973,0.1161,0.11263,0.10931,0.10614,0.1031,0.10019,0.09741,0.09473,0.09217,0.08971,0.08735,0.08507,0.08289,0.08079,0.07877
