Altitude_km,Mach_0.144,Mach_0.154,Mach_0.164,Mach_0.174,Mach_0.184,Mach_0.194,Mach_0.204,Mach_0.214,Mach_0.224,Mach_0.234,Mach_0.244,Mach_0.254,Mach_0.264,Mach_0.274,Mach_0.284,Mach_0.294,Mach_0.304,Mach_0.314,Mach_0.324,Mach_0.334,Mach_0.344,Mach_0.354,Mach_0.364,Mach_0.374,Mach_0.384,Mach_0.394,Mach_0.404,Mach_0.414,Mach_0.424,Mach_0.434,Mach_0.444,Mach_0.454,Mach_0.464,Mach_0.474,Mach_0.484,Mach_0.494,Mach_0.504,Mach_0.514,Mach_0.524,Mach_0.534,Mach_0.544,Mach_0.554,Mach_0.564,Mach_0.574,Mach_0.584,Mach_0.594,Mach_0.604,Mach_0.614,Mach_0.624,Mach_0.634,Mach_0.644,Mach_0.654,Mach_0.664,Mach_0.674,Mach_0.684,Mach_0.694,Mach_0.704,Mach_0.714,Mach_0.724,Mach_0.734,Mach_0.744,Mach_0.754,Mach_0.764,Mach_0.774,Mach_0.784,Mach_0.794
0.0,14447.682061005202,14308.149381614674,14169.575485961872,14031.51977127383,13893.98223755055,13756.962884792028,13620.461712998269,13484.478722169268,13349.013912305028,13214.067283405548,13079.63883547083,12945.879509228773,12814.18550641248,12684.896443659734,12558.012320970538,12433.533138344888,12311.458895782785,12191.78959328423,12074.52523084922,11959.665808477757,11847.211326169843,11736.803963012708,11625.133875563255,11511.395966767763,11395.590236626223,11277.716685138643,11157.77531230502,11035.766118125357,10911.689102599648,10785.544265727898,10657.331607510107,10527.959112694969,10405.825640207968,10292.974155733678,10189.404659272095,10095.11715082322,10010.111630387057,9934.388097963603,9867.946553552858,9810.786997154823,9762.909428769495,9723.370960817447,9683.44988318891,9641.024698830159,9596.095407741192,9548.662009922013,9498.72450537262,9446.28289409301,9391.33717608319,9333.887351343157,9273.933419872908,9211.853522400346,9151.14546065858,9092.660051285386,9036.397294280763,8982.357189644716,8930.53973737724,8880.944937478336,8833.572789948008,8788.423294786251,8745.496451993065,8704.938304780473,8668.099752859618,8635.309393457539,8606.567226574236,8581.873252209705
0.5,14003.105422625395,13863.598465792084,13725.338379102268,13588.281937270725,13452.429140297474,13317.779988182507,13184.334480925814,13052.09261852741,12921.054400987281,12791.219828305437,12662.588900481882,12535.21355527559,12409.574216957208,12285.787745484458,12163.854140857351,12043.773403075871,11925.54553214003,11809.170528049819,11694.64839080524,11581.979120406299,11471.162716852989,11362.047815066222,11253.234288064421,11144.38156441964,11035.489644131869,10926.55852720111,10817.588213627367,10708.578703410638,10599.529996550922,10490.44209304822,10381.314992902535,10272.634848355478,10168.898567641994,10071.199993305725,9979.539125346668,9893.915963764817,9814.330508560184,9740.782759732761,9673.272717282547,9611.800381209545,9556.365751513757,9506.398666364861,9456.625128832384,9405.762274798106,9353.81010426203,9300.768617224154,9246.637813684485,9191.417693643005,9135.108257099733,9077.70950405466,9019.221434507786,8959.922845208897,8902.392606093545,8847.258009848743,8794.519056474492,8744.175745970799,8696.228078337657,8650.67605357507,8607.519671683034,8566.75893266155,8528.393836510622,8492.528815177955,8460.129864179815,8431.431955398544,8406.435088834143,8385.139264486605
1.0,13580.812043692193,13442.201929106825,13305.148015436725,13169.90614714138,13036.476324220786,12904.858546674948,12775.052814503866,12647.059127707538,12520.877486285965,12396.50789023914,12273.950339567078,12153.169876153464,12033.84313742254,11915.891467612626,11799.314866723724,11684.113334755835,11570.286871708959,11457.835477583098,11346.75915237824,11237.057896094397,11128.731708731571,11021.783097321511,10916.23525190797,10812.093813312404,10709.358781534806,10608.030156575185,10508.10793843353,10409.592127109852,10312.482722604142,10216.779724916405,10122.483134046644,10029.767931955366,9940.252701777326,9854.331152923682,9772.00328539443,9693.269099189569,9618.128594309108,9546.58177075304,9478.628628521361,9414.269167614077,9353.503388031191,9296.038606364902,9239.167501093125,9182.23153454833,9125.230706730503,9068.165017639652,9011.03446727578,8953.83905563888,8896.57878272896,8839.253648546017,8781.863653090048,8724.623485526605,8669.519020637046,8617.033309043858,8567.166350747044,8519.918145746602,8475.288694042536,8433.277995634839,8393.886050523515,8357.112858708568,8322.95842018999,8291.46281753709,8262.996814515896,8237.65059690734,8215.424164711425,8196.317517928144
1.5,13180.801924205582,13043.9597715589,12909.004394965252,12776.39240088578,12646.123789320482,12518.198560269366,12392.616713732421,12269.378249709654,12148.483168201068,12029.931469206655,11913.72315272642,11799.748471862396,11686.99226780847,11575.207610044223,11464.39449856966,11354.552933384772,11245.682914489573,11137.784441884054,11030.857515568216,10924.90213554206,10819.918301805586,10716.009809778565,10614.136767093893,10514.532713446048,10417.197648835036,10322.131573260856,10229.334486723508,10138.806389222991,10050.547280759305,9964.557161332454,9880.836030942435,9799.35836349464,9719.888042613964,9642.367634587546,9566.797139415385,9493.176557097473,9421.505887633826,9351.785131024433,9284.014287269296,9218.193356368416,9154.322338321792,9092.290780817575,9031.076999971136,8970.43247808081,8910.357215146594,8850.851211168494,8791.914466146509,8733.546980080631,8675.74875297087,8618.519784817227,8561.860075619692,8505.955443353461,8452.524704289084,8401.985948870733,8354.339177098413,8309.58438897213,8267.721584491874,8228.750763657648,8192.671926469458,8159.4850729272985,8129.1902030311685,8101.740311857877,8076.700603867859,8053.965317983928,8033.534454206081,8015.408012534318
2.0,12803.075064165565,12668.871993148301,12536.907517687836,12407.740698503925,12281.371535596561,12157.800028965743,12037.026178611479,11919.04998453376,11803.871446732594,11691.49056520797,11581.907339959902,11474.949342402384,11369.021608114997,11263.736172779249,11159.093036395148,11055.092198962688,10951.73366048187,10849.017420952698,10746.943480375165,10645.511838749277,10544.722496075032,10444.727952437386,10346.938833622184,10251.698264820574,10159.006246032553,10068.862777258128,9981.267858497296,9896.221489750058,9813.72367101641,9733.774402296358,9656.373683589898,9581.406142973286,9507.804590151898,9435.30943829731,9363.92068740952,9293.638337488526,9224.462388534335,9156.392840546943,9089.429693526352,9023.572947472558,8958.82260238556,8895.155189722873,8832.353625466409,8770.365105395556,8709.189629510312,8648.827197810682,8589.277810296666,8530.54146696826,8472.618167825469,8415.507912868286,8359.210702096716,8303.91871868947,8251.40965704965,8202.11592932936,8156.0375355286005,8113.174475647369,8073.526749685668,8037.094357643494,8003.877299520853,7973.875575317739,7947.089185034156,7923.361298140317,7901.241232235705,7880.376118628304,7860.765957318113,7842.410748305128
2.5,12447.631463572145,12316.938593875033,12188.857383604492,12063.951039995822,11942.21956304902,11823.662952764093,11708.281209141038,11596.074332179855,11487.04232188054,11381.185178243097,11278.50290126753,11178.772487773429,11079.931158342122,10981.47715581771,10883.410480200197,10785.731131489576,10688.439109685854,10591.534414789026,10495.017046799092,10398.887005716055,10303.144291539913,10207.937525297975,10114.641451492847,10023.590467435979,9934.784573127363,9848.223768567002,9763.9080537549,9681.837428691053,9602.01189337546,9524.431447808121,9449.096091989042,9375.911270391318,9304.002344391138,9233.156564052983,9163.373929376849,9094.654440362732,9026.99809701064,8960.404899320572,8894.874847292525,8830.407940926503,8767.004180222499,8704.631833080799,8642.997377578946,8582.029416492565,8521.727949821656,8462.09297756622,8403.124499726257,8344.822516301765,8287.187027292744,8230.2180326992,8173.915532521124,8118.513311534632,8066.173878918757,8017.423250419748,7972.261426037606,7930.68840577233,7892.704189623923,7858.30877759238,7827.502169677705,7800.284365879896,7776.655366198953,7756.325776384409,7736.618699619431,7716.882998840467,7697.118674047517,7677.325725240577
3.0,12114.47112242532,11988.159573739098,11864.85399271521,11745.023425361467,11628.667871677868,11515.78733166441,11406.381805321102,11300.451292647936,11197.995793644912,11099.015308312033,11003.5098366493,10911.217907975531,10819.720918489851,10728.430559159608,10637.346829984808,10546.469730965446,10455.799262101522,10365.33542339304,10275.078214839998,10185.027636442392,10095.183688200228,10005.638528360334,9917.24462070589,9830.209321292266,9744.532630119465,9660.214547187481,9577.255072496318,9495.654206045976,9415.411947836452,9336.52829786775,9259.003256139866,9182.87374574873,9108.481305331681,9035.909011854561,8965.156865317362,8896.224865720087,8829.11301306274,8763.821307345323,8700.349748567825,8638.698336730255,8578.867071832607,8520.720710891352,8463.00825630875,8405.42541137184,8347.972176080626,8290.648550435106,8233.454534435281,8176.390128081146,8119.455331372709,8062.650144309966,8005.9745668929145,7949.739221888945,7896.817369896399,7847.907912141894,7803.010848625431,7762.126179347013,7725.253904306637,7692.394023504304,7663.546536940013,7638.711444613766,7617.888746525559,7600.633746590155,7582.833006019041,7563.485958620423,7542.592604394297,7520.152943340663
3.5,11766.288018128838,11646.001999583972,11528.945711829827,11415.42137127632,11305.428977923448,11198.96853177121,11096.040032819612,10996.643481068646,10900.778876518318,10808.446219168623,10719.645509019567,10634.105530873776,10549.317544155621,10464.671314671028,10380.166842419994,10295.80412740252,10211.583169618603,10127.503969068248,10043.566525751452,9959.770839668214,9876.116910818539,9792.62249428869,9709.451824626642,9626.644850776509,9544.201572738277,9462.121990511954,9380.406104097536,9299.05391349503,9218.065418704427,9137.440619725732,9057.179516558946,8977.477229270871,8900.138618479457,8825.602704335019,8753.869486837548,8684.938965987047,8618.811141783524,8555.486014226972,8494.96358331739,8437.243849054781,8382.326811439143,8329.943719975481,8277.608632585063,8224.716860654145,8171.268404182722,8117.263263170798,8062.701437618375,8007.582927525445,7951.907732892018,7895.675853718089,7838.887290003656,7781.929119944163,7728.381816847443,7679.116306653237,7634.132589361547,7593.430664972372,7557.010533485709,7524.872194901562,7497.0156492199285,7473.440896440811,7454.147936564206,7438.581564909309,7421.606138178628,7401.972445840343,7379.680487894457,7354.730264340965
4.0,11365.77612808645,11253.932938253132,11145.180907758178,11039.60839441584,10937.215398226115,10838.001919189008,10741.967957304514,10649.113512572636,10559.438584993371,10472.943174566724,10389.627281292693,10309.255284333267,10229.647690936896,10150.274354218067,10071.135274176779,9992.230450813033,9913.559884126826,9835.123574118159,9756.921520787035,9678.953724133451,9601.220184157408,9523.680955747275,9445.96654662045,9367.987080275767,9289.742556713221,9211.232975932813,9132.458337934548,9053.418642718423,8974.113890284432,8894.544080632579,8814.709213762868,8734.905381183095,8657.8714293404,8584.273564127334,8514.111785543888,8447.386093590068,8384.096488265875,8324.242969571314,8267.825537506373,8214.844192071056,8165.298933265368,8118.822757154146,8072.020877337143,8024.067534960243,7974.96273002345,7924.706462526762,7873.298732470184,7820.739539853707,7767.028884677341,7712.166766941079,7656.15318664492,7599.41567589204,7545.908906636764,7496.594826111226,7451.473434315426,7410.544731249365,7373.808716913042,7341.265391306455,7312.914754429607,7288.7568062824985,7268.791546865124,7252.46558749363,7234.660082842287,7214.129908372415,7190.875064084004,7164.895549977062
4.5,10912.935452298154,10811.95238974658,10713.559580500261,10617.584494780023,10524.027132585872,10432.8874939178,10344.165578775808,10257.861387159901,10173.974919070075,10092.50617450633,10013.45515346867,9936.667168353993,9860.711358833667,9785.239677800722,9710.252125255161,9635.748701196984,9561.72940562619,9488.19423854278,9415.143199946748,9342.576289838102,9270.493508216838,9198.81391273609,9126.78878668731,9054.236009790047,8981.155582044299,8907.547503450067,8833.411774007349,8758.748393716147,8683.55736257646,8607.838680588287,8531.59234775163,8455.158201485398,8381.679737914505,8311.921591231501,8245.883761436382,8183.566248529147,8124.969052509801,8070.0921733783425,8018.935611134767,7971.499365779081,7927.783437311278,7887.357822427337,7846.244990564978,7803.477434290135,7759.055153602808,7712.978148502998,7665.246418990705,7615.859965065929,7564.8187867286715,7512.122883978931,7457.772256816705,7402.198889732572,7349.398639264357,7300.343470515856,7255.033383487068,7213.468378177993,7175.6484545886315,7141.573612718981,7111.243852569045,7084.659174138824,7061.819577428312,7042.285814343115,7021.994840010021,6999.958346216631,6976.176332962942,6950.648800248955
