Altitude_km,Mach_0.144,Mach_0.154,Mach_0.164,Mach_0.174,Mach_0.184,Mach_0.194,Mach_0.204,Mach_0.214,Mach_0.224,Mach_0.234,Mach_0.244,Mach_0.254,Mach_0.264,Mach_0.274,Mach_0.284,Mach_0.294,Mach_0.304,Mach_0.314,Mach_0.324,Mach_0.334,Mach_0.344,Mach_0.354,Mach_0.364,Mach_0.374,Mach_0.384,Mach_0.394,Mach_0.404,Mach_0.414,Mach_0.424,Mach_0.434,Mach_0.444,Mach_0.454,Mach_0.464,Mach_0.474,Mach_0.484,Mach_0.494,Mach_0.504,Mach_0.514,Mach_0.524,Mach_0.534,Mach_0.544,Mach_0.554,Mach_0.564,Mach_0.574,Mach_0.584,Mach_0.594,Mach_0.604,Mach_0.614,Mach_0.624,Mach_0.634,Mach_0.644,Mach_0.654,Mach_0.664,Mach_0.674,Mach_0.684,Mach_0.694,Mach_0.704,Mach_0.714,Mach_0.724,Mach_0.734,Mach_0.744,Mach_0.754,Mach_0.764,Mach_0.774,Mach_0.784,Mach_0.794
0.0,,11277.439406967735,11274.372536986768,11222.0974319172,11129.725822737015,11004.113178763026,10853.442687183873,10682.789172686713,10490.750885351394,10279.762098729454,10051.845797194535,9808.644314476394,9551.479594630067,9281.470724923121,8999.522191190204,8706.431754639343,8408.296143110052,8108.160122238867,7798.254164380484,7478.957876935844,7150.595751350655,6813.464392415848,6467.897546486616,6114.043491825221,5752.185313048671,5382.484081503695,5003.9089439764475,4615.890005714399,4220.261054561987,3817.165358789145,3406.684539701211,2988.9094043686273,2563.974859126407,2131.878432790194,1692.7681727535855,1246.6892502697956,818.8140164514716,421.63672535804653,17.590936236316338,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,10783.420893204575,10805.29794893811,10775.672769512468,10704.255293997048,10598.276694303737,10467.391838036938,10317.561680119337,10145.777322694314,9954.681346611464,9746.390709982928,9522.628822348497,9284.852906529733,9034.15080497624,8771.551559783544,8497.878052175716,8218.843204497294,7937.368030846275,7646.246749128494,7345.906702015744,7036.723379795063,6719.047101322913,6393.0869961041135,6059.157626772557,5717.421020865067,5368.13528561782,5012.550587393447,4651.245966977504,4282.6521871134355,3906.833453968662,3524.009594237684,3134.1574707937307,2737.442945326593,2333.9671073137843,1923.729293647756,1506.8789408946632,1103.3628199553004,723.2037416325438,336.4837699029904,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,10277.463561490536,10325.123649505404,10318.839911698198,10268.843535657954,10182.891606952171,10072.085420273055,9943.216299655916,9791.729281897457,9620.50034390418,9431.767742369499,9227.328863965951,9008.734308439034,8777.144383733079,8533.636526901731,8279.091663194878,8018.79904321108,7755.589032047059,7482.85528565783,7201.071264556096,6910.625958381183,6611.849990400341,6305.043615642538,5990.4700926984715,5668.386366978938,5338.9302463114345,5005.699568590591,4670.490650957076,4328.229650252564,3979.117936016438,3623.1882662891994,3260.59205899497,2891.3814613886916,2515.7247982818944,2133.6168515199106,1745.2028625220128,1365.3151864212268,1001.2905128595958,631.0713632412499,254.6377606541082,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,9833.194450536572,9851.013977300572,9823.06207357471,9757.58854143602,9667.113848510555,9559.383109097773,9428.355109792603,9277.018763664133,9107.796320577188,8922.587561359056,8723.030190035683,8510.387987112103,8285.746416881715,8050.004807141593,7808.205439681827,7562.904090871827,7308.165530697759,7044.543706306291,6772.403477548281,6492.126742590578,6203.995414522716,5908.29275430217,5605.261467429258,5295.098946583755,4983.709209047778,4673.957672934606,4357.4527269228,4034.3158404242804,3704.681140076562,3368.62155402148,3026.2917992323864,2677.710601701372,2323.0123308450347,1962.2656438842014,1605.1911149915977,1256.5852725653522,902.0304301884116,541.5754859602548,175.27287818129662,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,9328.784208964673,9371.566730446199,9366.323405845456,9321.796770659086,9252.0777319134,9165.73388749129,9055.296210071763,8923.961885523506,8774.290562836512,8608.2760024171,8427.636179026505,8233.76889440823,8027.79916806145,7810.677042252366,7587.085155337316,7359.373483779496,7122.313261261439,6876.500860584604,6622.275375111787,6360.032456714659,6090.1067276956555,5812.800414769093,5528.341089602135,5236.984957268567,4946.864837328866,4662.019974543388,4370.67462945369,4072.9060015038267,3768.9130648841765,3458.762084906406,3142.5656364754523,2820.4091232234223,2492.421867094825,2158.631805518542,1823.6140026408348,1489.6623679758004,1150.0312499897946,804.7661381657526,453.95235861041874,97.60645228771682,,,,,,,,,,,,,,,,,,,,,,,,
2.5,,,,8945.476572862322,8965.68302164567,8944.700697726923,8897.715967743254,8833.887508926991,8745.129517547834,8634.724749568366,8505.46729631066,8359.435723369179,8198.493104384714,8024.056738178386,7837.430727786147,7639.539374674387,7434.525607746993,7224.607210046481,7005.39887335673,6777.429078861394,6541.226309378798,6297.090218521708,6045.443116911432,5786.569113499911,5520.67984404248,5248.0896553290695,4975.063950827867,4704.742119431785,4428.122013365461,4145.344176400533,3856.4912829155282,3561.766763052584,3261.204412856322,2954.9197296780912,2643.036536956659,2325.5777210134565,2008.3369240894644,1694.107210967777,1374.4845288598653,1049.4384854933796,719.1230729813606,383.51549345090643,42.668298718275764,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,8552.790010960127,8556.05135266291,8532.298962704928,8491.437469489832,8424.601062303758,8335.359367303354,8226.583919485956,8100.608790727663,7959.3617331228315,7804.345160247275,7636.89220596582,7458.077565333901,7271.462129840593,7079.0903765121275,6877.421046039096,6667.056921833091,6448.497114495653,6222.160339309099,5988.374506399355,5747.476595517277,5499.769557466437,5245.480458115868,4989.0431951160635,4732.7692125606,4470.356219997144,4201.971457164366,3927.7613220054936,3647.8493787492407,3362.298572255607,3071.2902521235574,2774.906354604296,2473.1644559731176,2173.006480134998,1877.870121842604,1577.509338907198,1271.9981075636997,961.4146651697747,645.8410499607944,325.25450858115073,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,8126.873963264514,8155.144287425284,8155.237473547299,8137.812032797477,8093.237912503445,8025.426900465428,7937.3505478884,7831.515214087483,7709.976727240721,7574.351475197812,7426.031753673755,7266.129247041126,7097.83318978697,6922.756588341974,6738.419232613189,6545.387263837374,6344.200506399108,6135.250375488283,5918.985523676156,5695.722158003397,5465.744992026331,5229.337233710032,4989.064751694951,4746.338374691643,4497.662571937262,4243.1584554586025,3983.035615501817,3717.373380679832,3446.335612792608,3169.9886734337024,2888.4444855457223,2601.823291867251,2318.1447470737667,2041.3839142030947,1759.6663390732583,1473.0258799569347,1181.537023609113,885.2422453507179,584.1876561196341,278.4226224467893,,,,,,,,,,,,,,,,,,,,,,
4.0,,,,,,7741.175581940985,7765.870797255173,7772.360955062577,7750.55475689424,7704.434566062901,7637.3462650388665,7551.811973363641,7450.0781607120025,7333.83108714646,7204.624057419569,7063.600282144262,6913.426048674419,6755.530377455786,6588.3131946214735,6412.3734854339,6228.253283839127,6036.459163864418,5837.378138408458,5631.376374900501,5418.755148601995,5199.8165447663505,4975.330032955477,4745.696893724026,4510.227019374749,4269.175240973554,4022.597129355915,3770.7077571011896,3513.5909554542486,3251.3781662897554,2984.1748316434905,2712.0231021051204,2444.2022123253946,2185.225408352934,1921.5150129146996,1653.064587072623,1379.9807786529327,1102.3024187296232,820.1082812164314,533.4084844909303,242.25233504588687,,,,,,,,,,,,,,,,,,,,,
4.5,,,,,,7188.505117104865,7241.357841798097,7270.204210575847,7269.3164113468265,7243.052605635485,7194.864022128688,7127.564846086797,7043.473370616772,6944.409537609135,6832.00843282301,6707.547477328034,6574.162952144728,6433.60902803098,6283.609867244215,6124.83040202956,5957.84841281853,5783.175037561545,5601.278238396244,5412.464127329196,5217.121352790606,5015.533518118973,4809.223039835088,4598.983450359225,4383.0499637773955,4161.666047278251,3934.9131894660595,3702.9612047831197,3465.9578548817044,3224.0270931124933,2977.267561032937,2725.7873844823534,2477.9826979005693,2238.0894828010605,1993.6449351834208,1744.6744668375559,1491.2447573364389,1233.4631748533702,971.2969590514676,704.8613222117165,434.20267258932745,159.33436172692564,,,,,,,,,,,,,,,,,,,,
