Altitude_km,Mach_0.144,Mach_0.149,Mach_0.154,Mach_0.159,Mach_0.164,Mach_0.169,Mach_0.174,Mach_0.179,Mach_0.184,Mach_0.189,Mach_0.194,Mach_0.199,Mach_0.204,Mach_0.209,Mach_0.214,Mach_0.219,Mach_0.224,Mach_0.229,Mach_0.234,Mach_0.239,Mach_0.244,Mach_0.249,Mach_0.254,Mach_0.259,Mach_0.264,Mach_0.269,Mach_0.274,Mach_0.279,Mach_0.284,Mach_0.289,Mach_0.294,Mach_0.299,Mach_0.304,Mach_0.309,Mach_0.314,Mach_0.319,Mach_0.324,Mach_0.329,Mach_0.334,Mach_0.339,Mach_0.344,Mach_0.349,Mach_0.354,Mach_0.359,Mach_0.364,Mach_0.369,Mach_0.374,Mach_0.379,Mach_0.384,Mach_0.389,Mach_0.394,Mach_0.399,Mach_0.404,Mach_0.409,Mach_0.414,Mach_0.419,Mach_0.424,Mach_0.429,Mach_0.434,Mach_0.439,Mach_0.444,Mach_0.449,Mach_0.454,Mach_0.459,Mach_0.464,Mach_0.469,Mach_0.474,Mach_0.479,Mach_0.484,Mach_0.489,Mach_0.494,Mach_0.499,Mach_0.504,Mach_0.509,Mach_0.514,Mach_0.519,Mach_0.524,Mach_0.529,Mach_0.534,Mach_0.539,Mach_0.544,Mach_0.549,Mach_0.554,Mach_0.559,Mach_0.564,Mach_0.569,Mach_0.574,Mach_0.579,Mach_0.584,Mach_0.589,Mach_0.594,Mach_0.599,Mach_0.604,Mach_0.609,Mach_0.614,Mach_0.619,Mach_0.624,Mach_0.629,Mach_0.634,Mach_0.639,Mach_0.644,Mach_0.649,Mach_0.654,Mach_0.659,Mach_0.664,Mach_0.669,Mach_0.674,Mach_0.679,Mach_0.684,Mach_0.689,Mach_0.694,Mach_0.699,Mach_0.704,Mach_0.709,Mach_0.714,Mach_0.719,Mach_0.724,Mach_0.729,Mach_0.734,Mach_0.739,Mach_0.744,Mach_0.749,Mach_0.754,Mach_0.759,Mach_0.764,Mach_0.769,Mach_0.774,Mach_0.779,Mach_0.784,Mach_0.789,Mach_0.794,Mach_0.799
0.0,,3142.87658074402,3051.220593032265,2974.8538247112865,2912.1874630132334,2861.755259257568,2822.3625680827986,2792.9383681379663,2772.6341772629858,2760.592774481001,2756.1468212369746,2758.6890485939025,2768.9573128161273,2785.686790370652,2808.1108273132872,2835.8639642311205,2868.649114648607,2906.1704655675667,2948.1379012705443,2994.3430708981555,3044.5542028054633,3098.555042046455,3156.2556855236057,3217.405539144513,3281.920405369931,3349.6310756461626,3420.4292750768777,3494.1965902785173,3570.8778088097934,3650.337297783223,3732.468245360659,3817.265662478119,3905.5438568899485,3996.6692663030717,4090.279877761131,4186.315907498887,4284.785835619517,4385.586108051679,4488.682123064155,4594.072383165442,4701.644248649345,4811.427064175713,4923.375607584152,5037.406416894744,5153.5424535133825,5271.732644248168,5391.99650817478,5514.207576881181,5638.454686951329,5764.644800041385,5892.755918496305,6022.801051328881,6155.571056023554,6290.475287834117,6427.289994285601,6565.989341560619,6706.618945438014,6849.079295311738,6993.414641210855,7139.596410469537,7287.595460298788,7437.418214681706,7589.070595631372,7742.485865636375,7897.705140873593,8054.733027979104,8213.501567209807,8374.014627564706,8536.311827246413,8700.324200402185,8866.090749730205,9033.578022993677,9203.225983548527,9374.775090608488,9548.003274641953,9722.984714436856,9899.649063763683,10078.07008825788,10258.14099375893,10439.935184132799,10623.417676856003,10808.553339724021,10995.41509395873,11183.931454368105,11374.102938265358,11565.929938449104,11759.448785811903,11954.587520990935,12151.3822566781,12349.832942505398,12549.903380291453,12751.629385674056,12959.52867012106,13170.355614205213,13382.992325415207,13597.476627412549,13813.738143020486,14031.814558684064,14251.67141323872,14473.382297183416,14696.840559478842,14922.155704344786,15149.220982227558,15378.109752666454,15608.82325984455,15841.290651951806,16075.585138276698,16311.635785437278,16549.51571126538,16789.15391113071,17030.623416797804,17273.85315815101,17518.880078787064,17765.705072346605,18014.292993410425,18264.716691798763,18516.868949628624,18770.822561206896,19026.578273002982,19284.10080989418,19543.426872134736,19804.52113915025,20067.38426819661,20332.052887029677,20598.491614766008,20866.701045592898,21136.681755689937,21408.47028547399,21682.031186798176,21957.364980457216,22234.43619082332,22513.317269704956
0.25,,3189.0749608244337,3091.4200309854127,3009.4272518915777,2941.4491283659863,2885.9896701835346,2841.818505825071,2807.8238927875154,2783.112436279955,2766.8507620163405,2758.283940626682,2756.859149851956,2763.190954007773,2776.0846965214323,2794.7212990918197,2818.8186955952606,2847.945116679139,2881.849737594301,2920.2865094567687,2962.9457714100577,3009.638308090874,3060.1897957758515,3114.407146684188,3172.080662736119,3233.130468120291,3297.3912920731277,3364.7584544104525,3435.080691254667,3508.26966747053,3584.264797414236,3662.9256789539913,3744.213535652724,3828.9589359503743,3916.5091281341697,4006.509253502197,4098.9734766164565,4193.803440143773,4290.933176294277,4390.365563548763,4492.028107817517,4595.881601969853,4701.920362733386,4810.064076237195,4920.266372855956,5032.551121119613,5146.868101280212,5263.201518740229,5381.497898974118,5501.7384452579445,5623.903029998576,5747.970295626551,5873.953857632808,6002.536699372816,6133.226089751957,6265.807589046685,6400.255817279628,6536.508508395576,6674.647086834112,6814.571777617184,6956.326587429282,7099.846627288186,7245.138662671502,7392.245036875608,7541.063226219556,7691.670737924997,7844.000276980739,7998.056343603681,8153.806976552949,8311.292047554123,8470.478921378102,8631.370746040833,8793.89821075323,8958.614998304674,9125.149830668784,9293.351724569147,9463.258976362413,9634.80143462945,9808.05305436999,9982.907224545195,10159.47359634288,10337.645218407135,10517.495332580238,10698.952752704015,10882.054353488915,11066.764741217961,11253.120519804037,11441.086046650727,11630.661625732917,11821.811395430565,12014.607555115066,12208.9779860211,12404.958636252775,12606.933967638452,12811.753533799543,13018.368337571133,13226.70812463267,13436.846743012191,13648.713802236318,13862.383004961874,14077.783836472052,14294.917801167392,14513.822378027042,14734.498951865213,14956.91282827823,15181.06529463456,15406.9936141736,15634.662952621815,15864.038436801033,16095.19321731787,16328.09233777668,16562.736825640037,16799.127671601076,17037.229818892472,17277.116213268022,17518.715722079483,17762.06521503808,18007.1295133487,18253.945425760237,18502.513723889067,18752.79915161943,19004.802434388253,19258.560269919635,19514.037335960045,19771.270278581644,20030.22373651804,20290.89832240236,20553.330615187537,20817.485199290397,21083.36262886081,21350.963441240696,21620.28815728569,21891.337281714546
0.5,,3238.2628646440694,3134.5141067954246,3046.8227336812874,2973.4120510618905,2912.8662963009597,2863.812230487532,2825.20695978485,2796.004706002951,2775.4690825595076,2762.7583056962653,2757.3023520888346,2759.7381619630596,2768.7245399453004,2783.643319880663,2804.007062685435,2829.5026773056875,2859.8162041066257,2894.6736533885337,2933.8088756139773,2977.0392900170714,3024.124279374013,3074.8761776515025,3129.1263449282123,3186.7270934702656,3247.5533648768865,3311.504195023759,3378.395580252206,3448.178440216456,3520.686634901036,3595.9269478242836,3673.7546144224184,3755.0167955027064,3839.0414383930056,3925.516969153723,4014.423154699214,4105.663250871507,4199.208918169984,4295.028297984256,4393.050196562024,4493.236620204936,4595.546896077505,4699.937898677088,4806.436496614733,4914.923003895887,5025.420324755221,5137.877373227443,5252.2775737105085,5368.638979134935,5486.833811447869,5606.949714382181,5728.892589082571,5853.419412606554,5979.990035447188,6108.399033022496,6238.6214957920465,6370.667812886564,6504.511517092644,6640.161546031339,6777.517881410165,6916.660405762316,7057.560127587294,7200.1875292062705,7344.512599524827,7490.577054673406,7638.313891755816,7787.7278926862155,7938.859544844589,8091.640706352245,8246.075081860505,8402.166059105339,8559.916727451706,8719.777180044697,8881.373229983574,9044.661258367454,9209.571524314377,9376.106230097008,9544.303442698103,9714.092809273765,9885.475945011187,10058.490358276596,10233.101249810179,10409.309735057795,10587.116780560229,10766.48714980851,10947.457599558225,11129.992636565352,11314.092710782597,11499.794211926428,11687.025256656047,11875.822026227388,12066.148497659029,12262.331166119186,12461.312486227573,12661.967394277466,12864.36987233137,13068.485690576083,13274.316592228583,13481.864251637742,13691.09424131741,13902.044146375607,14114.715451098511,14329.109584672267,14545.191892912391,14762.963701808403,14982.426289853034,15203.616907743193,15426.500714258385,15651.078849755117,15877.388430231931,16105.35847761231,16335.026032710859,16566.392079808535,16799.457568366943,17034.187405418423,17270.654493532562,17508.78767052794,17748.58776564104,17990.127581100558,18233.335881592084,18478.213412518042,18724.796894149207,18973.051023420903,19223.012469407375,19474.645887280054,19727.951908471874,19982.967133325048,20239.620173927105,20497.983577398485,20758.05789108089,21019.771686559674,21283.19744579147
0.75,,,3180.612136735544,3087.0467080619983,3008.1599697481365,2942.401076220788,2888.399877646774,2845.075055878522,2811.410202529696,2786.4776201150225,2769.6024701570354,2760.125905101879,2758.56376321083,2763.7176671647926,2774.8092492086676,2791.471411626763,2813.2932375430114,2840.042533055356,2871.3453687627452,2906.979366038403,2946.6965278384014,2990.3347212652047,3037.639606344903,3088.4837716816355,3142.688011652321,3200.1314787860506,3260.6809129242406,3324.155825538957,3390.546495882996,3459.6897399855893,3531.486646907256,3605.903371790234,3683.73172742767,3764.2802516033603,3847.2806536849607,3932.67836035774,4020.3782927731104,4110.38978811318,4202.646295738501,4297.041835936611,4393.611921507001,4492.280921160567,4593.0429260882,4695.817462234708,4800.594174019442,4907.3246273480845,5015.99470853105,5126.588642481702,5239.089122613325,5353.441315771872,5469.625199452093,5587.655653506911,5708.184365387471,5830.695130938643,5955.027354767833,6081.120502127466,6209.021525928153,6338.66828925493,6470.070144349741,6603.199669384065,6738.028818629122,6874.601158972165,7012.851415525103,7152.749904518006,7294.338656352284,7437.6231531985995,7582.500182889242,7729.0466035773625,7877.230626375426,8027.020120149891,8178.454803232987,8331.465827888842,8486.543279333024,8643.3827651458,8801.83173343303,8961.856733067147,9123.49624218513,9286.716370182163,9451.519101693102,9617.906229859853,9785.843296995528,9955.331748680157,10126.408933211105,10299.003847369044,10473.15354261693,10648.858864405844,10826.08447064585,11004.867013944211,11185.134859532332,11366.960485140344,11550.272046210504,11735.14180610642,11925.625115557132,12118.863258031799,12313.726427889203,12510.288664248077,12708.515793669412,12908.445651413882,13110.007884009101,13313.24019020224,13518.108129752694,13724.685301570922,13932.901114297607,14142.793017320424,14354.326345978709,14567.502417200434,14782.358520961587,14998.85985159334,15217.007584777486,15436.838870429554,15658.28276303997,15881.376335674242,16106.156613230238,16332.552549749422,16560.601103095443,16790.303184099073,17021.659672729056,17254.63541316669,17489.267233394374,17725.519925210774,17963.430256337208,18202.998964967577,18444.190772636677,18687.04236719779,18931.518425110622,19177.619596641965,19425.34651354901,19674.735768468454,19925.787947519115,20178.43165115859,20432.739400492064,20688.639766154673
1.0,,,3229.7464385094645,3130.2458132537586,3045.736350494597,2974.678372984264,2915.670088301802,2867.5568280104717,2829.316464342047,2800.0116444770174,2778.9183930478307,2765.3258888559244,2759.7745797269445,2761.0283928122763,2768.293700344082,2781.2157375954434,2799.430718102543,2822.5355446379276,2850.309656095821,2882.4301414691863,2918.6922576305,2958.8680058610057,3002.78113603405,3050.2010776781767,3101.0256915609643,3155.102345861371,3212.265616266921,3272.41092810398,3335.4234730982657,3401.1792634561793,3469.6183368051215,3540.6732991537688,3615.0809567889196,3692.2026053323934,3771.7409679529396,3853.679458323232,3937.924714342171,4024.4515375708174,4113.158735443903,4204.050096804439,4297.054041618817,4392.132272755737,4489.280009599658,4588.417834924033,4689.536384357462,4792.588154660747,4897.559907301529,5004.400575047454,5113.093633021062,5223.6572116636435,5335.999753688566,5450.172909784033,5566.76043140941,5685.3053337825895,5805.619349042923,5927.714652464047,6051.530349747434,6177.076962809453,6304.292063983562,6433.256942262553,6563.871733710802,6696.180374204344,6830.117941005029,6965.727276862102,7102.978538611309,7241.805331510458,7382.285201718106,7524.350919604748,7668.043148480089,7813.29392665109,7960.1071374779885,8108.486348317185,8258.924813578773,8411.08021089159,8564.799487140403,8720.04940113689,8876.868636758749,9035.259574091855,9195.15223934589,9356.620757425211,9519.594776670634,9684.075917399829,9850.101696830516,10017.637340975769,10186.683994096591,10357.20659910834,10529.27814389391,10702.791194782887,10877.818490334723,11054.324481321946,11232.30956742196,11411.73799527462,11596.721483466548,11784.309571167643,11973.51114872638,12164.364268092166,12356.834814065474,12550.960677228193,12746.671557970394,12944.005206517053,13142.963264996506,13343.54731172455,13545.758864852056,13749.56335769943,13954.998225106347,14162.028795778935,14370.69239729256,14580.954263115273,14792.815605039155,15006.313607623311,15221.377360309694,15438.07998076829,15656.35048670453,15876.261911106592,16097.743207586152,16320.867331947851,16545.563177064596,16771.86762675937,16999.745523867256,17229.233690826735,17460.332915230025,17693.007964344633,17927.29557270998,18163.1964538117,18400.639313227293,18639.732795479453,18880.369575781904,19122.622260613505,19366.455468388496,19611.905770465593,19858.90176944783,20107.515981255576
1.25,,,,3176.4897470948126,3086.2526049080125,3009.814609982049,2945.7076576407208,2892.7050044901043,2849.8160546108115,2816.058610736065,2790.6965433399064,2772.9677883356876,2763.402407630712,2760.6907291412676,2764.168826766355,2773.350133401645,2787.8822466221113,2807.3722380162308,2831.6086544814048,2860.2044788827275,2892.998475482929,2929.7692907021087,2970.238261529313,3014.3248327116316,3061.7872525735584,3112.4773994185575,3166.306242432065,3223.1006877922237,3282.7855107163427,3345.2398834391192,3410.3344729166147,3478.0045632981187,3549.0407116698575,3622.7845910068218,3698.9460752346445,3777.4743596677763,3858.3139906987703,3941.3691577481013,4026.612463271892,4114.012994808888,4203.500505209665,4295.074065670899,4388.657810513115,4484.209537241699,4581.720903246931,4681.14536463833,4782.470584345629,4885.646344015953,4990.6208029177415,5097.448964141654,5206.039982799936,5316.3739621118775,5429.112371000724,5543.78440915984,5660.1738623125075,5778.293419736843,5898.1187788888,6019.624816808608,6142.785647633769,6267.646873909459,6394.145128472506,6522.288625602302,6652.01280331177,6783.396946194066,6916.339348897251,7050.8822145237355,7186.995110962568,7324.719370534381,7463.951573777166,7604.732296014634,7747.101758543211,7890.9555137225825,8036.825381147677,8184.367694889066,8333.429075923275,8484.048653411228,8636.157081023623,8789.793019446934,8944.922761361198,9101.548473606113,9259.672130397568,9419.259456059091,9580.34814084217,9742.903577421728,9906.96313397857,10072.455845676892,10239.418798034761,10407.816823691632,10577.686748407834,10748.99316511196,10921.73661286513,11095.917523769984,11275.454647157138,11457.519928569465,11641.224162481027,11826.461285555964,12013.305373613062,12201.758331583167,12391.74991477513,12583.353962243857,12776.50009413902,12971.225976985794,13167.533175528924,13365.423195075187,13564.897485277315,13765.92141494431,13968.496330860698,14172.65955271414,14378.376304836895,14585.64779189812,14794.511189846507,15004.895584986256,15216.874084324285,15430.411714006736,15645.509477972637,15862.132337402545,16080.353242971021,16300.101085384209,16521.41274342208,16744.289059096507,16968.694846889783,17194.666895111943,17422.205963791846,17651.27679296269,17881.880098372505,18114.052562046352,18347.758861014896,18583.035626691304,18819.84749916252,19058.231066306776,19298.114951560492,19539.57168496972
1.5,,,,3225.8794574631997,3129.8155494634293,3047.849596416158,2978.5210226994272,2920.60463472641,2872.99792642529,2834.7471515955062,2804.99645856398,2783.1140366909226,2769.4761514894426,2762.8443819578433,2762.4318909022286,2767.8737884682946,2778.684890207399,2794.591236278824,2815.246236335866,2840.3436343184317,2869.6936794228136,2903.0096182285965,2940.1274386409445,2980.7915226071323,3024.909809964315,3072.302704397123,3122.777012887897,3176.2719524482122,3232.643583118284,3291.774347260118,3353.610192858408,3417.980757063127,3485.694560318171,3556.073554714286,3628.8709091281726,3704.0377975061747,3781.484469302241,3861.116819913493,3942.981293693711,4026.9400665204525,4112.996522451716,4201.078765494069,4291.148257409422,4383.200041971807,4477.154585477284,4573.002456084099,4670.732245697832,4770.294610341286,4871.6385325707415,4974.7836787942515,5079.676053416245,5186.296452958527,5295.240790952221,5406.059782549048,5518.617327065394,5632.818318507154,5748.747273077201,5866.30733083677,5985.50915957572,6106.326587931933,6228.768859923439,6352.808478209935,6478.453445978519,6605.6390146086715,6734.408200767614,6864.76743125592,6996.614398298629,7130.02682645077,7264.937669154966,7401.38777136068,7539.309356115799,7678.742574938094,7820.148885008402,7963.183754824117,8107.729727434648,8253.753991949074,8401.259569811587,8550.249247036685,8700.689514039745,8852.58272965754,9005.967121818701,9160.772522926214,9317.036797471104,9474.725507507133,9633.876186146132,9794.41802854412,9956.424334067417,10119.824025618029,10284.61802145162,10450.843170368415,10618.464095707957,10787.517415763714,10961.73186272105,11138.435732562675,11316.696821234491,11496.481218289222,11677.827017398096,11860.70014386546,12045.102490298606,12231.071909639993,12418.538076351062,12607.574738231548,12798.111445058637,12990.185783306693,13183.799246413853,13378.953272842422,13575.613223776945,13773.780437406043,13973.492221563563,14174.713796043417,14377.48237247301,14581.727073151662,14787.521038396302,14994.829327053329,15203.65297433742,15413.992979385495,15625.850306804377,15839.189883239918,16054.08461763914,16270.463372070199,16488.362990101847,16707.74828462338,16928.656040500027,17151.08701438659,17375.005947862064,17600.44954379069,17827.38249960024,18055.84147000597,18285.79111140003,18517.23204972322,18750.16489336181,18984.626205811357
1.75,,,,,3176.4909989345933,3088.8908795016896,3014.2589232788223,2951.3005774960634,2898.911070737629,2856.0577083831477,2821.946560782366,2795.8238402985935,2778.057803825046,2767.4454311744435,2763.1858358970944,2764.7832766380425,2771.9455176446063,2784.192654998519,2801.29631026037,2822.8867218267824,2848.745901759009,2878.666512342687,2912.3825654554207,2949.6804309056715,2990.473357676556,3034.550441977323,3081.7228989028954,3131.9339735963736,3185.0434140804036,3240.900907155345,3299.4193730230104,3360.5397242777435,3424.9442486285416,3492.0434867014087,3561.525503160036,3633.3435230897317,3707.445826931837,3783.7400699219966,3862.2020756581155,3942.8039296811507,4025.4420535978616,4110.082006847918,4196.722613998049,4285.287832199533,4375.771459372649,4468.128960665716,4562.3137688183915,4658.313560779178,4756.078168076054,4855.628056236079,4956.8738728979115,5059.83324282309,5165.073774012124,5272.166932359865,5380.912042552993,5491.322865852169,5603.376115275579,5717.047631502074,5832.348544357389,5949.25312191781,6067.698827415994,6187.766861796314,6309.357314086186,6432.477994628796,6557.172265065395,6683.338603878604,6811.055486047105,6940.220479953629,7070.911193543044,7203.0965703993725,7336.709103232339,7471.789202632578,7608.835587035723,7747.4672304114865,7887.566680559979,8029.101349957833,8172.110551560348,8316.52512629744,8462.383916634213,8609.689470023304,8758.408061149841,8908.505777400529,9060.05672469501,9212.990569560001,9367.345011677879,9523.049408829209,9680.17721720697,9838.69357119084,9998.563477604708,10159.787878964235,10322.439697934542,10486.411484464901,10655.425105801769,10826.854996833194,10999.83338057954,11174.254325607033,11350.228075179657,11527.684573988023,11706.625772890877,11887.053547597028,12069.005733536362,12252.411993935444,12437.346059250229,12623.737470611328,12811.659826906392,13001.006532154592,13191.88709300237,13384.230837947458,13578.07511566752,13773.385183841803,13970.162276841776,14168.407586131958,14368.158270648555,14569.379422472963,14772.072109422756,14976.23736215371,15181.87617556841,15388.989510317191,15597.542291191301,15807.607420463752,16019.113761200899,16232.098151982524,16446.561401495972,16662.468296644518,16879.85559132228,17098.688025379503,17319.00229988371,17540.763112352837,17764.007113974087,17988.69896318844,18214.875266580806,18442.464665543514
2.0,,,,,3226.375791035328,3133.041189750639,3052.9932695538027,2984.905714914636,2927.6365941545423,2880.1476476224957,2841.563229340914,2811.152993214809,2789.2422680866002,2774.5914685935786,2766.3861125087096,2764.216980231606,2767.623789928236,2776.2463917392306,2789.7581144764954,2807.8344424942647,2830.22943716349,2856.707009920118,2887.0439975829,2921.0328255518984,2958.483820973493,2999.2272278215523,3043.15110559177,3090.0944511119997,3139.92083193855,3192.555713984424,3247.842957747635,3305.6903005499853,3366.834844662682,3430.667212856646,3496.846516220501,3565.4003657986905,3636.206738738561,3709.1751144135824,3784.3191394153955,3861.5763457376243,3940.8446248882115,4022.1631552227987,4105.387543285339,4190.551316836028,4277.613272304346,4366.493808483842,4457.219585230908,4549.706972653499,4643.978910397865,4739.9483438218,4837.635042731432,4937.021251700596,5038.575162671133,5141.9604791510765,5247.0200254566125,5353.695907069712,5461.96537054631,5571.840865589523,5683.333998496173,5796.347288741545,5910.926935115824,6027.046250845906,6144.677915093593,6263.830109784051,6384.474363524549,6506.617778983523,6630.230876776577,6755.28372283255,6881.818132905175,7009.803338171163,7139.208194481458,7270.07337237596,7402.825997359166,7537.121155339509,7672.877632024199,7810.0269859442915,7948.608750010205,8088.590051967967,8229.973861834247,8372.726855245335,8516.887641389581,8662.422488468508,8809.333547712282,8957.622791411963,9107.25596080249,9258.27076308326,9410.632630316735,9564.306856743267,9719.366770188602,9875.74134438051,10033.467595090426,10192.510316361171,10356.44314673595,10522.756732617408,10690.50284925686,10859.719813936743,11030.409804834802,11202.538874966982,11376.14507421536,11551.194297312497,11727.724436296092,11905.665209696292,12085.090401089397,12265.929602113823,12448.256460176632,12632.000451899643,12817.19907860844,13003.817738174443,13191.893820884885,13381.428642627614,13572.387457529938,13764.771493227145,13958.617945749798,14153.89194228434,14350.55857511704,14548.690927319702,14748.254014926131,14949.248828819771,15151.676325936509,15355.537430809374,15560.797039030107,15767.528009588905,15975.659183831467,16185.22736624517,16396.19734383174,16608.605866947717,16822.417676936235,17037.669470410663,17254.361930604773,17472.45973645886,17691.96353230053,17912.87394504504
2.25,,,,,,3180.5153845957434,3094.9492646006097,3021.6548121695437,2959.418073270087,2907.196338311985,2864.105507731208,2829.3672284000854,2803.233929045541,2784.4989321745343,2772.369606703315,2766.343059322597,2766.008298696523,2770.9807703551196,2780.9081719327787,2795.4754251636364,2814.4450836196443,2837.4802941292487,2864.43710510437,2895.1142178166738,2929.2553775844026,2966.7321558550475,3007.4012011892564,3051.105831088001,3097.7135675139357,3147.1173641843475,3199.2005511161856,3253.8739303559155,3311.77974859496,3372.36459915476,3435.3322376832566,3500.6040563580373,3568.168451474421,3637.900641817391,3709.7798840706173,3783.70920345064,3859.696379750212,3937.673617619222,4017.570085653422,4099.384412826801,4183.040423771463,4268.567952877814,4355.850191556377,4444.9128137916605,4535.707416558135,4628.220015194272,4722.398941101712,4818.227188409965,4916.2384110203075,5016.029938450173,5117.447041530175,5220.468523319324,5325.108292606713,5431.2710150335215,5539.004909452793,5648.285177611416,5759.050171127841,5871.345839576706,5985.145274558822,6100.420956738401,6217.180888440898,6335.360346583118,6455.002386071963,6576.07740194197,6698.59143711417,6822.514029920294,6947.850416205038,7074.569377764082,7203.170222953949,7333.308486083336,7464.831106952217,7597.742048299666,7732.008922556544,7867.671238900989,8004.732182352053,8143.122566552551,8282.845138886612,8423.938507001458,8566.405011143366,8710.174680755135,8855.285569172842,9001.703436665764,9149.466010626566,9298.538749123618,9448.886975826843,9600.584045870668,9753.558969396172,9907.848796239188,10066.860091216971,10228.141073343957,10390.883981737887,10555.01906842042,10720.58462782746,10887.582818188901,11055.979674058124,11225.813228080931,11397.049358831238,11569.689910729023,11743.73665781244,11919.227332337565,12096.09151900669,12274.402849999646,12454.090795778035,12635.192846592097,12817.674392978557,13001.57281633619,13186.889425797648,13373.589469493347,13561.674168853315,13751.144703554624,13942.038218151394,14134.319798813784,14327.990504502275,14523.051357836253,14719.503346418061,14917.34742424376,15116.548515091868,15317.179505991293,15519.16926556335,15722.554622688753,15927.336381627323,16133.51532202843,16341.056208347622,16549.959774118044,16760.26271426891,16971.96571066066,17185.03344347885,17399.466557400392
