Altitude_km,Mach_0.144,Mach_0.149,Mach_0.154,Mach_0.159,Mach_0.164,Mach_0.169,Mach_0.174,Mach_0.179,Mach_0.184,Mach_0.189,Mach_0.194,Mach_0.199,Mach_0.204,Mach_0.209,Mach_0.214,Mach_0.219,Mach_0.224,Mach_0.229,Mach_0.234,Mach_0.239,Mach_0.244,Mach_0.249,Mach_0.254,Mach_0.259,Mach_0.264,Mach_0.269,Mach_0.274,Mach_0.279,Mach_0.284,Mach_0.289,Mach_0.294,Mach_0.299,Mach_0.304,Mach_0.309,Mach_0.314,Mach_0.319,Mach_0.324,Mach_0.329,Mach_0.334,Mach_0.339,Mach_0.344,Mach_0.349,Mach_0.354,Mach_0.359,Mach_0.364,Mach_0.369,Mach_0.374,Mach_0.379,Mach_0.384,Mach_0.389,Mach_0.394,Mach_0.399,Mach_0.404,Mach_0.409,Mach_0.414,Mach_0.419,Mach_0.424,Mach_0.429,Mach_0.434,Mach_0.439,Mach_0.444,Mach_0.449,Mach_0.454,Mach_0.459,Mach_0.464,Mach_0.469,Mach_0.474,Mach_0.479,Mach_0.484,Mach_0.489,Mach_0.494,Mach_0.499,Mach_0.504,Mach_0.509,Mach_0.514,Mach_0.519,Mach_0.524,Mach_0.529,Mach_0.534,Mach_0.539,Mach_0.544,Mach_0.549,Mach_0.554,Mach_0.559,Mach_0.564,Mach_0.569,Mach_0.574,Mach_0.579,Mach_0.584,Mach_0.589,Mach_0.594,Mach_0.599,Mach_0.604,Mach_0.609,Mach_0.614,Mach_0.619,Mach_0.624,Mach_0.629,Mach_0.634,Mach_0.639,Mach_0.644,Mach_0.649,Mach_0.654,Mach_0.659,Mach_0.664,Mach_0.669,Mach_0.674,Mach_0.679,Mach_0.684,Mach_0.689,Mach_0.694,Mach_0.699,Mach_0.704,Mach_0.709,Mach_0.714,Mach_0.719,Mach_0.724,Mach_0.729,Mach_0.734,Mach_0.739,Mach_0.744,Mach_0.749,Mach_0.754,Mach_0.759,Mach_0.764,Mach_0.769,Mach_0.774,Mach_0.779,Mach_0.784,Mach_0.789,Mach_0.794,Mach_0.799
0.0,14470.760000000002,14399.710000000003,14328.66,14257.61,14186.560000000001,14115.51,14044.46,13973.410000000002,13902.36,13831.31,13760.26,13689.210000000001,13622.4,13556.65,13490.9,13425.15,13359.4,13293.650000000001,13227.899999999998,13162.15,13096.4,13030.65,12964.9,12899.149999999998,12833.399999999998,12767.649999999998,12701.9,12636.149999999998,12570.399999999998,12504.65,12438.900000000001,12373.15,12313.84,12256.14,12198.439999999999,12140.74,12083.04,12025.34,11967.64,11909.939999999999,11852.24,11794.54,11736.84,11679.14,11621.439999999999,11563.740000000002,11506.04,11448.34,11390.64,11332.939999999999,11275.24,11217.54,11159.480000000001,11101.33,11043.18,10985.029999999999,10926.880000000001,10868.73,10810.58,10752.43,10694.279999999999,10636.130000000001,10577.98,10519.829999999998,10461.68,10403.53,10345.380000000001,10287.23,10229.079999999998,10170.93,10112.78,10054.63,10022.039999999999,9995.839999999998,9969.64,9943.439999999999,9917.24,9891.039999999999,9864.839999999998,9838.64,9812.439999999999,9786.24,9760.039999999999,9733.84,9707.64,9681.439999999999,9655.24,9629.039999999999,9602.839999999998,9576.64,9550.439999999999,9524.24,9496.28,9467.88,9439.48,9411.08,9382.68,9354.279999999999,9325.88,9297.48,9269.079999999998,9240.68,9212.279999999999,9183.88,9155.48,9127.08,9098.68,9070.279999999999,9041.88,9013.48,8985.08,8956.68,8935.72,8916.619999999999,8897.52,8878.42,8859.32,8840.22,8821.119999999999,8802.02,8782.92,8763.82,8744.720000000001,8725.619999999999,8706.52,8687.42,8668.32,8649.220000000001,8630.12,8611.02,8591.92,8572.82
0.25,14263.960000000001,14193.62875,14123.2975,14052.966250000001,13982.635,13912.30375,13841.9725,13771.64125,13701.31,13630.978749999998,13560.6475,13490.31625,13424.765,13360.40875,13296.052500000002,13231.696249999999,13167.34,13102.983750000001,13038.627499999999,12974.271250000002,12909.914999999999,12845.55875,12781.2025,12716.846249999999,12652.49,12588.133749999999,12523.7775,12459.421249999998,12395.064999999999,12330.708749999998,12266.3525,12201.99625,12143.85,12087.256249999999,12030.662499999999,11974.06875,11917.474999999999,11860.881249999999,11804.2875,11747.69375,11691.099999999999,11634.506249999999,11577.9125,11521.31875,11464.724999999999,11408.13125,11351.537499999999,11294.94375,11238.350000000002,11181.75625,11125.162499999999,11068.56875,11012.725000000002,10957.068749999999,10901.4125,10845.756249999999,10790.099999999999,10734.44375,10678.787499999999,10623.131249999999,10567.475,10511.81875,10456.1625,10400.506249999999,10344.849999999999,10289.193749999999,10233.5375,10177.88125,10122.224999999999,10066.56875,10010.912500000002,9955.256249999999,9922.59,9895.671249999998,9868.7525,9841.83375,9814.914999999999,9787.996249999998,9761.077499999998,9734.158749999999,9707.24,9680.32125,9653.402499999998,9626.48375,9599.565,9572.64625,9545.727499999999,9518.80875,9491.89,9464.971249999999,9438.0525,9411.133749999999,9383.25,9355.124999999998,9327.0,9298.875,9270.75,9242.624999999998,9214.5,9186.374999999998,9158.25,9130.125,9101.999999999996,9073.875,9045.749999999998,9017.625,8989.499999999998,8961.374999999998,8933.249999999998,8905.124999999998,8876.999999999998,8848.875,8828.594999999998,8810.276249999999,8791.957499999999,8773.638750000002,8755.32,8737.001250000001,8718.682499999999,8700.363749999999,8682.045000000002,8663.72625,8645.4075,8627.08875,8608.769999999999,8590.45125,8572.1325,8553.813750000001,8535.495,8517.176249999999,8498.8575,8480.53875
0.5,14057.160000000003,13987.547500000002,13917.935,13848.322500000002,13778.710000000001,13709.097500000002,13639.485,13569.872500000001,13500.259999999998,13430.647500000001,13361.035000000002,13291.4225,13227.129999999997,13164.1675,13101.205,13038.242499999998,12975.28,12912.317500000001,12849.354999999998,12786.3925,12723.43,12660.467499999999,12597.505,12534.542499999998,12471.58,12408.6175,12345.654999999999,12282.692499999997,12219.73,12156.7675,12093.805,12030.842499999999,11973.86,11918.3725,11862.884999999998,11807.3975,11751.910000000002,11696.4225,11640.935,11585.447499999998,11529.96,11474.4725,11418.985,11363.4975,11308.01,11252.522500000001,11197.035,11141.5475,11086.060000000001,11030.5725,10975.085000000001,10919.5975,10865.970000000001,10812.807499999999,10759.645,10706.482499999998,10653.32,10600.1575,10546.995,10493.8325,10440.67,10387.5075,10334.345000000001,10281.182499999997,10228.019999999999,10174.8575,10121.695,10068.5325,10015.37,9962.2075,9909.045000000002,9855.8825,9823.139999999998,9795.502499999999,9767.864999999998,9740.227499999997,9712.589999999998,9684.9525,9657.314999999999,9629.677499999998,9602.039999999999,9574.402499999998,9546.765,9519.127499999999,9491.49,9463.852499999999,9436.215,9408.5775,9380.939999999999,9353.3025,9325.664999999999,9298.0275,9270.22,9242.37,9214.519999999999,9186.67,9158.82,9130.97,9103.119999999999,9075.27,9047.419999999998,9019.57,8991.72,8963.869999999999,8936.019999999999,8908.17,8880.32,8852.469999999998,8824.619999999999,8796.769999999999,8768.919999999998,8741.07,8721.47,8703.932499999999,8686.395,8668.8575,8651.32,8633.7825,8616.245,8598.7075,8581.17,8563.6325,8546.095000000001,8528.557499999999,8511.02,8493.4825,8475.945,8458.4075,8440.87,8423.3325,8405.795,8388.2575
0.75,13850.360000000002,13781.466250000003,13712.5725,13643.678750000001,13574.785,13505.89125,13436.997500000001,13368.103750000002,13299.210000000001,13230.31625,13161.4225,13092.52875,13029.494999999999,12967.92625,12906.357500000002,12844.78875,12783.220000000001,12721.65125,12660.082499999999,12598.51375,12536.945,12475.376250000001,12413.807499999999,12352.238749999999,12290.669999999998,12229.10125,12167.5325,12105.963749999999,12044.394999999997,11982.826249999998,11921.2575,11859.688750000001,11803.869999999999,11749.488749999999,11695.107499999998,11640.726250000002,11586.345,11531.963750000003,11477.5825,11423.201250000002,11368.82,11314.43875,11260.057499999999,11205.676249999999,11151.295000000002,11096.91375,11042.532500000001,10988.151249999999,10933.77,10879.38875,10825.0075,10770.626250000001,10719.215000000002,10668.546250000001,10617.877499999999,10567.208749999998,10516.539999999999,10465.87125,10415.2025,10364.533749999999,10313.865,10263.19625,10212.5275,10161.85875,10111.189999999999,10060.52125,10009.852499999999,9959.18375,9908.515,9857.846249999999,9807.177500000002,9756.508749999999,9723.69,9695.333749999998,9666.977499999999,9638.62125,9610.264999999998,9581.908749999999,9553.5525,9525.196249999999,9496.84,9468.48375,9440.127499999999,9411.771249999998,9383.415,9355.05875,9326.7025,9298.34625,9269.99,9241.633749999999,9213.2775,9184.92125,9157.19,9129.614999999998,9102.039999999999,9074.465,9046.889999999998,9019.314999999999,8991.74,8964.164999999999,8936.59,8909.015,8881.439999999999,8853.864999999998,8826.289999999999,8798.715,8771.14,8743.564999999999,8715.989999999998,8688.414999999999,8660.84,8633.265,8614.345,8597.58875,8580.8325,8564.076250000002,8547.32,8530.56375,8513.8075,8497.05125,8480.295000000002,8463.53875,8446.7825,8430.026249999999,8413.27,8396.51375,8379.7575,8363.001250000001,8346.245,8329.48875,8312.732499999998,8295.97625
1.0,13643.560000000003,13575.385,13507.210000000001,13439.035,13370.86,13302.685000000001,13234.51,13166.335000000001,13098.16,13029.985,12961.810000000001,12893.635,12831.86,12771.685000000001,12711.509999999998,12651.334999999997,12591.16,12530.985,12470.810000000001,12410.634999999998,12350.46,12290.285,12230.11,12169.934999999998,12109.759999999998,12049.585,11989.41,11929.234999999999,11869.059999999998,11808.884999999998,11748.710000000001,11688.535,11633.88,11580.605,11527.329999999998,11474.055,11420.78,11367.505000000001,11314.23,11260.955,11207.68,11154.404999999999,11101.13,11047.855,10994.58,10941.305,10888.03,10834.755,10781.48,10728.205,10674.93,10621.655,10572.460000000001,10524.285,10476.109999999999,10427.935000000001,10379.759999999998,10331.585,10283.41,10235.235,10187.060000000001,10138.885,10090.71,10042.535,9994.36,9946.185,9898.01,9849.835,9801.66,9753.485,9705.310000000001,9657.134999999998,9624.24,9595.164999999999,9566.089999999998,9537.014999999998,9507.939999999999,9478.865,9449.789999999999,9420.714999999998,9391.64,9362.564999999999,9333.489999999998,9304.414999999999,9275.34,9246.265,9217.189999999999,9188.115,9159.039999999999,9129.965,9100.89,9071.815,9044.160000000002,9016.859999999999,8989.56,8962.259999999998,8934.96,8907.66,8880.359999999999,8853.06,8825.759999999998,8798.46,8771.16,8743.859999999999,8716.56,8689.26,8661.96,8634.66,8607.359999999999,8580.06,8552.76,8525.46,8507.219999999998,8491.245,8475.27,8459.295000000002,8443.32,8427.345,8411.37,8395.395,8379.420000000002,8363.445,8347.470000000001,8331.495,8315.52,8299.544999999998,8283.57,8267.595000000001,8251.62,8235.645,8219.67,8203.695
1.25,13436.76,13369.303750000003,13301.8475,13234.39125,13166.935000000001,13099.478750000002,13032.0225,12964.56625,12897.109999999999,12829.653750000001,12762.197500000002,12694.74125,12634.225000000002,12575.443750000002,12516.662499999999,12457.881249999999,12399.099999999999,12340.31875,12281.5375,12222.75625,12163.974999999999,12105.193749999999,12046.412499999999,11987.631249999999,11928.849999999999,11870.068749999999,11811.287499999999,11752.506249999999,11693.724999999999,11634.943749999999,11576.1625,11517.381249999999,11463.89,11411.721249999997,11359.552499999998,11307.383749999999,11255.215,11203.046250000001,11150.8775,11098.70875,11046.54,10994.37125,10942.2025,10890.033749999999,10837.865000000002,10785.69625,10733.5275,10681.35875,10629.19,10577.02125,10524.8525,10472.68375,10425.705,10380.023749999998,10334.342499999999,10288.661250000001,10242.98,10197.29875,10151.617499999998,10105.93625,10060.255,10014.57375,9968.892499999998,9923.211249999998,9877.529999999999,9831.84875,9786.1675,9740.486249999998,9694.805,9649.12375,9603.442500000001,9557.76125,9524.79,9494.99625,9465.2025,9435.408749999999,9405.614999999998,9375.82125,9346.027499999998,9316.23375,9286.44,9256.64625,9226.852499999999,9197.05875,9167.265,9137.471249999999,9107.677499999998,9077.88375,9048.09,9018.29625,8988.502499999999,8958.708750000002,8931.13,8904.105,8877.08,8850.054999999998,8823.029999999999,8796.005,8768.98,8741.955,8714.93,8687.905,8660.88,8633.855,8606.83,8579.805,8552.779999999999,8525.754999999997,8498.73,8471.704999999998,8444.68,8417.654999999999,8400.095,8384.90125,8369.7075,8354.51375,8339.32,8324.12625,8308.932500000003,8293.73875,8278.545000000002,8263.35125,8248.157500000001,8232.963749999999,8217.77,8202.57625,8187.382500000001,8172.18875,8156.995000000001,8141.80125,8126.6075,8111.41375
1.5,13229.960000000003,13163.222500000002,13096.485,13029.747500000001,12963.01,12896.272500000001,12829.535,12762.7975,12696.060000000001,12629.3225,12562.585,12495.8475,12436.589999999997,12379.202499999998,12321.815,12264.4275,12207.04,12149.6525,12092.265,12034.877499999999,11977.490000000002,11920.1025,11862.715,11805.3275,11747.939999999999,11690.552499999998,11633.164999999999,11575.7775,11518.39,11461.002499999999,11403.615000000002,11346.2275,11293.899999999998,11242.8375,11191.775,11140.7125,11089.65,11038.5875,10987.525000000001,10936.462500000001,10885.399999999998,10834.337500000001,10783.275,10732.2125,10681.15,10630.087500000001,10579.025000000001,10527.9625,10476.9,10425.837500000001,10374.775,10323.7125,10278.949999999999,10235.762499999999,10192.575,10149.3875,10106.2,10063.012499999999,10019.825,9976.637499999999,9933.45,9890.2625,9847.074999999999,9803.887499999999,9760.7,9717.5125,9674.325,9631.137499999999,9587.95,9544.7625,9501.575,9458.3875,9425.34,9394.827499999998,9364.315,9333.8025,9303.289999999999,9272.777499999998,9242.265,9211.752499999999,9181.239999999998,9150.727499999999,9120.214999999998,9089.7025,9059.189999999999,9028.6775,8998.165,8967.6525,8937.14,8906.627499999999,8876.115,8845.6025,8818.1,8791.349999999999,8764.599999999999,8737.849999999999,8711.099999999999,8684.349999999999,8657.6,8630.849999999999,8604.1,8577.349999999999,8550.599999999999,8523.849999999999,8497.099999999999,8470.349999999999,8443.599999999999,8416.849999999999,8390.099999999999,8363.349999999999,8336.6,8309.849999999999,8292.97,8278.5575,8264.145,8249.7325,8235.32,8220.9075,8206.495,8192.0825,8177.67,8163.2575,8148.845000000001,8134.4325,8120.02,8105.6075,8091.195,8076.782500000001,8062.37,8047.9575,8033.544999999999,8019.1325
1.75,13023.160000000002,12957.141250000002,12891.122500000001,12825.103750000002,12759.085,12693.066250000002,12627.0475,12561.028750000001,12495.01,12428.991250000001,12362.972500000002,12296.95375,12238.954999999998,12182.961249999998,12126.967499999997,12070.973749999997,12014.98,11958.986250000002,11902.9925,11846.998749999999,11791.005000000001,11735.01125,11679.017499999998,11623.02375,11567.029999999999,11511.03625,11455.0425,11399.048749999998,11343.055,11287.061249999999,11231.067500000001,11175.07375,11123.91,11073.953749999997,11023.9975,10974.041249999998,10924.085,10874.12875,10824.1725,10774.216250000001,10724.26,10674.30375,10624.3475,10574.39125,10524.435000000001,10474.478749999998,10424.522500000001,10374.56625,10324.609999999999,10274.653750000001,10224.6975,10174.741250000001,10132.194999999998,10091.501249999998,10050.8075,10010.113749999999,9969.42,9928.72625,9888.0325,9847.338749999999,9806.645,9765.951249999998,9725.2575,9684.56375,9643.87,9603.17625,9562.4825,9521.78875,9481.095,9440.401249999999,9399.7075,9359.01375,9325.89,9294.658749999999,9263.427499999998,9232.196249999999,9200.965,9169.73375,9138.5025,9107.27125,9076.039999999999,9044.80875,9013.5775,8982.346249999999,8951.115,8919.88375,8888.6525,8857.42125,8826.189999999999,8794.958749999998,8763.727499999999,8732.49625,8705.07,8678.595,8652.119999999999,8625.645,8599.17,8572.695,8546.22,8519.744999999999,8493.269999999999,8466.795,8440.32,8413.845,8387.369999999999,8360.895,8334.419999999998,8307.945,8281.469999999998,8254.994999999999,8228.52,8202.045,8185.844999999999,8172.213750000001,8158.5825,8144.95125,8131.32,8117.688749999999,8104.057500000001,8090.42625,8076.795,8063.16375,8049.532500000001,8035.90125,8022.27,8008.63875,7995.0075,7981.37625,7967.745000000001,7954.11375,7940.4825,7926.85125
2.0,12816.36,12751.060000000001,12685.76,12620.460000000001,12555.16,12489.86,12424.560000000001,12359.26,12293.96,12228.660000000002,12163.36,12098.06,12041.32,11986.72,11932.119999999999,11877.52,11822.92,11768.32,11713.720000000001,11659.119999999999,11604.52,11549.92,11495.32,11440.72,11386.119999999999,11331.519999999999,11276.919999999998,11222.32,11167.72,11113.119999999999,11058.52,11003.92,10953.919999999998,10905.07,10856.219999999998,10807.369999999999,10758.52,10709.67,10660.82,10611.970000000001,10563.119999999999,10514.27,10465.419999999998,10416.57,10367.720000000001,10318.869999999999,10270.02,10221.17,10172.32,10123.470000000001,10074.619999999999,10025.77,9985.439999999999,9947.239999999998,9909.04,9870.84,9832.64,9794.439999999999,9756.24,9718.039999999999,9679.84,9641.64,9603.439999999999,9565.239999999998,9527.04,9488.84,9450.64,9412.439999999999,9374.24,9336.04,9297.84,9259.64,9226.44,9194.489999999998,9162.539999999999,9130.589999999998,9098.64,9066.689999999999,9034.74,9002.789999999999,8970.84,8938.89,8906.939999999999,8874.99,8843.039999999999,8811.09,8779.14,8747.189999999999,8715.24,8683.289999999999,8651.34,8619.390000000001,8592.039999999999,8565.839999999998,8539.64,8513.439999999999,8487.24,8461.039999999999,8434.84,8408.64,8382.439999999999,8356.24,8330.039999999999,8303.839999999998,8277.64,8251.439999999999,8225.239999999998,8199.039999999999,8172.839999999998,8146.639999999999,8120.4400000000005,8094.24,8078.719999999999,8065.870000000001,8053.02,8040.17,8027.32,8014.469999999999,8001.620000000001,7988.77,7975.92,7963.07,7950.220000000001,7937.37,7924.52,7911.67,7898.82,7885.97,7873.12,7860.27,7847.42,7834.570000000001
2.25,12639.515000000001,12575.44,12511.365,12447.29,12383.215,12319.140000000001,12255.065,12190.99,12126.914999999999,12062.840000000002,11998.765000000001,11934.69,11879.48,11826.48625,11773.492499999998,11720.49875,11667.505,11614.511250000001,11561.5175,11508.523750000002,11455.53,11402.536250000001,11349.542499999998,11296.54875,11243.554999999998,11190.56125,11137.5675,11084.57375,11031.58,10978.58625,10925.5925,10872.59875,10823.899999999998,10776.274999999998,10728.65,10681.025,10633.4,10585.775,10538.15,10490.525000000001,10442.9,10395.275,10347.65,10300.025,10252.4,10204.775,10157.150000000001,10109.525,10061.9,10014.275000000001,9966.650000000001,9919.025000000001,9878.984999999999,9840.841249999998,9802.6975,9764.55375,9726.41,9688.266249999999,9650.122500000001,9611.978749999998,9573.835,9535.69125,9497.547499999999,9459.403749999998,9421.26,9383.11625,9344.9725,9306.828749999999,9268.685,9230.54125,9192.3975,9154.25375,9121.685,9090.509999999998,9059.335,9028.159999999998,8996.984999999999,8965.81,8934.635,8903.46,8872.284999999998,8841.109999999999,8809.935,8778.76,8747.585,8716.41,8685.235,8654.06,8622.884999999998,8591.71,8560.535,8529.36,8502.255000000001,8476.167499999998,8450.079999999998,8423.9925,8397.904999999999,8371.8175,8345.73,8319.6425,8293.554999999998,8267.4675,8241.38,8215.292499999998,8189.204999999999,8163.1175,8137.029999999998,8110.942499999999,8084.854999999999,8058.767499999999,8032.68,8006.5925,7991.179999999999,7978.436250000002,7965.6925,7952.9487500000005,7940.204999999999,7927.461249999999,7914.717500000002,7901.97375,7889.2300000000005,7876.48625,7863.7425,7850.99875,7838.255,7825.5112500000005,7812.7675,7800.02375,7787.280000000001,7774.53625,7761.7925000000005,7749.04875
