Altitude_km,Max_True_speed,Mach_at_max_speed
0.0,178.3172,0.524
0.25,177.81368597335054,0.524
0.5,179.00061940423382,0.529
0.75,180.1764468770739,0.534
1.0,181.34111432771994,0.539
1.25,182.49456703135775,0.544
1.5,181.9642837468586,0.544
1.75,183.10002824962527,0.549
2.0,184.22440411239577,0.554
2.25,185.33735396814998,0.559
2.5,186.43881972594787,0.564
2.75,187.52874255692572,0.569
3.0,186.96414421372853,0.569
3.25,188.03577802944852,0.574
3.5,189.09570302381877,0.579
3.75,190.14385740831986,0.584
4.0,191.1801785829706,0.589
4.25,192.20460312001453,0.594
4.5,193.21706674716822,0.599
4.75,192.60974353297965,0.599
5.0,193.60317457016504,0.604
5.25,194.5844628275316,0.609
5.5,195.5535406334715,0.614
5.75,194.9230183868582,0.614
6.0,195.8726197327468,0.619
6.25,196.8098187620363,0.624
6.5,196.16272739151492,0.624
6.75,197.08010889131552,0.629
7.0,197.98488827654094,0.634
7.25,198.87699126145662,0.639
7.5,198.2054392032979,0.639
7.75,199.07723477443568,0.644
8.0,199.93614257869646,0.649
8.25,199.24705283996062,0.649
8.5,200.08527556217678,0.654
8.75,199.38603188946337,0.654
9.0,200.203320662992,0.659
9.25,201.00735493236624,0.664
9.5,200.2898437560736,0.664
9.75,201.07253721970835,0.669
10.0,200.34439672303455,0.669
10.25,201.10548058938602,0.674
10.5,200.36651677222778,0.674
10.75,199.62481750469541,0.674
11.0,200.35572571474572,0.679
