Altitude_km,Mach_min,CL_max,V_min_ms
0.0,0.0301,1.42795,10.25
0.03673,0.0302,1.42792,10.27
0.09218,0.0303,1.42788,10.3
0.14737,0.0304,1.42784,10.33
0.20231,0.0305,1.4278,10.36
0.25701,0.0306,1.42776,10.38
0.31146,0.0307,1.42772,10.41
0.36566,0.0308,1.42768,10.44
0.41962,0.0309,1.42764,10.47
0.47334,0.031,1.4276,10.49
0.52682,0.0311,1.42756,10.52
0.58006,0.0312,1.42752,10.55
0.63307,0.0313,1.42748,10.58
0.68584,0.0314,1.42744,10.6
0.73838,0.0315,1.4274,10.63
0.79069,0.0316,1.42736,10.66
0.84277,0.0317,1.42732,10.68
0.89463,0.0318,1.42728,10.71
0.94626,0.0319,1.42724,10.74
0.99767,0.032,1.4272,10.77
1.04885,0.0321,1.42716,10.79
1.09982,0.0322,1.42712,10.82
1.15057,0.0323,1.42708,10.85
1.2011,0.0324,1.42704,10.88
1.25141,0.0325,1.427,10.9
1.30151,0.0326,1.42696,10.93
1.3514,0.0327,1.42692,10.96
1.40108,0.0328,1.42688,10.98
1.45055,0.0329,1.42684,11.01
1.49981,0.033,1.4268,11.04
1.54886,0.0331,1.42676,11.07
1.59772,0.0332,1.42672,11.09
1.64636,0.0333,1.42668,11.12
1.69481,0.0334,1.42664,11.15
1.74306,0.0335,1.4266,11.17
1.7911,0.0336,1.42656,11.2
1.83895,0.0337,1.42652,11.23
1.88661,0.0338,1.42648,11.25
1.93406,0.0339,1.42644,11.28
1.98133,0.034,1.4264,11.31
2.0284,0.0341,1.42636,11.34
2.07529,0.0342,1.42632,11.36
2.12198,0.0343,1.42628,11.39
2.16849,0.0344,1.42624,11.42
2.2148,0.0345,1.4262,11.44
2.26094,0.0346,1.42616,11.47
2.30689,0.0347,1.42612,11.5
2.35265,0.0348,1.42608,11.52
2.39824,0.0349,1.42604,11.55
2.44364,0.035,1.426,11.58
2.48887,0.0351,1.42596,11.6
2.53392,0.0352,1.42592,11.63
2.57879,0.0353,1.42588,11.66
2.62348,0.0354,1.42584,11.68
2.66801,0.0355,1.4258,11.71
2.71235,0.0356,1.42576,11.74
2.75653,0.0357,1.42572,11.76
2.80053,0.0358,1.42568,11.79
2.84437,0.0359,1.42564,11.82
2.88804,0.036,1.4256,11.85
2.93153,0.0361,1.42556,11.87
2.97487,0.0362,1.42552,11.9
3.01803,0.0363,1.42548,11.92
3.06104,0.0364,1.42544,11.95
3.10388,0.0365,1.4254,11.98
3.14656,0.0366,1.42536,12.0
3.18907,0.0367,1.42532,12.03
3.23143,0.0368,1.42528,12.06
3.27363,0.0369,1.42524,12.08
3.31567,0.037,1.4252,12.11
3.35755,0.0371,1.42516,12.14
3.39928,0.0372,1.42512,12.16
3.44085,0.0373,1.42508,12.19
3.48227,0.0374,1.42504,12.22
3.52353,0.0375,1.425,12.24
3.56464,0.0376,1.42496,12.27
3.60561,0.0377,1.42492,12.3
3.64642,0.0378,1.42488,12.32
3.68708,0.0379,1.42484,12.35
3.7276,0.038,1.4248,12.38
3.76796,0.0381,1.42476,12.4
3.80818,0.0382,1.42472,12.43
3.84826,0.0383,1.42468,12.45
3.88819,0.0384,1.42464,12.48
3.92798,0.0385,1.4246,12.51
3.96762,0.0386,1.42456,12.53
4.00713,0.0387,1.42452,12.56
4.04649,0.0388,1.42448,12.59
4.08571,0.0389,1.42444,12.61
4.12479,0.039,1.4244,12.64
4.16373,0.0391,1.42436,12.67
4.20254,0.0392,1.42432,12.69
4.24121,0.0393,1.42428,12.72
4.27974,0.0394,1.42424,12.74
4.31814,0.0395,1.4242,12.77
4.35641,0.0396,1.42416,12.8
4.39454,0.0397,1.42412,12.82
4.43253,0.0398,1.42408,12.85
4.4704,0.0399,1.42404,12.88
4.50813,0.04,1.424,12.9
4.54574,0.0401,1.42396,12.93
4.58321,0.0402,1.42392,12.95
4.62056,0.0403,1.42388,12.98
4.65778,0.0404,1.42384,13.01
4.69487,0.0405,1.4238,13.03
4.73183,0.0406,1.42376,13.06
4.76867,0.0407,1.42372,13.08
4.80538,0.0408,1.42368,13.11
4.84197,0.0409,1.42364,13.14
4.87844,0.041,1.4236,13.16
4.91478,0.0411,1.42356,13.19
4.951,0.0412,1.42352,13.21
4.9871,0.0413,1.42348,13.24
5.02308,0.0414,1.42344,13.27
5.05894,0.0415,1.4234,13.29
5.09468,0.0416,1.42336,13.32
5.13029,0.0417,1.42332,13.34
5.1658,0.0418,1.42328,13.37
5.20118,0.0419,1.42324,13.4
5.23645,0.042,1.4232,13.42
5.2716,0.0421,1.42316,13.45
5.30664,0.0422,1.42312,13.47
5.34156,0.0423,1.42308,13.5
5.37637,0.0424,1.42304,13.53
5.41106,0.0425,1.423,13.55
5.44564,0.0426,1.42296,13.58
5.48011,0.0427,1.42292,13.6
5.51447,0.0428,1.42288,13.63
5.54871,0.0429,1.42284,13.65
5.58285,0.043,1.4228,13.68
5.61687,0.0431,1.42276,13.71
5.65079,0.0432,1.42272,13.73
5.6846,0.0433,1.42268,13.76
5.7183,0.0434,1.42264,13.78
