Altitude_km,Mach_0.030,Mach_0.040,Mach_0.050,Mach_0.060,Mach_0.070,Mach_0.080,Mach_0.090,Mach_0.100,Mach_0.110,Mach_0.120,Mach_0.130,Mach_0.140,Mach_0.150,Mach_0.160,Mach_0.170,Mach_0.180,Mach_0.190,Mach_0.200,Mach_0.210,Mach_0.220,Mach_0.230,Mach_0.240,Mach_0.250,Mach_0.260,Mach_0.270,Mach_0.280,Mach_0.290,Mach_0.300,Mach_0.310,Mach_0.320,Mach_0.330,Mach_0.340,Mach_0.350,Mach_0.360,Mach_0.370,Mach_0.380,Mach_0.390,Mach_0.400,Mach_0.410,Mach_0.420,Mach_0.430,Mach_0.440,Mach_0.450,Mach_0.460,Mach_0.470,Mach_0.480,Mach_0.490
0.0,,0.81041,0.51866,0.36018,0.26462,0.2026,0.16008,0.12967,0.10716,0.09005,0.07673,0.06616,0.05763,0.05065,0.04487,0.04002,0.03592,0.03242,0.0294,0.02679,0.02451,0.02251,0.02075,0.01918,0.01779,0.01654,0.01542,0.01441,0.01349,0.01266,0.01191,0.01122,0.01058,0.01001,0.00947,0.00898,0.00853,0.0081,0.00771,0.00735,0.00701,0.0067,0.0064,0.00613,0.00587,0.00563,0.0054
0.5,,0.8602,0.55053,0.38231,0.28088,0.21505,0.16992,0.13763,0.11375,0.09558,0.08144,0.07022,0.06117,0.05376,0.04762,0.04248,0.03813,0.03441,0.03121,0.02844,0.02602,0.02389,0.02202,0.02036,0.01888,0.01756,0.01637,0.01529,0.01432,0.01344,0.01264,0.01191,0.01124,0.01062,0.01005,0.00953,0.00905,0.0086,0.00819,0.0078,0.00744,0.00711,0.0068,0.0065,0.00623,0.00597,0.00573
1.0,,0.91367,0.58475,0.40607,0.29834,0.22842,0.18048,0.14619,0.12082,0.10152,0.0865,0.07459,0.06497,0.0571,0.05058,0.04512,0.04049,0.03655,0.03315,0.0302,0.02763,0.02538,0.02339,0.02163,0.02005,0.01865,0.01738,0.01624,0.01521,0.01428,0.01342,0.01265,0.01193,0.01128,0.01068,0.01012,0.00961,0.00914,0.0087,0.00829,0.00791,0.00755,0.00722,0.00691,0.00662,0.00634,0.00609
1.5,,0.97114,0.62153,0.43162,0.31711,0.24278,0.19183,0.15538,0.12842,0.1079,0.09194,0.07928,0.06906,0.0607,0.05377,0.04796,0.04304,0.03885,0.03523,0.0321,0.02937,0.02698,0.02486,0.02299,0.02131,0.01982,0.01848,0.01726,0.01617,0.01517,0.01427,0.01344,0.01268,0.01199,0.01135,0.01076,0.01022,0.00971,0.00924,0.00881,0.0084,0.00803,0.00767,0.00734,0.00703,0.00674,0.00647
2.0,,1.03297,0.6611,0.4591,0.33729,0.25824,0.20404,0.16527,0.13659,0.11477,0.0978,0.08432,0.07346,0.06456,0.05719,0.05101,0.04578,0.04132,0.03748,0.03415,0.03124,0.02869,0.02644,0.02445,0.02267,0.02108,0.01965,0.01836,0.0172,0.01614,0.01518,0.0143,0.01349,0.01275,0.01207,0.01145,0.01087,0.01033,0.00983,0.00937,0.00894,0.00854,0.00816,0.00781,0.00748,0.00717,0.00688
2.5,,1.09953,0.7037,0.48868,0.35903,0.27488,0.21719,0.17593,0.14539,0.12217,0.1041,0.08976,0.07819,0.06872,0.06087,0.0543,0.04873,0.04398,0.03989,0.03635,0.03326,0.03054,0.02815,0.02602,0.02413,0.02244,0.02092,0.01955,0.01831,0.01718,0.01615,0.01522,0.01436,0.01357,0.01285,0.01218,0.01157,0.011,0.01047,0.00997,0.00951,0.00909,0.00869,0.00831,0.00796,0.00764,0.00733
3.0,,1.17127,0.74961,0.52057,0.38246,0.29282,0.23136,0.1874,0.15488,0.13014,0.11089,0.09561,0.08329,0.0732,0.06485,0.05784,0.05191,0.04685,0.0425,0.03872,0.03543,0.03254,0.02998,0.02772,0.02571,0.0239,0.02228,0.02082,0.0195,0.0183,0.01721,0.01621,0.0153,0.01446,0.01369,0.01298,0.01232,0.01171,0.01115,0.01062,0.01014,0.00968,0.00925,0.00886,0.00848,0.00813,0.00781
3.5,,1.24865,0.79914,0.55496,0.40772,0.31216,0.24665,0.19978,0.16511,0.13874,0.11822,0.10193,0.08879,0.07804,0.06913,0.06166,0.05534,0.04995,0.0453,0.04128,0.03777,0.03468,0.03197,0.02955,0.02741,0.02548,0.02376,0.0222,0.02079,0.01951,0.01835,0.01728,0.01631,0.01542,0.01459,0.01384,0.01314,0.01249,0.01188,0.01133,0.0108,0.01032,0.00987,0.00944,0.00904,0.00867,0.00832
4.0,,1.33219,0.8526,0.59209,0.435,0.33305,0.26315,0.21315,0.17616,0.14802,0.12612,0.10875,0.09473,0.08326,0.07375,0.06579,0.05904,0.05329,0.04833,0.04404,0.04029,0.03701,0.0341,0.03153,0.02924,0.02719,0.02534,0.02368,0.02218,0.02082,0.01957,0.01844,0.0174,0.01645,0.01557,0.01476,0.01401,0.01332,0.01268,0.01208,0.01153,0.01101,0.01053,0.01007,0.00965,0.00925,0.00888
4.5,,1.42247,0.91038,0.63221,0.46448,0.35562,0.28098,0.2276,0.1881,0.15805,0.13467,0.11612,0.10115,0.0889,0.07875,0.07025,0.06305,0.0569,0.05161,0.04702,0.04302,0.03951,0.03642,0.03367,0.03122,0.02903,0.02706,0.02529,0.02368,0.02223,0.0209,0.01969,0.01858,0.01756,0.01662,0.01576,0.01496,0.01422,0.01354,0.0129,0.01231,0.01176,0.01124,0.01076,0.0103,0.00988,0.00948
5.0,,,0.97288,0.67561,0.49637,0.38003,0.30027,0.24322,0.20101,0.1689,0.14392,0.12409,0.1081,0.09501,0.08416,0.07507,0.06737,0.06081,0.05515,0.05025,0.04598,0.04223,0.03892,0.03598,0.03336,0.03102,0.02892,0.02702,0.02531,0.02375,0.02233,0.02104,0.01985,0.01877,0.01777,0.01684,0.01599,0.0152,0.01447,0.01379,0.01315,0.01256,0.01201,0.01149,0.01101,0.01056,0.01013
5.5,,,1.04056,0.72261,0.5309,0.40647,0.32116,0.26014,0.21499,0.18065,0.15393,0.13272,0.11562,0.10162,0.09001,0.08029,0.07206,0.06503,0.05899,0.05375,0.04918,0.04516,0.04162,0.03848,0.03568,0.03318,0.03093,0.0289,0.02707,0.0254,0.02389,0.0225,0.02124,0.02007,0.019,0.01802,0.0171,0.01626,0.01548,0.01475,0.01407,0.01344,0.01285,0.01229,0.01178,0.01129,0.01083
6.0,,,1.11391,0.77355,0.56832,0.43512,0.3438,0.27848,0.23015,0.19339,0.16478,0.14208,0.12377,0.10878,0.09636,0.08595,0.07714,0.06962,0.06315,0.05754,0.05264,0.04835,0.04456,0.04119,0.0382,0.03552,0.03311,0.03094,0.02898,0.02719,0.02557,0.02409,0.02273,0.02149,0.02034,0.01929,0.01831,0.0174,0.01657,0.01579,0.01506,0.01438,0.01375,0.01316,0.01261,0.01209,0.0116
6.5,,,1.1935,0.82882,0.60893,0.46621,0.36836,0.29837,0.24659,0.2072,0.17655,0.15223,0.13261,0.11655,0.10324,0.09209,0.08265,0.07459,0.06766,0.06165,0.0564,0.0518,0.04774,0.04414,0.04093,0.03806,0.03548,0.03315,0.03105,0.02914,0.0274,0.02581,0.02436,0.02302,0.0218,0.02066,0.01962,0.01865,0.01775,0.01691,0.01614,0.01541,0.01473,0.0141,0.01351,0.01295,0.01243
7.0,,,1.27995,0.88885,0.65303,0.49998,0.39505,0.31999,0.26445,0.22221,0.18934,0.16326,0.14222,0.12499,0.11072,0.09876,0.08864,0.08,0.07256,0.06611,0.06049,0.05555,0.0512,0.04734,0.04389,0.04081,0.03805,0.03555,0.0333,0.03125,0.02938,0.02768,0.02612,0.02469,0.02337,0.02216,0.02104,0.02,0.01904,0.01814,0.01731,0.01653,0.0158,0.01512,0.01449,0.01389,0.01333
