Altitude_km,Mach_perm,CL_perm,V_perm_ms
0.0,0.0337,1.14236,11.47
0.03673,0.0302,1.14234,10.27
0.09218,0.0303,1.1423,10.3
0.14737,0.0304,1.14227,10.33
0.20231,0.0305,1.14224,10.36
0.25701,0.0306,1.14221,10.38
0.31146,0.0307,1.14218,10.41
0.36566,0.0308,1.14214,10.44
0.41962,0.0309,1.14211,10.47
0.47334,0.031,1.14208,10.49
0.52682,0.0311,1.14205,10.52
0.58006,0.0312,1.14202,10.55
0.63307,0.0313,1.14198,10.58
0.68584,0.0314,1.14195,10.6
0.73838,0.0315,1.14192,10.63
0.79069,0.0316,1.14189,10.66
0.84277,0.0317,1.14186,10.68
0.89463,0.0318,1.14182,10.71
0.94626,0.0319,1.14179,10.74
0.99767,0.032,1.14176,10.77
1.04885,0.0321,1.14173,10.79
1.09982,0.0322,1.1417,10.82
1.15057,0.0323,1.14166,10.85
1.2011,0.0324,1.14163,10.88
1.25141,0.0325,1.1416,10.9
1.30151,0.0326,1.14157,10.93
1.3514,0.0327,1.14154,10.96
1.40108,0.0328,1.1415,10.98
1.45055,0.0329,1.14147,11.01
1.49981,0.033,1.14144,11.04
1.54886,0.0331,1.14141,11.07
1.59772,0.0332,1.14138,11.09
1.64636,0.0333,1.14134,11.12
1.69481,0.0334,1.14131,11.15
1.74306,0.0335,1.14128,11.17
1.7911,0.0336,1.14125,11.2
1.83895,0.0337,1.14122,11.23
1.88661,0.0338,1.14118,11.25
1.93406,0.0339,1.14115,11.28
1.98133,0.034,1.14112,11.31
2.0284,0.0341,1.14109,11.34
2.07529,0.0342,1.14106,11.36
2.12198,0.0343,1.14102,11.39
2.16849,0.0344,1.14099,11.42
2.2148,0.0345,1.14096,11.44
2.26094,0.0346,1.14093,11.47
2.30689,0.0347,1.1409,11.5
2.35265,0.0348,1.14086,11.52
2.39824,0.0349,1.14083,11.55
2.44364,0.035,1.1408,11.58
2.48887,0.0351,1.14077,11.6
2.53392,0.0352,1.14074,11.63
2.57879,0.0353,1.1407,11.66
2.62348,0.0354,1.14067,11.68
2.66801,0.0355,1.14064,11.71
2.71235,0.0356,1.14061,11.74
2.75653,0.0357,1.14058,11.76
2.80053,0.0358,1.14054,11.79
2.84437,0.0359,1.14051,11.82
2.88804,0.036,1.14048,11.85
2.93153,0.0361,1.14045,11.87
2.97487,0.0362,1.14042,11.9
3.01803,0.0363,1.14038,11.92
3.06104,0.0364,1.14035,11.95
3.10388,0.0365,1.14032,11.98
3.14656,0.0366,1.14029,12.0
3.18907,0.0367,1.14026,12.03
3.23143,0.0368,1.14022,12.06
3.27363,0.0369,1.14019,12.08
3.31567,0.037,1.14016,12.11
3.35755,0.0371,1.14013,12.14
3.39928,0.0372,1.1401,12.16
3.44085,0.0373,1.14006,12.19
3.48227,0.0374,1.14003,12.22
3.52353,0.0375,1.14,12.24
3.56464,0.0376,1.13997,12.27
3.60561,0.0377,1.13994,12.3
3.64642,0.0378,1.1399,12.32
3.68708,0.0379,1.13987,12.35
3.7276,0.038,1.13984,12.38
3.76796,0.0381,1.13981,12.4
3.80818,0.0382,1.13978,12.43
3.84826,0.0383,1.13974,12.45
3.88819,0.0384,1.13971,12.48
3.92798,0.0385,1.13968,12.51
3.96762,0.0386,1.13965,12.53
4.00713,0.0387,1.13962,12.56
4.04649,0.0388,1.13958,12.59
4.08571,0.0389,1.13955,12.61
4.12479,0.039,1.13952,12.64
4.16373,0.0391,1.13949,12.67
4.20254,0.0392,1.13946,12.69
4.24121,0.0393,1.13942,12.72
4.27974,0.0394,1.13939,12.74
4.31814,0.0395,1.13936,12.77
4.35641,0.0396,1.13933,12.8
4.39454,0.0397,1.1393,12.82
4.43253,0.0398,1.13926,12.85
4.4704,0.0399,1.13923,12.88
4.50813,0.04,1.1392,12.9
4.54574,0.0401,1.13917,12.93
4.58321,0.0402,1.13914,12.95
4.62056,0.0403,1.1391,12.98
4.65778,0.0404,1.13907,13.01
4.69487,0.0405,1.13904,13.03
4.73183,0.0406,1.13901,13.06
4.76867,0.0407,1.13898,13.08
4.80538,0.0408,1.13894,13.11
4.84197,0.0409,1.13891,13.14
4.87844,0.041,1.13888,13.16
4.91478,0.0411,1.13885,13.19
4.951,0.0412,1.13882,13.21
4.9871,0.0413,1.13878,13.24
5.02308,0.0414,1.13875,13.27
5.05894,0.0415,1.13872,13.29
5.09468,0.0416,1.13869,13.32
5.13029,0.0417,1.13866,13.34
5.1658,0.0418,1.13862,13.37
5.20118,0.0419,1.13859,13.4
5.23645,0.042,1.13856,13.42
5.2716,0.0421,1.13853,13.45
5.30664,0.0422,1.1385,13.47
5.34156,0.0423,1.13846,13.5
5.37637,0.0424,1.13843,13.53
5.41106,0.0425,1.1384,13.55
5.44564,0.0426,1.13837,13.58
5.48011,0.0427,1.13834,13.6
5.51447,0.0428,1.1383,13.63
5.54871,0.0429,1.13827,13.65
5.58285,0.043,1.13824,13.68
5.61687,0.0431,1.13821,13.71
5.65079,0.0432,1.13818,13.73
5.6846,0.0433,1.13814,13.76
5.7183,0.0434,1.13811,13.78
5.7519,0.0435,1.13808,13.81
5.78538,0.0436,1.13805,13.84
5.81876,0.0437,1.13802,13.86
5.85204,0.0438,1.13798,13.89
5.88521,0.0439,1.13795,13.91
5.91827,0.044,1.13792,13.94
5.95123,0.0441,1.13789,13.96
5.98409,0.0442,1.13786,13.99
6.01685,0.0443,1.13782,14.01
6.0495,0.0444,1.13779,14.04
6.08205,0.0445,1.13776,14.07
6.1145,0.0446,1.13773,14.09
6.14685,0.0447,1.1377,14.12
6.1791,0.0448,1.13766,14.14
6.21125,0.0449,1.13763,14.17
6.24331,0.045,1.1376,14.19
6.27526,0.0451,1.13757,14.22
6.30711,0.0452,1.13754,14.25
6.33887,0.0453,1.1375,14.27
6.37053,0.0454,1.13747,14.3
6.4021,0.0455,1.13744,14.32
6.43356,0.0456,1.13741,14.35
6.46494,0.0457,1.13738,14.37
6.49622,0.0458,1.13734,14.4
6.5274,0.0459,1.13731,14.42
6.55849,0.046,1.13728,14.45
6.58948,0.0461,1.13725,14.48
6.62039,0.0462,1.13722,14.5
6.6512,0.0463,1.13718,14.53
6.68192,0.0464,1.13715,14.55
6.71254,0.0465,1.13712,14.58
6.74308,0.0466,1.13709,14.6
6.77353,0.0467,1.13706,14.63
6.80388,0.0468,1.13702,14.65
6.83415,0.0469,1.13699,14.68
6.86432,0.047,1.13696,14.7
6.89441,0.0471,1.13693,14.73
6.92441,0.0472,1.1369,14.75
6.95432,0.0473,1.13686,14.78
6.98415,0.0474,1.13683,14.81
7.01388,0.0475,1.1368,14.83
7.04353,0.0476,1.13677,14.86
7.0731,0.0477,1.13674,14.88
7.10258,0.0478,1.1367,14.91
7.13197,0.0479,1.13667,14.93
7.16128,0.048,1.13664,14.96
7.1905,0.0481,1.13661,14.98
7.21964,0.0482,1.13658,15.01
7.2487,0.0483,1.13654,15.03
7.27767,0.0484,1.13651,15.06
7.30656,0.0485,1.13648,15.08
7.33537,0.0486,1.13645,15.11
7.3641,0.0487,1.13642,15.13
7.39274,0.0488,1.13638,15.16
7.42131,0.0489,1.13635,15.18
7.44979,0.049,1.13632,15.21
7.47819,0.0491,1.13629,15.23
7.50651,0.0492,1.13626,15.26
7.53476,0.0493,1.13622,15.28
7.56292,0.0494,1.13619,15.31
7.591,0.0495,1.13616,15.33
7.61901,0.0496,1.13613,15.36
7.64694,0.0497,1.1361,15.39
7.67479,0.0498,1.13606,15.41
7.70256,0.0499,1.13603,15.44
7.73026,0.05,1.136,15.46
7.75788,0.0501,1.13597,15.49
7.78542,0.0502,1.13594,15.51
7.81289,0.0503,1.1359,15.54
7.84028,0.0504,1.13587,15.56
7.8676,0.0505,1.13584,15.59
7.89484,0.0506,1.13581,15.61
7.922,0.0507,1.13578,15.64
7.9491,0.0508,1.13574,15.66
7.97612,0.0509,1.13571,15.69
8.00306,0.051,1.13568,15.71
8.02994,0.0511,1.13565,15.74
8.05674,0.0512,1.13562,15.76
8.08346,0.0513,1.13558,15.79
8.11012,0.0514,1.13555,15.81
8.1367,0.0515,1.13552,15.84
8.16322,0.0516,1.13549,15.86
8.18966,0.0517,1.13546,15.89
8.21603,0.0518,1.13542,15.91
8.24233,0.0519,1.13539,15.94
8.26856,0.052,1.13536,15.96
8.29472,0.0521,1.13533,15.99
8.32081,0.0522,1.1353,16.01
8.34683,0.0523,1.13526,16.03
8.37278,0.0524,1.13523,16.06
8.39867,0.0525,1.1352,16.08
8.42448,0.0526,1.13517,16.11
8.45023,0.0527,1.13514,16.13
8.47591,0.0528,1.1351,16.16
8.50153,0.0529,1.13507,16.18
8.52707,0.053,1.13504,16.21
8.55255,0.0531,1.13501,16.23
8.57797,0.0532,1.13498,16.26
8.60331,0.0533,1.13494,16.28
8.62859,0.0534,1.13491,16.31
8.65381,0.0535,1.13488,16.33
8.67896,0.0536,1.13485,16.36
8.70405,0.0537,1.13482,16.38
8.72907,0.0538,1.13478,16.41
8.75402,0.0539,1.13475,16.43
8.77892,0.054,1.13472,16.46
8.80375,0.0541,1.13469,16.48
8.82851,0.0542,1.13466,16.51
8.85321,0.0543,1.13462,16.53
8.87785,0.0544,1.13459,16.56
8.90243,0.0545,1.13456,16.58
8.92694,0.0546,1.13453,16.6
8.9514,0.0547,1.1345,16.63
8.97579,0.0548,1.13446,16.65
9.00012,0.0549,1.13443,16.68
9.02438,0.055,1.1344,16.7
9.04859,0.0551,1.13437,16.73
9.07273,0.0552,1.13434,16.75
9.09682,0.0553,1.1343,16.78
9.12084,0.0554,1.13427,16.8
9.14481,0.0555,1.13424,16.83
9.16871,0.0556,1.13421,16.85
9.19256,0.0557,1.13418,16.88
9.21635,0.0558,1.13414,16.9
9.24007,0.0559,1.13411,16.92
9.26374,0.056,1.13408,16.95
9.28735,0.0561,1.13405,16.97
9.3109,0.0562,1.13402,17.0
9.3344,0.0563,1.13398,17.02
9.35783,0.0564,1.13395,17.05
9.38121,0.0565,1.13392,17.07
9.40453,0.0566,1.13389,17.1
9.4278,0.0567,1.13386,17.12
9.451,0.0568,1.13382,17.15
9.47415,0.0569,1.13379,17.17
9.49725,0.057,1.13376,17.19
9.52029,0.0571,1.13373,17.22
9.54327,0.0572,1.1337,17.24
9.5662,0.0573,1.13366,17.27
9.58907,0.0574,1.13363,17.29
9.61189,0.0575,1.1336,17.32
9.63465,0.0576,1.13357,17.34
9.65735,0.0577,1.13354,17.37
9.68001,0.0578,1.1335,17.39
9.7026,0.0579,1.13347,17.41
9.72515,0.058,1.13344,17.44
9.74764,0.0581,1.13341,17.46
9.77008,0.0582,1.13338,17.49
9.79246,0.0583,1.13334,17.51
9.81479,0.0584,1.13331,17.54
9.83707,0.0585,1.13328,17.56
9.85929,0.0586,1.13325,17.58
9.88146,0.0587,1.13322,17.61
9.90358,0.0588,1.13318,17.63
9.92565,0.0589,1.13315,17.66
9.94767,0.059,1.13312,17.68
9.96963,0.0591,1.13309,17.71
9.99154,0.0592,1.13306,17.73
10.01341,0.0593,1.13302,17.76
10.03522,0.0594,1.13299,17.78
10.05698,0.0595,1.13296,17.8
10.07869,0.0596,1.13293,17.83
10.10034,0.0597,1.1329,17.85
10.12195,0.0598,1.13286,17.88
10.14351,0.0599,1.13283,17.9
10.16502,0.06,1.1328,17.92
10.18648,0.0601,1.13277,17.95
10.20789,0.0602,1.13274,17.97
10.22925,0.0603,1.1327,18.0
10.25056,0.0604,1.13267,18.02
10.27182,0.0605,1.13264,18.05
10.29304,0.0606,1.13261,18.07
10.3142,0.0607,1.13258,18.09
10.33532,0.0608,1.13254,18.12
10.35639,0.0609,1.13251,18.14
10.37741,0.061,1.13248,18.17
10.39838,0.0611,1.13245,18.19
10.41931,0.0612,1.13242,18.22
10.44019,0.0613,1.13238,18.24
10.46102,0.0614,1.13235,18.26
10.4818,0.0615,1.13232,18.29
10.50254,0.0616,1.13229,18.31
10.52323,0.0617,1.13226,18.34
10.54387,0.0618,1.13222,18.36
10.56447,0.0619,1.13219,18.38
10.58502,0.062,1.13216,18.41
10.60553,0.0621,1.13213,18.43
10.62599,0.0622,1.1321,18.46
10.64641,0.0623,1.13206,18.48
10.66678,0.0624,1.13203,18.5
10.6871,0.0625,1.132,18.53
10.70738,0.0626,1.13197,18.55
10.72761,0.0627,1.13194,18.58
10.7478,0.0628,1.1319,18.6
10.76795,0.0629,1.13187,18.62
10.78805,0.063,1.13184,18.65
10.80811,0.0631,1.13181,18.67
10.82812,0.0632,1.13178,18.7
10.84809,0.0633,1.13174,18.72
10.86801,0.0634,1.13171,18.74
10.8879,0.0635,1.13168,18.77
10.90773,0.0636,1.13165,18.79
10.92753,0.0637,1.13162,18.82
10.94728,0.0638,1.13158,18.84
10.96699,0.0639,1.13155,18.86
10.98666,0.064,1.13152,18.89
