Altitude_km,Mach_0.030,Mach_0.040,Mach_0.050,Mach_0.060,Mach_0.070,Mach_0.080,Mach_0.090,Mach_0.100,Mach_0.110,Mach_0.120,Mach_0.130,Mach_0.140,Mach_0.150,Mach_0.160,Mach_0.170,Mach_0.180,Mach_0.190,Mach_0.200,Mach_0.210,Mach_0.220,Mach_0.230,Mach_0.240,Mach_0.250,Mach_0.260,Mach_0.270,Mach_0.280,Mach_0.290,Mach_0.300,Mach_0.310,Mach_0.320,Mach_0.330,Mach_0.340,Mach_0.350,Mach_0.360,Mach_0.370,Mach_0.380,Mach_0.390,Mach_0.400,Mach_0.410,Mach_0.420,Mach_0.430,Mach_0.440,Mach_0.450,Mach_0.460,Mach_0.470,Mach_0.480,Mach_0.490
0.0,,54.294177427812855,77.9269322788815,116.0701387927067,170.63242220045112,243.40501531938295,336.2088657020094,450.8024962957627,593.1250057677136,762.9620583230055,962.5631176472156,1194.0294761409102,1459.489498298891,1769.5316809700564,2120.7456075641967,2516.232711776979,2957.9498984903066,3448.663163185269,3992.0562120498716,4588.692154225402,5242.701080858592,5955.953928132057,6729.657547281421,7571.1027001256025,8476.023476696915,9453.698762840862,10501.997689796115,11625.13334383616,12831.439984259163,14113.321260308412,15470.500069160651,16919.16384968893,18470.006561873375,20079.191862603224,21813.401672142307,23625.09816626909,25525.680399599383,27569.731699159867,29688.1706757582,31901.620059239223,34245.094407650686,36662.60477257592,39253.25571340253,41892.71635606219,44699.132551583585,47596.012066334704,50656.89416598056
0.5,,53.873243830628404,75.54584512704501,111.03678984685435,162.0571641642164,230.24128357055082,317.2627604221131,424.7864331199711,558.3025031984055,717.7432835925739,905.0869394458465,1122.3151294473905,1371.3182803275754,1662.4602335973366,1992.4523897798204,2363.4521221349924,2778.058308067731,3239.236336658713,3748.8704738203137,4308.9520211871995,4922.914060433805,5594.158869145859,6321.386090047444,7109.5834047938515,7961.162136083965,8876.058328457242,9860.805326447295,10920.861065611109,12048.834164160578,13251.431739600128,14530.039110631371,15887.53839663153,17329.344600273365,18864.72498166618,20488.080870025788,22189.645830670215,23981.17712166511,25882.806940690723,27857.732874210633,29963.79811656879,32161.366425442273,34436.51904707334,36824.533461229585,39380.00784038929,41979.68042733473,44739.834324983734,47584.694368156444
1.0,,53.63531698452343,73.41689479200689,106.36875009578544,154.00842739443308,217.81805621037597,299.3407227576983,400.08095087671546,525.2900887196711,674.8074569297808,850.4941010700674,1054.0778648706496,1287.635641154266,1560.0312834430786,1868.5437778322832,2215.2559341130527,2603.0737657762666,3032.7532510744963,3509.878724661205,4035.182105794396,4610.071799339223,5236.134591378449,5917.582945919541,6654.342844731036,7454.170302080144,8309.932696502628,9235.062454169982,10223.614743745551,11279.317501501837,12400.982867157596,13607.610130238001,14872.94971688955,16234.016749906123,17659.686307071483,19169.569714729605,20776.777014632862,22454.86460677697,24214.631998040393,26074.986961936498,28031.748605121866,30077.643575330098,32244.40093364752,34484.271751338994,36831.802238203054,39280.83977756028,41888.109163510795,44515.960730679566
1.5,,53.583493890102986,71.53720805089313,102.05414430141522,146.467543282543,206.11729757295373,282.3941596145036,376.6990829697988,493.98487960026506,634.1053163677326,798.6855931366823,989.4283703553212,1208.1343190839998,1462.6462523358205,1750.8176834117535,2074.7468096442767,2436.5476344274216,2837.35852098145,3284.17005030737,3774.972541727395,4312.431401072559,4897.664948815644,5535.980626850919,6224.978552940815,6973.332603454661,7774.611422009136,8635.55782896539,9564.216235511818,10548.70952433111,11606.299359182756,12723.420321248213,13918.10579509336,15185.80049959774,16518.183335873255,17933.95635571435,19428.262263233275,20992.76918649671,22661.61454178532,24409.381417241613,26224.893897954113,28159.53043780041,30141.84428461687,32273.535298656967,34473.7296903341,36776.16445645255,39174.45017856205,41659.23458697058
2.0,,53.60813786325444,69.6830605971933,97.73514354363172,138.9127321305068,194.40704149725318,265.5082091326252,353.4939600461413,463.00040748255805,593.834235564729,747.5207061971164,925.8482574507512,1130.0635413644961,1368.0258656397712,1637.3102717355523,1940.0565826398085,2278.0490949731893,2652.836082847622,3069.6168684402537,3528.2343983129786,4031.17216366238,4579.374120579874,5175.253796349442,5819.538056224528,6517.1444404088215,7267.615548959093,8074.320463116253,8939.032314454547,9859.414078490472,10845.3528189559,11891.095281467453,13004.912381784263,14190.820564439624,15443.025812267064,16765.81558586222,18150.969615130594,19622.26907984856,21177.132400970026,22810.349386819707,24513.546246473918,26304.059883319303,28176.20979657756,30158.269467293056,32209.768058044927,34361.658276182054,36609.79400146616,38947.57899815763
2.5,,53.83751895907014,68.09527618889214,93.79037468133735,131.88478233181493,183.4431029430352,249.63235839391908,331.61851393708685,433.77165369910006,555.8187938055256,699.2824051721909,865.6636532964533,1056.4184015500266,1278.5421040614394,1530.0983192832387,1812.5535765436496,2128.2586799651244,2478.3776276355507,2867.795601923705,3295.7477036512046,3764.574741561769,4277.11942593738,4832.690565621593,5436.584535951605,6087.1113712096885,6787.253557391045,7539.746823545441,8345.696557122872,9207.337321004517,10128.94289105631,11111.14164170662,12146.873542538435,13252.536352896761,14424.314260270197,15655.250352497802,16962.425034721236,18326.284545903334,19769.831817158818,21289.53628334647,22902.19951868323,24581.3522386774,26314.92065579115,28151.520567585212,30092.76942409494,32098.65358992143,34154.42596876811,36340.30000704672
3.0,,54.27764946688538,66.7738293207485,90.21122391668672,125.37258239535348,173.19281339797922,234.73421201746632,311.0703877497129,406.22204364583143,519.9984064879995,653.7718449033289,808.9786977566597,986.8642825167068,1194.1068007034278,1428.5360091335804,1692.3162951966078,1986.7564209611694,2313.4157266772977,2676.315838185289,3076.2066548926355,3513.5222755291993,3990.8483810838147,4511.1431292423,5073.203810203468,5679.384121781172,6335.010088287459,7037.628715113617,7790.177590674765,8594.148605268205,9452.532916950604,10364.772974021269,11337.12994668901,12364.230780607364,13455.818118608258,14607.016718267052,15821.989911408102,17107.886201486002,18460.225189092373,19871.718016587944,21371.96556216812,22916.29353064101,24563.25254633878,26289.031337420158,28055.873213433908,29950.069879298717,31903.85279095027,33902.717412794715
3.5,,54.93534175501023,65.7198740935145,86.99429845097318,119.36544376838219,163.64146832629157,220.77215880776612,291.7555475255975,380.3154654835252,486.2499685254651,610.848493776025,755.4532641924136,921.271667835061,1114.3367670869166,1332.979394969443,1578.803335401267,1853.2211572958413,2157.542939825858,2496.481027321367,2868.715643958748,3276.602264607193,3722.5845649920693,4205.372876398029,4730.817565642629,5295.463596894178,5906.746503852393,6559.8194579060755,7262.176182117009,8012.542419885279,8813.040174436414,9662.406116285305,10571.104082557797,11528.69740119438,12542.029105505513,13623.276565180939,14749.259059361562,15943.39907036648,17202.814445403837,18537.906687619812,19911.55627588687,21385.710298884365,22900.55677819122,24488.552794378757,26172.713429824777,27924.66844942181,29735.614173418493,31631.81091394962
4.0,,55.81864439686439,64.9359609369245,84.13449703424413,113.84672599523147,154.7581093462933,207.72243213290702,273.6337482843833,355.95952753924826,454.51352977608883,570.4965300233482,705.055069942686,859.4387845717196,1039.2192448433502,1242.8939026594037,1471.638559342402,1727.3894386367845,2010.8249557029387,2326.479735974477,2673.2617360289983,3053.6025798419546,3467.5792038364084,3919.216637976345,4407.2196695388775,4934.24351396578,5501.93618226473,6113.66214016033,6767.0929174764005,7464.8761461031945,8208.382588034056,9004.964292076365,9845.818371964084,10740.657457339505,11685.031932223053,12687.90660680751,13745.475366098304,14861.970805139043,16032.257992767578,17262.107547339776,18561.065375582497,19909.122259904798,21333.960261849592,22813.096218167862,24385.008976387056,25999.217006908908,27700.321921373547,29455.371895719538
4.5,,56.93696485931291,64.42532655904716,81.62903175516172,108.80726259884968,146.52792309373268,195.5470666687724,256.662785285188,333.1048617216301,424.6846616924178,532.4890174434269,657.6248372562573,801.2148805662085,968.4830117782243,1157.915879848987,1370.7464660872663,1608.5209123006093,1872.5355956273647,2166.0277811835676,2489.173851220308,2842.908805909924,3228.7988760655744,3647.540724890461,4102.210869144776,4593.311932478157,5121.876914271753,5690.152576793599,6297.55675713954,6949.181791598218,7640.562976121744,8380.096746422621,9164.017812946679,9996.552995056485,10878.885792831543,11812.950510469935,12793.778079819744,13832.163101204997,14924.674942148706,16065.663331883581,17273.61253197792,18532.129025442115,19849.635705067838,21239.60363876558,22679.81993702977,24207.44872870704,25773.163758212635,27419.950283754046
