Altitude_km,Mach_0.073,Mach_0.083,Mach_0.093,Mach_0.103,Mach_0.113,Mach_0.123,Mach_0.133,Mach_0.143,Mach_0.153,Mach_0.163,Mach_0.173,Mach_0.183,Mach_0.193,Mach_0.203,Mach_0.213,Mach_0.223,Mach_0.233,Mach_0.243,Mach_0.253,Mach_0.263,Mach_0.273,Mach_0.283,Mach_0.293,Mach_0.303,Mach_0.313,Mach_0.323,Mach_0.333,Mach_0.343,Mach_0.353,Mach_0.363,Mach_0.373,Mach_0.383,Mach_0.393,Mach_0.403,Mach_0.413,Mach_0.423,Mach_0.433,Mach_0.443,Mach_0.453,Mach_0.463,Mach_0.473,Mach_0.483,Mach_0.493
0.0,,14068.895691658649,14874.676593028373,16308.600961284903,18333.701648876642,20974.27043508009,24244.98756601642,28166.249663111153,32762.407615348704,38060.685783107394,44089.58097587304,50878.28315889493,58455.73453722798,66881.95235099261,76247.74262680522,86518.47928389018,97739.20602020038,109940.91857525373,123157.57612151379,137404.6718741998,152747.4318485988,169191.0935991133,186780.8471324704,205593.49791683102,225839.9807949311,247363.74791921943,270208.1122083523,294415.01297817455,320013.9318133138,347004.23951688135,375465.1489312702,405459.59406736115,436918.0932341805,470095.9676918667,504957.64587119786,541435.3440810388,579629.5941315446,619542.8617066519,661184.138612012,704575.1639678163,749757.9959119578,797047.6078992882,846094.2098175582
0.5,,14352.965143821108,15001.722470987565,16265.33240542343,18100.20767837869,20526.582871085928,23554.62553976656,27201.042655657766,31486.790244848875,36435.89097507073,42072.12792940558,48422.67291278106,55510.99224272609,63379.13972785669,72069.17388170889,81589.91850287047,91970.8297680576,103235.77970300657,115414.32742446775,128525.6318075656,142603.9658734651,157675.7259511816,173755.22144641558,191100.7575029652,210142.1207112244,230445.95033763084,252057.39663370876,274978.9160515184,299265.78472749284,324966.1049493797,352104.16026011336,380724.12647580623,410824.60423456645,442364.01729188056,475171.45351069927,509503.207631585,545438.4896678617,582965.5291784476,622073.5772478736,662932.8887177861,705608.7451632384,749763.873019231,795871.2237382781
1.0,,14683.029621749696,15175.025546358214,16270.358361498478,17919.108527803677,20137.142146187274,22930.615005874577,26312.498730602278,30300.037161126944,34913.404483922095,40174.35985003389,46106.0183836759,52731.08143656595,60067.408849452135,68125.21195234045,76938.44562149073,86527.50816363227,96920.60802823199,108133.62560483001,120176.40656629275,133082.72286047484,146875.44539164164,161555.08212164088,177517.929887522,195426.32119702143,214585.8780464965,234986.84096308972,256680.28990080845,279717.7360719478,304095.4295093815,329916.1602239944,357230.6789998802,385979.9964068298,416004.2438856424,446853.2302913523,479046.49545804836,512833.50852767687,548105.5642492282,584978.0723470062,623320.4268483488,663463.2859719362,705134.588232684,748359.4218787496
1.5,,15061.774687539433,15396.77871331156,16325.552215900812,17791.832855459837,19807.13063694318,22373.363792896616,25500.192895986398,29201.02909796178,33493.258691586336,38395.586921889735,43927.27020328129,50110.15821862528,56942.52225505772,64403.525560938215,72550.5739569128,81400.06053989686,90973.71987536167,101277.95252683868,112336.26243658035,124153.50732031655,136752.28882387033,150131.19118483298,164790.15658132848,181642.9213338436,199675.247239123,218936.32662602203,239449.01209224213,261250.83145789977,284405.94018076407,308973.9885740198,334942.4388638721,362410.0417933953,390950.139191277,419924.9709772408,450181.77516811044,481936.5396862052,514976.0561949705,549599.0737856765,585714.4987243382,623337.1372930139,662325.9659900697,703047.1053261801
2.0,,15492.13977726208,15669.551966463203,16433.00653046675,17720.1051847999,19537.77214662998,21883.943362420334,24764.493342740217,28190.00069394356,32174.079417279645,36733.16866842301,41884.71888176077,47644.6718126682,53999.62235682645,60895.9599642697,68419.99728785487,76576.77943616532,85383.98983940623,94844.7963461652,104980.08290577683,115782.61745893609,127265.2427921607,139444.18246487784,152916.23395054718,168732.88648209753,185698.4006574689,203858.19089927897,223231.65063883792,243877.67321298967,265821.90394297236,289143.91068672395,313876.9822565938,340068.01338850654,367154.25805096136,394332.54650274164,422733.6114957873,452458.73258602415,483575.1531382502,516078.76540774206,549844.4893978442,585099.0497028134,621888.6049392051,660113.9817266907
2.5,,,15979.297917859523,16572.745910763217,17678.58980937625,19298.31907078133,21426.078922172215,24064.42157416043,27221.160764614113,30907.70734154147,35137.554327981285,39925.20902784564,45287.00954057752,51227.79526839347,57747.779657863,64878.13757994086,72633.6063144895,81025.99502107064,90074.15623138892,99783.88015502832,110166.58154900018,121240.48213475062,133008.37527896065,145910.9823346498,160708.68873284422,176550.03061709926,193463.39711082168,211472.62554747704,230645.6440796058,250970.62418421308,272534.5832575124,295357.2157714185,319513.8236887349,344581.00446204224,370037.02134038444,396658.09398897004,424532.2893917367,453715.8341996882,484104.4773196726,515866.4844788034,548904.3340002404,583339.713334385,619211.8708610226
3.0,,,16348.013676312406,16772.624685701936,17700.273886740873,19126.943971764093,21043.0210944481,23447.895833072645,26346.44838797946,29747.658774922995,33662.43706167434,38103.517938641184,43084.109090263555,48632.30486817527,54783.74241247675,61532.08596247768,68893.89930501487,76881.71712689972,85514.8907661513,94802.93762504544,104763.35939724342,115416.79214005126,126762.34915447744,139102.8433139407,152929.15652139793,167705.25009677772,183446.84743213406,200182.3895133762,217963.51556092536,236795.46856880584,256719.54281591784,277769.7223846428,299960.7722807416,323154.25965436175,346955.0451185901,371922.80535513395,398022.72056606604,425355.6533969691,453826.54660012416,483577.6798044036,514619.04501192056,546850.1923725058,580384.7665808465
3.5,,,16779.05498309102,17035.383721807684,17787.28294524284,19025.2369404171,20735.77035010622,22914.946742800435,25565.0510246624,28692.51379531359,32306.092103191157,36416.37362811101,41034.76624615837,46204.09124925456,51999.485882364046,58377.19416771249,65351.591641685314,72941.83188167268,81165.18221131158,90038.21265668135,99573.38662459278,109795.39102095361,120723.06690490943,132498.00880710647,145407.66626298454,159172.63888421602,173809.13910892827,189349.89985358465,205813.13168754338,223233.62514248837,241617.08200080207,261008.9459526417,281414.30002183164,302823.4888108064,325126.1775108847,348448.5374984678,372901.87496973824,398463.47004797234,425173.82660115894,453015.1603099882,481965.0946823081,512200.5613914079,543536.8263017371
4.0,,,,17363.912985085906,17942.050284460976,18995.057991294354,20505.60877144448,22466.64135670972,24877.477623224164,27742.199837904325,31067.365425886157,34861.41045604635,39134.031967179515,43943.298728832844,49392.504662320505,55407.36234625747,62003.86847033946,69204.81354182905,77025.73561289815,85484.0149248231,94600.15086696448,104394.07712721318,114884.06766292648,126115.50458405557,138148.20802089572,150963.27653434162,164569.75040879234,178972.42956838533,194206.03315984935,210293.62218235063,227254.38270417735,245096.8604255674,263840.7777829904,283554.5768826621,304399.91785078327,326275.26379426377,349092.92047535157,373013.0475475137,397961.39452990866,423971.40501795796,451099.08024785604,479342.234073136,508700.33574926865
4.5,,,,17761.828132653744,18168.7761910934,19041.974310693633,20360.294900641486,22113.62344975775,24298.849288385067,26917.69641028298,29974.68986743773,33477.09565875432,37433.2539692917,41894.342321786244,46955.863606100866,52547.5677934607,58688.13999531715,65392.314206097944,72678.66939188504,80563.52609709829,89063.04907191504,98197.39759471899,107976.02888274584,118452.18850062079,129686.21717129661,141635.2794331195,154328.850730274,167767.96374798223,181993.4851928583,197005.2610308336,212808.2550822417,229442.74416819774,246924.79711909854,265354.397220818,284828.196101432,305213.4502138635,326589.2189708556,348877.65608189296,372190.1557413271,396510.9477074905,421817.9477997407,448238.47360344656,475619.0503481087
