Altitude_km,Mach_0.073,Mach_0.083,Mach_0.093,Mach_0.103,Mach_0.113,Mach_0.123,Mach_0.133,Mach_0.143,Mach_0.153,Mach_0.163,Mach_0.173,Mach_0.183,Mach_0.193,Mach_0.203,Mach_0.213,Mach_0.223,Mach_0.233,Mach_0.243,Mach_0.253,Mach_0.263,Mach_0.273,Mach_0.283,Mach_0.293,Mach_0.303,Mach_0.313,Mach_0.323,Mach_0.333,Mach_0.343,Mach_0.353,Mach_0.363,Mach_0.373,Mach_0.383,Mach_0.393,Mach_0.403,Mach_0.413,Mach_0.423,Mach_0.433,Mach_0.443,Mach_0.453,Mach_0.463,Mach_0.473,Mach_0.483,Mach_0.493
0.0,,1.1034,0.87887,0.7165,0.5953,0.50244,0.42972,0.37172,0.32472,0.2861,0.25398,0.22698,0.20407,0.18446,0.16754,0.15286,0.14002,0.12873,0.11875,0.1099,0.10199,0.09491,0.08854,0.0828,0.07759,0.07286,0.06855,0.06461,0.061,0.05769,0.05464,0.05182,0.04922,0.0468,0.04456,0.04248,0.04054,0.03873,0.03704,0.03546,0.03398,0.03258,0.03127
0.5,,1.17119,0.93286,0.76052,0.63187,0.5333,0.45612,0.39456,0.34467,0.30367,0.26958,0.24092,0.21661,0.19579,0.17784,0.16225,0.14862,0.13664,0.12605,0.11665,0.10826,0.10074,0.09398,0.08788,0.08236,0.07734,0.07276,0.06858,0.06475,0.06123,0.05799,0.055,0.05224,0.04968,0.0473,0.04509,0.04303,0.04111,0.03932,0.03764,0.03606,0.03459,0.0332
1.0,,1.24399,0.99085,0.80779,0.67114,0.56645,0.48447,0.41908,0.36609,0.32255,0.28634,0.2559,0.23007,0.20796,0.18889,0.17233,0.15786,0.14513,0.13388,0.1239,0.11499,0.107,0.09982,0.09334,0.08748,0.08214,0.07728,0.07284,0.06877,0.06504,0.0616,0.05842,0.05549,0.05277,0.05024,0.0479,0.04571,0.04367,0.04176,0.03998,0.0383,0.03673,0.03526
1.5,,1.32224,1.05317,0.8586,0.71336,0.60208,0.51495,0.44544,0.38912,0.34284,0.30435,0.272,0.24454,0.22104,0.20077,0.18317,0.16779,0.15426,0.14231,0.13169,0.12222,0.11373,0.1061,0.09922,0.09298,0.08731,0.08214,0.07742,0.0731,0.06913,0.06547,0.0621,0.05898,0.05609,0.0534,0.05091,0.04858,0.04642,0.04439,0.04249,0.04071,0.03905,0.03748
2.0,,1.40642,1.12022,0.91326,0.75878,0.64041,0.54773,0.4738,0.41389,0.36467,0.32373,0.28931,0.26011,0.23511,0.21356,0.19483,0.17847,0.16408,0.15137,0.14007,0.13,0.12098,0.11286,0.10553,0.0989,0.09287,0.08737,0.08235,0.07775,0.07353,0.06964,0.06605,0.06273,0.05966,0.0568,0.05415,0.05168,0.04937,0.04721,0.0452,0.04331,0.04153,0.03986
2.5,,,1.19242,0.97212,0.80768,0.68168,0.58303,0.50434,0.44057,0.38817,0.34459,0.30796,0.27687,0.25027,0.22732,0.20739,0.18997,0.17466,0.16112,0.1491,0.13838,0.12877,0.12013,0.11233,0.10527,0.09885,0.093,0.08766,0.08276,0.07827,0.07413,0.07031,0.06677,0.0635,0.06046,0.05764,0.05501,0.05255,0.05026,0.04811,0.0461,0.04421,0.04243
3.0,,,1.27021,1.03554,0.86037,0.72616,0.62107,0.53724,0.46931,0.41349,0.36707,0.32805,0.29494,0.26659,0.24215,0.22092,0.20236,0.18605,0.17163,0.15883,0.14741,0.13717,0.12797,0.11966,0.11214,0.1053,0.09907,0.09338,0.08816,0.08337,0.07896,0.07489,0.07113,0.06764,0.06441,0.0614,0.0586,0.05598,0.05354,0.05125,0.0491,0.04709,0.0452
3.5,,,1.35413,1.10396,0.91721,0.77413,0.6621,0.57274,0.50032,0.44081,0.39132,0.34972,0.31442,0.28421,0.25815,0.23551,0.21573,0.19834,0.18297,0.16932,0.15715,0.14624,0.13642,0.12757,0.11955,0.11226,0.10562,0.09955,0.09399,0.08888,0.08418,0.07984,0.07583,0.07211,0.06866,0.06546,0.06247,0.05968,0.05707,0.05463,0.05235,0.0502,0.04819
4.0,,,,1.17782,0.97858,0.82593,0.7064,0.61105,0.53379,0.4703,0.4175,0.37312,0.33546,0.30322,0.27542,0.25127,0.23017,0.21161,0.19521,0.18065,0.16766,0.15602,0.14555,0.1361,0.12755,0.11977,0.11268,0.10621,0.10028,0.09483,0.08981,0.08518,0.0809,0.07694,0.07326,0.06983,0.06665,0.06367,0.06089,0.05829,0.05585,0.05356,0.05141
4.5,,,,1.25763,1.04489,0.8819,0.75427,0.65246,0.56996,0.50217,0.4458,0.39841,0.35819,0.32377,0.29408,0.2683,0.24576,0.22595,0.20844,0.19289,0.17902,0.16659,0.15542,0.14533,0.13619,0.12789,0.12032,0.11341,0.10707,0.10125,0.0959,0.09096,0.08639,0.08215,0.07822,0.07457,0.07116,0.06799,0.06502,0.06224,0.05964,0.05719,0.0549
