Altitude_km,Mach_0.073,Mach_0.083,Mach_0.093,Mach_0.103,Mach_0.113,Mach_0.123,Mach_0.133,Mach_0.143,Mach_0.153,Mach_0.163,Mach_0.173,Mach_0.183,Mach_0.193,Mach_0.203,Mach_0.213,Mach_0.223,Mach_0.233,Mach_0.243
0.0,,13.0969655275962,13.879953728322798,14.020810511448348,13.682986095193217,13.01879684111918,12.178176863611103,11.270926423718082,10.367361047540184,9.507440079957926,8.710894091852845,7.984932394755436,7.3296424333207595,6.738134839724244,6.201620899774209,5.722009671027362,5.292242255662429,4.906813078114714
0.5,,12.765151592901907,13.684575694095674,13.978603809398022,13.781116370784774,13.227506053192208,12.464215553353348,11.604862535225154,10.726364581302112,9.875241495671128,9.076974997724935,8.342416059341618,7.674813541586241,7.07032231303605,6.524084449728362,6.033341085352839,5.5923627043334925,5.195956970075557
1.0,,12.40682295887878,13.45091057182292,13.894351252663094,13.840768709487463,13.406192258359782,12.730167141312748,11.928123110748926,11.082721943755216,10.246925344652094,9.451381757517717,8.71147386869001,8.03320404836536,7.417461614163504,6.862303228682824,6.361501334135421,5.910168891406138,5.502858064782307
1.5,,12.02485507920695,13.18047269684166,13.767251611127252,13.859120116903563,13.550691271751916,12.971740795159544,12.236873685891336,11.433288940290785,10.619598705006636,9.832018741955702,9.090646697899446,8.404452757473978,7.779241302845941,7.216853123541718,6.707210179995781,6.246102379198222,5.828653331186075
2.0,,11.622370986837469,12.875212864566,13.597161166804273,13.833758709823524,13.657088363298897,13.184209858324474,12.526641216267334,11.774009791626831,10.99029938975849,10.216820388209447,9.478149032946378,8.787614921557283,8.155176479439637,7.587857578785872,7.070495640132215,6.600652540269042,6.17387563982128
2.5,,,12.550850265055566,13.40264907224113,13.784109611149242,13.744644848483102,13.38618535570715,12.814701780613055,12.120839039396627,11.372834170672759,10.617504815682468,9.884433519459268,9.190339585371467,8.545515501651279,7.954121238954694,7.412323792188794,6.917771405962369,6.4674010709234775
3.0,,,12.194238039125608,13.163546379093443,13.684696474914027,13.78466569283879,13.548158309130564,13.072807725933984,12.448185868826702,11.745500440024227,11.016338218907137,10.294914114998344,9.602336130576573,8.947627534088493,8.334213448955937,7.768549497951784,7.2495636516963256,6.775165545262557
3.5,,,11.80889335241282,12.881874189000753,13.535134602789464,13.774276174250014,13.66549021953661,13.295691643959076,12.750831775443675,12.103549603203875,11.409206096514104,10.706515315775126,10.020723855078405,9.360722142403535,8.727187420068859,8.138706644477262,7.59614945258867,7.097793443558344
4.0,,,,12.560526517865846,13.335969538777423,13.71142866370026,13.734004793671936,13.47770994828499,13.022768110908975,12.441276136786199,11.7912513776833,11.115381072180943,10.4428955551809,9.781863616852801,9.131387539005036,8.522276249076027,7.957109884799676,7.4351235834751686
4.5,,,,12.202782661982322,13.087662388856186,13.592597333136112,13.74601748277352,13.607722441678854,13.249974378970434,12.74262870443831,12.145089506195742,11.503040040011667,10.84948299030009,10.196473054900602,9.545508880899408,8.9302076802534,8.354392794734732,7.819678207550555
5.0,,,,11.812775439014597,12.793820230073315,13.420521393404888,13.703548607717218,13.687681668092488,13.435311000920379,13.012022741907243,12.476802590753652,11.877845324573284,11.25127518762873,10.61274386874806,9.966591761373078,9.348876495061727,8.76576665891068,8.219895274466088
5.5,,,,,12.457723248313716,13.196136742039375,13.604930251057343,13.713573712839814,13.573201746173249,13.243102851564096,12.780370135144684,12.234080469472488,11.643280246564574,11.026519845699262,10.39123586712311,9.775777835046224,9.188655542052127,8.634874409361494
6.0,,,,,12.083251012616339,12.921478099443389,13.449610584526601,13.682321821635615,13.658564075563426,13.429681414006067,13.049117049510558,12.565522186139997,12.019633204513042,11.432749010749756,10.815587510574913,10.208056010212827,9.62159572030329,9.06283353554166
6.5,,,,,11.689871301721594,12.62024353553577,13.264835638616407,13.624358529485432,13.72478618196328,13.607891403359474,13.321682774193619,12.912982944413516,12.42304313335386,11.875477318760952,11.282856617576646,10.688313226950209,10.105513327454476,9.543915503603703
7.0,,,,,,12.27067869036668,13.020274310208132,13.50077993175364,13.725502167178345,13.725761420980307,13.54256054683969,13.219191652293151,12.79617101854169,12.298135511448649,11.739653190668742,11.166136898075262,10.594147944143687,10.035113223770987
7.5,,,,,,11.87793715649964,12.71911457030537,13.311969024910221,13.658050408905803,13.777926029141808,13.704388963748311,13.475722801484109,13.130184924189846,12.692784987492052,12.178740876240019,11.635501052349735,11.081894000114143,10.531764257919331
8.0,,,,,,,12.36577354449622,13.059821361716507,13.521347088009438,13.76036458191336,13.80079003557553,13.674600679604941,13.416475058598552,13.050212301022201,12.591517492527464,12.088475570727864,11.562183324493894,11.0285361961847
8.5,,,,,,,11.96565029972751,12.747786473094354,13.315997822924095,13.67062800052642,13.82652325317403,13.80840172435144,13.646189192449711,13.361335454027317,12.968777358480136,12.516511710980554,12.027199831522667,11.51861629221532
