Altitude_km,Mach_0.073,Mach_0.083,Mach_0.093,Mach_0.103,Mach_0.113,Mach_0.123,Mach_0.133,Mach_0.143,Mach_0.153,Mach_0.163,Mach_0.173,Mach_0.183,Mach_0.193,Mach_0.203,Mach_0.213,Mach_0.223,Mach_0.233,Mach_0.243
0.0,,1.1034,0.87887,0.7165,0.5953,0.50244,0.42972,0.37172,0.32472,0.2861,0.25398,0.22698,0.20407,0.18446,0.16754,0.15286,0.14002,0.12873
0.5,,1.17119,0.93286,0.76052,0.63187,0.5333,0.45612,0.39456,0.34467,0.30367,0.26958,0.24092,0.21661,0.19579,0.17784,0.16225,0.14862,0.13664
1.0,,1.24399,0.99085,0.80779,0.67114,0.56645,0.48447,0.41908,0.36609,0.32255,0.28634,0.2559,0.23007,0.20796,0.18889,0.17233,0.15786,0.14513
1.5,,1.32224,1.05317,0.8586,0.71336,0.60208,0.51495,0.44544,0.38912,0.34284,0.30435,0.272,0.24454,0.22104,0.20077,0.18317,0.16779,0.15426
2.0,,1.40642,1.12022,0.91326,0.75878,0.64041,0.54773,0.4738,0.41389,0.36467,0.32373,0.28931,0.26011,0.23511,0.21356,0.19483,0.17847,0.16408
2.5,,,1.19242,0.97212,0.80768,0.68168,0.58303,0.50434,0.44057,0.38817,0.34459,0.30796,0.27687,0.25027,0.22732,0.20739,0.18997,0.17466
3.0,,,1.27021,1.03554,0.86037,0.72616,0.62107,0.53724,0.46931,0.41349,0.36707,0.32805,0.29494,0.26659,0.24215,0.22092,0.20236,0.18605
3.5,,,1.35413,1.10396,0.91721,0.77413,0.6621,0.57274,0.50032,0.44081,0.39132,0.34972,0.31442,0.28421,0.25815,0.23551,0.21573,0.19834
4.0,,,,1.17782,0.97858,0.82593,0.7064,0.61105,0.53379,0.4703,0.4175,0.37312,0.33546,0.30322,0.27542,0.25127,0.23017,0.21161
4.5,,,,1.25763,1.04489,0.8819,0.75427,0.65246,0.56996,0.50217,0.4458,0.39841,0.35819,0.32377,0.29408,0.2683,0.24576,0.22595
5.0,,,,1.34397,1.11663,0.94244,0.80605,0.69726,0.60909,0.53665,0.4764,0.42576,0.38278,0.346,0.31427,0.28672,0.26264,0.24146
5.5,,,,,1.1943,1.008,0.86212,0.74576,0.65146,0.57398,0.50954,0.45537,0.40941,0.37007,0.33613,0.30666,0.2809,0.25826
6.0,,,,,1.27849,1.07906,0.92289,0.79833,0.69738,0.61444,0.54546,0.48747,0.43827,0.39615,0.35983,0.32828,0.30071,0.27647
6.5,,,,,1.36984,1.15615,0.98883,0.85537,0.74721,0.65834,0.58443,0.5223,0.46958,0.42446,0.38554,0.35174,0.32219,0.29622
7.0,,,,,,1.2399,1.06046,0.91733,0.80134,0.70603,0.62677,0.56014,0.5036,0.4552,0.41346,0.37721,0.34553,0.31768
7.5,,,,,,1.33097,1.13835,0.9847,0.86019,0.75788,0.6728,0.60128,0.54058,0.48864,0.44383,0.40492,0.37091,0.34101
8.0,,,,,,,1.22314,1.05805,0.92426,0.81434,0.72291,0.64607,0.58085,0.52503,0.47689,0.43508,0.39854,0.36641
8.5,,,,,,,1.31556,1.138,0.9941,0.87587,0.77754,0.69488,0.62474,0.5647,0.51292,0.46795,0.42865,0.39409
