Altitude_km,Mach_0.073,Mach_0.083,Mach_0.093,Mach_0.103,Mach_0.113,Mach_0.123,Mach_0.133,Mach_0.143,Mach_0.153,Mach_0.163,Mach_0.173,Mach_0.183,Mach_0.193,Mach_0.203,Mach_0.213,Mach_0.223,Mach_0.233,Mach_0.243
0.0,42063.44510285181,44923.12142033026,47343.89011535011,49331.52099211113,50886.01405061337,52007.3692908568,52816.70508086073,53563.82805466504,54256.30811027094,54894.14524767841,55477.33946688748,55996.88717802539,56434.21847697966,56788.77063938324,57060.543665236146,57249.53755453836,57356.15743562691,57381.238885696956
0.5,41642.810651823296,44473.890206126955,46870.45121419661,48838.20578219002,50377.153910107234,51487.29559794823,52288.53803005212,53028.18977411839,53713.74502916823,54345.20379520163,54922.56607221861,55436.91830624514,55869.87629220986,56220.882932989414,56489.93822858379,56677.042178992975,56782.595861270645,56807.42649683999
1.0,41222.17620079478,44024.65899192366,46397.01231304311,48344.890572268916,49868.2937696011,50967.22190503966,51760.37097924352,52492.551493571744,53171.181948065525,53796.26234272485,54367.79267754974,54876.949434464885,55305.534107440064,55652.99522659558,55919.33279193143,56104.54680344759,56209.03428691438,56233.61410798302
1.5,40801.541749766264,43575.42777772036,45923.573411889614,47851.57536234781,49359.43362909497,50447.1482121311,51232.203928434916,51956.9132130251,52628.618866962825,53247.32089024807,53813.01928288087,54316.98056268464,54741.191922670274,55085.10752020175,55348.72735527907,55532.05142790222,55635.47271255812,55659.80171912606
2.0,40380.907298737744,43126.196563517056,45450.13451073611,47358.2601524267,48850.573488588845,49927.07451922254,50704.03687762631,51421.27493247845,52086.05578586012,52698.379437771284,53258.245888212,53757.011690904386,54176.849737900484,54517.219813807926,54778.12191862672,54959.556052356835,55061.91113820185,55085.98933026909
2.5,39960.27284770922,42676.96534931374,44976.6956095826,46864.94494250557,48341.713348082696,49407.00082631395,50175.86982681769,50885.63665193179,51543.49270475739,52149.437985294484,52703.47249354311,53197.042819124115,53612.50755313067,53949.33210741408,54207.51648197434,54387.06067681143,54488.349563845564,54512.1769414121
3.0,39539.638396680704,42227.73413511045,44503.25670842911,46371.62973258447,47832.853207576576,48886.9271334054,49647.70277600909,50349.99837138515,51000.929623654694,51600.49653281771,52148.69909887425,52637.07394734387,53048.16536836089,53381.44440102026,53636.91104532199,53814.56530126606,53914.787989489305,53938.36455255515
3.5,39119.00394565219,41778.50292090715,44029.81780727561,45878.314522663364,47323.99306707044,48366.85344049683,49119.53572520049,49814.360090838505,50458.36654255199,51051.555080340935,51593.92570420537,52077.105075563624,52483.82318359109,52813.55669462642,53066.30560866963,53242.06992572068,53341.22641513304,53364.55216369818
4.0,38698.36949462367,41329.27170670384,43556.3789061221,45384.99931274225,46815.1329265643,47846.779747588254,48591.36867439187,49278.72181029185,49915.80346144927,50502.61362786414,51039.15230953649,51517.13620378337,51919.48099882129,52245.66898823259,52495.70017201726,52669.57455017529,52767.664840776764,52790.739774841204
4.5,38277.735043595145,40880.040492500535,43082.9400049686,44891.684102821135,46306.272786058165,47326.706054679686,48063.20162358326,48743.08352974519,49373.24038034656,49953.67217538736,50484.37891486761,50957.167332003104,51355.13881405149,51677.781281838754,51925.094735364895,52097.07917462991,52194.10326642049,52216.92738598423
5.0,37857.10059256663,40430.80927829723,42609.5011038151,44398.36889290002,45797.41264555203,46806.63236177112,47535.03457277466,48207.44524919854,48830.67729924385,49404.73072291057,49929.60552019874,50397.198460222855,50790.79662928169,51109.89357544492,51354.489298712535,51524.583799084525,51620.541692064224,51643.11499712726
5.5,36805.514464995336,39307.73124278898,41425.90385093135,43165.08086809724,44525.262294286695,45506.448129499695,46214.616945753136,46868.34954783192,47474.26959648707,48032.37709171861,48542.67203352655,48997.27628077222,49379.941167357196,49690.17430946034,49927.975707081634,50093.34536022106,50186.63775617355,50208.58402498484
6.0,35753.92833742404,38184.653207280724,40242.306598047595,41931.79284329447,43253.111943021366,44206.26389722828,44894.199318731626,45529.25384646529,46117.8618937303,46660.02346052665,47155.738546854365,47597.35410132159,47969.08570543271,48270.45504347576,48501.46211545073,48662.106921357605,48752.73382028288,48774.05305284242
6.5,34702.342209852744,37061.57517177246,39058.70934516384,40698.50481849169,41980.96159175603,42906.07966495686,43573.7816917101,44190.15814509866,44761.45419097353,45287.66982933469,45768.805060182174,46197.43192187095,46558.23024350822,46850.73577749117,47074.948523819825,47230.868482494145,47318.8298843922,47339.52208069999
7.0,33650.75608228145,35938.49713626421,37875.11209228009,39465.21679368891,40708.8112404907,41605.895432685444,42253.36406468859,42851.062443732044,43405.04648821676,43915.31619814273,44381.87157350999,44797.50974242032,45147.37478158373,45431.0165115066,45648.434932188924,45799.63004363069,45884.925948501535,45904.99110855757
7.5,33650.75608228145,35938.49713626421,37875.11209228009,39465.21679368891,40708.8112404907,41605.895432685444,42253.36406468859,42851.062443732044,43405.04648821676,43915.31619814273,44381.87157350999,44797.50974242032,45147.37478158373,45431.0165115066,45648.434932188924,45799.63004363069,45884.925948501535,45904.99110855757
8.0,33650.75608228145,35938.49713626421,37875.11209228009,39465.21679368891,40708.8112404907,41605.895432685444,42253.36406468859,42851.062443732044,43405.04648821676,43915.31619814273,44381.87157350999,44797.50974242032,45147.37478158373,45431.0165115066,45648.434932188924,45799.63004363069,45884.925948501535,45904.99110855757
8.5,33650.75608228145,35938.49713626421,37875.11209228009,39465.21679368891,40708.8112404907,41605.895432685444,42253.36406468859,42851.062443732044,43405.04648821676,43915.31619814273,44381.87157350999,44797.50974242032,45147.37478158373,45431.0165115066,45648.434932188924,45799.63004363069,45884.925948501535,45904.99110855757
9.0,33650.75608228145,35938.49713626421,37875.11209228009,39465.21679368891,40708.8112404907,41605.895432685444,42253.36406468859,42851.062443732044,43405.04648821676,43915.31619814273,44381.87157350999,44797.50974242032,45147.37478158373,45431.0165115066,45648.434932188924,45799.63004363069,45884.925948501535,45904.99110855757
