Altitude_km,Mach_0.073,Mach_0.083,Mach_0.093,Mach_0.103,Mach_0.113,Mach_0.123,Mach_0.133,Mach_0.143,Mach_0.153,Mach_0.163,Mach_0.173,Mach_0.183,Mach_0.193,Mach_0.203,Mach_0.213,Mach_0.223,Mach_0.233,Mach_0.243
0.0,,14068.895691658649,14874.676593028373,16308.600961284903,18333.701648876642,20974.27043508009,24244.98756601642,28166.249663111153,32762.407615348704,38060.685783107394,44089.58097587304,50878.28315889493,58455.73453722798,66881.95235099261,76247.74262680522,86518.47928389018,97739.20602020038,109940.91857525373
0.5,,14352.965143821108,15001.722470987565,16265.33240542343,18100.20767837869,20526.582871085928,23554.62553976656,27201.042655657766,31486.790244848875,36435.89097507073,42072.12792940558,48422.67291278106,55510.99224272609,63379.13972785669,72069.17388170889,81589.91850287047,91970.8297680576,103235.77970300657
1.0,,14683.029621749696,15175.025546358214,16270.358361498478,17919.108527803677,20137.142146187274,22930.615005874577,26312.498730602278,30300.037161126944,34913.404483922095,40174.35985003389,46106.0183836759,52731.08143656595,60067.408849452135,68125.21195234045,76938.44562149073,86527.50816363227,96920.60802823199
1.5,,15061.774687539433,15396.77871331156,16325.552215900812,17791.832855459837,19807.13063694318,22373.363792896616,25500.192895986398,29201.02909796178,33493.258691586336,38395.586921889735,43927.27020328129,50110.15821862528,56942.52225505772,64403.525560938215,72550.5739569128,81400.06053989686,90973.71987536167
2.0,,15492.13977726208,15669.551966463203,16433.00653046675,17720.1051847999,19537.77214662998,21883.943362420334,24764.493342740217,28190.00069394356,32174.079417279645,36733.16866842301,41884.71888176077,47644.6718126682,53999.62235682645,60895.9599642697,68419.99728785487,76576.77943616532,85383.98983940623
2.5,,,15979.297917859523,16572.745910763217,17678.58980937625,19298.31907078133,21426.078922172215,24064.42157416043,27221.160764614113,30907.70734154147,35137.554327981285,39925.20902784564,45287.00954057752,51227.79526839347,57747.779657863,64878.13757994086,72633.6063144895,81025.99502107064
3.0,,,16348.013676312406,16772.624685701936,17700.273886740873,19126.943971764093,21043.0210944481,23447.895833072645,26346.44838797946,29747.658774922995,33662.43706167434,38103.517938641184,43084.109090263555,48632.30486817527,54783.74241247675,61532.08596247768,68893.89930501487,76881.71712689972
3.5,,,16779.05498309102,17035.383721807684,17787.28294524284,19025.2369404171,20735.77035010622,22914.946742800435,25565.0510246624,28692.51379531359,32306.092103191157,36416.37362811101,41034.76624615837,46204.09124925456,51999.485882364046,58377.19416771249,65351.591641685314,72941.83188167268
4.0,,,,17363.912985085906,17942.050284460976,18995.057991294354,20505.60877144448,22466.64135670972,24877.477623224164,27742.199837904325,31067.365425886157,34861.41045604635,39134.031967179515,43943.298728832844,49392.504662320505,55407.36234625747,62003.86847033946,69204.81354182905
4.5,,,,17761.828132653744,18168.7761910934,19041.974310693633,20360.294900641486,22113.62344975775,24298.849288385067,26917.69641028298,29974.68986743773,33477.09565875432,37433.2539692917,41894.342321786244,46955.863606100866,52547.5677934607,58688.13999531715,65392.314206097944
5.0,,,,18232.720100681185,18469.042803779947,19164.694960422217,20294.800415356734,21846.020128751836,23812.768790876115,26194.431605320697,28994.056962093102,32216.593146803323,35869.20494021163,39997.656219247205,44688.844163622336,49878.29837885779,55581.748356698874,61816.751294736474
5.5,,,,,18846.3707287217,19366.28279703914,20311.56030031501,21665.731529845132,23420.550104764436,25573.24371603182,28124.877306353,31079.0490654926,34440.5377085582,38251.24186837831,42589.28663006458,47395.97971689387,52685.598123944015,58470.68926002376
6.0,,,,,19304.93668614875,19650.185348766645,20413.41507854858,21574.958638429685,23123.84885445098,25055.070537557953,27367.72592678508,30063.82840873247,33146.66429199619,36653.80830293703,40653.99443704676,45095.7437831885,49989.93266976761,55349.79365329312
6.5,,,,,19823.99903080681,19987.5668811828,20562.3298713965,21524.968667270823,22861.69348408056,24565.14453898521,26632.3549040948,29063.443322536412,31860.447399954977,35056.416301486395,38715.34096716326,42787.631283831535,47284.640995962174,52215.83677560605
7.0,,,,,,20420.66895411626,20809.658087128595,21577.971590265297,22708.927603166096,24192.71427388577,26024.28191094883,28201.981822400354,30726.331441868697,33627.160859896976,36962.19669273938,40685.096708253695,44804.67436137049,49330.71774602893
7.5,,,,,,20954.121177456298,21159.24291702931,21736.97480126791,22667.732681303638,23939.171634854913,25544.169628948373,27479.21890152021,29743.483381244154,32362.679889181778,35390.16407356209,38781.54762364267,42544.878930343824,46688.56298707329
8.0,,,,,,,21615.616012326518,22005.74447526729,22740.956867870224,23806.46589116243,25192.97288911585,26895.133318848348,28910.536173713903,31261.925648423545,33996.859079939786,37074.09774865621,40499.84254226131,44281.84072162407
8.5,,,,,,,22184.17940581933,22388.721351440974,22932.201513686432,23797.271907033457,24972.449804146978,26450.6111159104,28227.60002430131,30323.142324491222,32779.97386369575,35559.0039277427,38665.12586835835,42105.031478027755
9.0,,,,,,,,22891.02732055046,23245.771060516465,23914.99332823621,24885.126467383947,26147.127074627486,27695.25126731523,29546.071194821307,31737.82811938963,34233.2037145653,37036.45286963679,40151.9372797545
