Altitude_km,Mach_0.073,Mach_0.083,Mach_0.093,Mach_0.103,Mach_0.113,Mach_0.123,Mach_0.133,Mach_0.143,Mach_0.153,Mach_0.163,Mach_0.173,Mach_0.183,Mach_0.193,Mach_0.203,Mach_0.213,Mach_0.223,Mach_0.233,Mach_0.243
0.0,,30854.225728671612,32469.213522321734,33022.92003082623,32552.312401736726,31033.09885577671,28571.71751484431,25397.57839155389,21493.900494922236,16833.459464571017,11387.758491014443,5118.604019130464,,,,,,
0.5,,30120.925062305847,31868.728743209045,32572.87337676659,32276.946231728543,30960.7127268623,28733.912490285562,25827.147118460627,22226.954784319358,17909.3128201309,12850.43814281303,7014.24539346408,358.8840494837714,,,,,
1.0,,29341.629370173963,31221.986766684895,32074.532210770438,31949.185241797422,30830.079758852386,28829.75597336894,26180.052762969466,22871.14478693858,18882.857858802752,14193.432827515848,8770.931050788982,2574.4526708741105,,,,,
1.5,,28513.653090180927,30526.794698578055,31526.023146446998,31567.600773635135,30640.017575187918,28858.8401355383,26456.720317038704,23427.589769001046,19754.062198661733,15417.432360991137,10389.710359403354,4631.033704044996,,,,,
2.0,,27634.056786254976,29780.58254427291,30925.25362195995,31130.468303788944,30389.302372592556,28820.09351520598,26656.781589738235,23896.055091916558,20524.30002049164,16525.07721978899,11872.292809143619,6532.177925232281,517.5974569814789,,,,
2.5,,,28997.39769172308,30292.199031742355,30663.123538706444,30108.681755532623,28749.790904645473,26821.215077771358,24322.331940143275,21241.730643753013,17565.918165561823,13271.833791278477,8325.498012553151,2721.536839020606,,,,
3.0,,,28155.2430321167,29599.005046882536,30132.579320835703,29759.983161641307,28604.681681560993,26902.1025383125,24654.481235675234,21852.83775789472,18486.262037199907,14533.55600870269,9964.056278097334,4749.139532844987,,,,
3.5,,,27250.762824184592,28842.93080085568,29536.7101218276,29341.61650007973,28383.76537509427,26899.41334803807,24893.315517889587,22359.041285027346,19287.833601014216,15660.731447452614,11449.056937432724,6609.465445371861,1066.8197263055845,,,
4.0,,,,28021.086327656343,28873.082642103323,28851.7217562939,28085.759902947393,26812.08045358213,25038.325838225108,22760.413789959817,19971.786883650333,16655.725747737015,12785.449031641772,8302.370259399744,3103.1955096967577,,,
4.5,,,,27129.85597016739,28137.496594964767,28284.731743986053,27702.906722941778,26629.460079987442,25074.39109196149,23035.975765104376,20509.689047429878,17480.071673248785,13921.884844759792,9783.43896005251,4969.23112926403,,,
5.0,,,,26165.648792218835,27328.369841772084,27641.9374013489,27240.234157417926,26361.425120446707,25017.908508367735,23210.299117589875,20935.54855810564,18180.60531341953,14921.591689070061,11112.237356197715,6665.645135090199,1646.2854202267335,,
5.5,,,,,25678.891565564994,26140.165332460554,25903.056645438126,25202.618017986784,24053.719491722637,22459.133375686793,20417.79472717355,17918.227215279618,14939.403458798995,11438.932441082026,7338.689077017058,2697.36564332719,,
6.0,,,,,23948.175256872615,24556.078548461635,24480.784240183046,23954.295208035604,22994.013039279325,21604.9529229687,19788.012620069287,17533.52569258912,14822.421413436525,11616.64674053873,7847.467678403977,3566.363138169101,,
6.5,,,,,22156.962560949218,22918.51278377406,23011.4518203136,22665.18947782784,21899.76070689297,20722.525290349484,19136.450156087376,17133.988599334538,14697.78284355324,11794.319476004777,8359.607556656563,4443.237198662609,34.18888843002787,
7.0,,,,,,21185.226478569184,21443.705977559996,21273.090853466747,20696.118885050662,19722.601924256964,18357.58966256116,16595.527920019966,14421.04333971503,11803.855651609621,8686.238239449543,5114.533335376997,1080.251587131046,
7.5,,,,,,20651.774255229146,21094.12114765928,21114.087642464136,20737.31380691312,19976.14456328782,18837.701944561617,17318.29084090011,15403.891400339573,13068.33662232482,10258.270858626835,7018.082419988023,3340.047018157711,
8.0,,,,,,,20637.748052362072,20845.317968464755,20664.089620346535,20108.850306980305,19188.898684394142,17902.376423571972,16236.838607869824,14169.090863083053,11651.575852249138,8725.53229497448,5385.083406240228,1623.1503869335065
8.5,,,,,,,20069.18465886926,20462.34109229107,20472.844974530326,20118.044291109276,19409.421769363013,18346.89862650992,16919.774757282416,15107.874187015375,12868.461068493176,10240.626115887993,7219.8000801431845,3799.9596305298182
9.0,,,,,,,,19960.035123181584,20159.275427700293,20000.322869906522,19496.745106126044,18650.382667792834,17452.123514268496,15884.94531668529,13910.606812799295,11566.42632906539,8848.473078864743,5753.053828803073
