Altitude_km,Mach_0.073,Mach_0.074,Mach_0.075,Mach_0.076,Mach_0.077,Mach_0.078,Mach_0.079,Mach_0.080,Mach_0.081,Mach_0.082,Mach_0.083,Mach_0.084,Mach_0.085,Mach_0.086,Mach_0.087,Mach_0.088,Mach_0.089,Mach_0.090,Mach_0.091,Mach_0.092,Mach_0.093,Mach_0.094,Mach_0.095,Mach_0.096,Mach_0.097,Mach_0.098,Mach_0.099,Mach_0.100,Mach_0.101,Mach_0.102,Mach_0.103,Mach_0.104,Mach_0.105,Mach_0.106,Mach_0.107,Mach_0.108,Mach_0.109,Mach_0.110,Mach_0.111,Mach_0.112,Mach_0.113,Mach_0.114,Mach_0.115,Mach_0.116,Mach_0.117,Mach_0.118,Mach_0.119,Mach_0.120,Mach_0.121,Mach_0.122,Mach_0.123,Mach_0.124,Mach_0.125,Mach_0.126,Mach_0.127,Mach_0.128,Mach_0.129,Mach_0.130,Mach_0.131,Mach_0.132,Mach_0.133,Mach_0.134,Mach_0.135,Mach_0.136,Mach_0.137,Mach_0.138,Mach_0.139,Mach_0.140,Mach_0.141,Mach_0.142,Mach_0.143,Mach_0.144,Mach_0.145,Mach_0.146,Mach_0.147,Mach_0.148,Mach_0.149,Mach_0.150,Mach_0.151,Mach_0.152,Mach_0.153,Mach_0.154,Mach_0.155,Mach_0.156,Mach_0.157,Mach_0.158,Mach_0.159,Mach_0.160,Mach_0.161,Mach_0.162,Mach_0.163,Mach_0.164,Mach_0.165,Mach_0.166,Mach_0.167,Mach_0.168,Mach_0.169,Mach_0.170,Mach_0.171,Mach_0.172,Mach_0.173,Mach_0.174,Mach_0.175,Mach_0.176,Mach_0.177,Mach_0.178,Mach_0.179,Mach_0.180,Mach_0.181,Mach_0.182,Mach_0.183,Mach_0.184,Mach_0.185,Mach_0.186,Mach_0.187,Mach_0.188,Mach_0.189,Mach_0.190,Mach_0.191,Mach_0.192,Mach_0.193,Mach_0.194,Mach_0.195,Mach_0.196,Mach_0.197,Mach_0.198,Mach_0.199,Mach_0.200,Mach_0.201,Mach_0.202,Mach_0.203,Mach_0.204,Mach_0.205,Mach_0.206,Mach_0.207,Mach_0.208,Mach_0.209,Mach_0.210,Mach_0.211,Mach_0.212,Mach_0.213,Mach_0.214,Mach_0.215,Mach_0.216,Mach_0.217,Mach_0.218,Mach_0.219,Mach_0.220,Mach_0.221,Mach_0.222,Mach_0.223,Mach_0.224,Mach_0.225,Mach_0.226,Mach_0.227,Mach_0.228,Mach_0.229,Mach_0.230,Mach_0.231,Mach_0.232,Mach_0.233,Mach_0.234,Mach_0.235,Mach_0.236,Mach_0.237,Mach_0.238,Mach_0.239,Mach_0.240,Mach_0.241,Mach_0.242,Mach_0.243,Mach_0.244,Mach_0.245,Mach_0.246,Mach_0.247,Mach_0.248,Mach_0.249
0.0,,28454.243763444327,28767.933922030912,29068.54861331475,29357.606087691922,29635.20037509463,29901.44063727528,30156.398195979993,30400.108377329772,30632.715031394477,30854.225728671612,31064.66188188664,31264.142426496397,31452.700715511713,31630.337438128867,31797.102346345295,31953.04726018823,32098.22311095683,32232.6161922603,32356.28121381104,32469.213522321734,32571.440234664424,32662.984949876038,32743.833673305184,32814.02714485803,32873.5554878946,32922.43381470502,32960.6601072379,32991.84691889046,33012.599682550295,33022.92003082623,33022.818901283434,33012.27119142351,32991.329137422676,32959.92777447407,32918.09669536717,32865.84679366815,32803.14042648111,32729.973785238068,32646.342469741383,32552.312401736726,32447.737692893952,32332.669754591192,32207.08923007878,32071.072961893224,31924.498848850944,31767.321178335886,31599.612065065223,31421.327284799157,31232.558075751447,31033.09885577671,30822.85528332342,30602.25896896667,30372.58322161826,30136.174469948463,29892.949546105334,29642.56854306108,29385.343327330866,29121.14455861865,28850.082676610713,28571.71751484431,28286.417293176808,27993.997207737364,27694.564684822617,27387.898952687257,27074.46648259834,26753.288466334485,26425.20384800597,26089.9545756315,25747.6690661582,25397.57839155389,25040.691528106418,24676.199015029302,24304.187408288533,23925.304815830634,23538.609349590406,23144.76522416853,22743.321656855765,22334.389031495437,21918.095946686382,21493.900494922236,21062.606421056887,20622.91264315592,20176.40172335806,19721.698265585677,19259.703980693826,18789.7359170743,18312.790449462802,17827.237073322227,17334.074674443844,16833.459464571017,16324.54179100415,15807.410067747012,15283.263724956632,14751.199871905163,14210.185540252198,13661.46898832178,13105.220143438411,12541.627198783637,11968.233163208562,11387.758491014443,10799.026158351466,10202.164640078809,9595.668411237071,8982.528471104386,8359.855219931334,7729.349323449329,7089.51792552285,6440.43606660916,5783.99757036275,5118.604019130464,4444.373382214493,3761.4378459132786,3069.9443459459944,2367.969848369765,1659.8034915755125,941.4071531216614,212.8060966226476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,,,28144.401711305538,28449.53296344917,28743.211597739613,29025.41745179526,29296.36170642463,29556.05782063934,29804.63739439132,30042.091878965708,30268.525886062,30484.049547209484,30688.639645944826,30882.37638204878,31065.300323804586,31237.457979981788,31398.861353146393,31549.603287130325,31689.66538904232,31819.074101672802,31937.887484861072,32046.101601859416,32143.74449931849,32230.839998368814,32307.354249232078,32373.351373286263,32428.81717071277,32473.757929036386,32511.855814093236,32539.655941946592,32557.167468984,32564.38889836243,32561.337539104512,32547.99698375969,32524.368871001418,32490.490923239613,32446.281614294865,32391.80628664641,32327.08214450681,32252.0183305395,32166.656756322926,32070.9951539805,31964.952440638077,31848.663428628097,31721.95311431119,31584.973489780612,31437.60998326886,31279.82085600415,31111.677501327074,30933.004579070453,30744.007461763955,30544.64396700806,30334.689902251914,30116.26053540836,29890.975093502868,29659.107680188965,29420.368853556593,29174.6179919762,28922.392243206516,28663.107951223337,28397.094899514825,28123.92754735046,27844.25270445921,27557.32338467308,27263.519692412647,26962.965264769555,26655.096732180362,26340.72246340333,26018.864837197954,25689.981512006518,25354.195218245433,25011.204875636344,24661.11587847102,24303.56863785469,23939.149286457636,23567.494663981328,23188.723120181847,22802.40154403725,22409.2105193717,22008.091067282672,21600.376238721365,21184.947621690928,20761.88855459766,20331.298147331894,19894.0379563069,19448.77684338441,18996.38444764921,18536.19876533447,18068.318780083304,17592.859220679245,17109.95124899526,16619.74314191501,16121.41136424584,15615.038533741783,15101.780082143552,14580.760676392456,14050.979481965347,13514.806673959189,12970.104489342993,12416.935683937525,11856.661546120187,11288.16693418476,10712.926023501648,10128.224002500247,9535.382939133655,8934.552699346234,8325.899191853838,7708.010890976446,7080.9432613932295,6448.146181171942,5804.775093988537,5152.566865695459,4493.474730789392,3825.881421096572,3147.971513907003,2463.7499890555555,1769.418704818112,1067.1116394893252,354.83992504223716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,,27819.142311587704,28117.449337495505,28404.38314890457,28680.042564102332,28944.54204873434,29197.9047889559,29440.272568697117,29671.693848102543,29892.228713757908,30101.94644740229,30300.877038444967,30489.060210833646,30666.585963319783,30833.46099281514,30989.740736776046,31135.44406135776,31270.630470493612,31395.289842055536,31509.453148420256,31613.151426582946,31706.413401627695,31789.241568355115,31861.643266782627,31923.64426637315,31975.235713335947,32020.173313899068,32054.94252843444,32079.558166845476,32094.025837541794,32098.352433444048,32092.54454293812,32076.598129678732,32050.51907814743,32014.289928832204,31967.943476458964,31911.458419627837,31844.838035774937,31768.08609122241,31681.14743673564,31584.068527932566,31476.847304538085,31359.398070533847,31231.773364081877,31094.048492452246,30946.013424944053,30787.82825688603,30619.34821326763,30440.639033953732,30251.649210250318,30052.459889675683,29844.870060959354,29630.66013884862,29409.734966864857,29182.359039594605,28948.254134527026,28707.284978447395,28459.969577894208,28205.745439476952,27944.930568530443,27677.381545241366,27402.920666309343,27121.62834928973,26833.914442894566,26538.965634757165,26237.51146677311,25928.994830506017,25613.49683462569,25291.508837913978,24962.38081903495,24626.19587879224,24283.054281661014,23933.07428914709,23575.90577533677,23211.643811744347,22840.40061300786,22462.3063259728,22076.936810589723,21684.391703216643,21284.78733669612,20877.61377737808,20463.617071656925,20042.272201205808,19613.689472316182,19177.995679552165,18734.56023115092,18284.26316147898,17825.61931370641,17360.37136765411,16887.840899443625,16408.168669815088,15920.557379930244,15425.084271992819,14922.86157654252,14411.985927954323,13894.655933906426,13368.860946865272,12836.97176726647,12295.664748144154,11747.376214850476,11192.30645414439,10627.896119180346,10056.720100388244,9476.222983008192,8887.864824371783,8291.800844954894,7688.202052347646,7075.673075306717,6454.276521683816,5825.764718709062,5188.643784721869,4544.793027872976,3890.821895409572,3228.5853134093923,2558.2243411939635,1879.8942708793547,1191.7183820378923,497.918261548235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,,,,,27479.969797900827,27771.639740602503,28052.077944142922,28321.39367161271,28579.65712021789,28826.953160112324,29063.32712672311,29288.938789394204,29503.75248197012,29707.894476444955,29901.398354394463,30084.26119528588,30256.58002194853,30418.408074203056,30569.720711857604,30710.6217302624,30841.13264828627,30961.21109829219,31070.95848090348,31170.342603943493,31259.425981184537,31338.186984240863,31406.659345160446,31464.851146550827,31516.569071618454,31558.235090249917,31589.879039641044,31611.51056489239,31623.135750853497,31624.7566946828,31616.392722902383,31598.027947051076,31569.67835732972,31531.358343240965,31483.024286856435,31424.701779135234,31356.397125170053,31278.1171066958,31189.81302238808,31091.531350373687,30983.204830625724,30864.884674802463,30736.56170906076,30598.12940086201,30449.736341142547,30291.26518862165,30122.6696418117,29944.01382581001,29755.24968501462,29558.29187023593,29354.771299385662,29144.91271168958,28928.482690088604,28705.73611264695,28476.210824607228,28240.363299256245,27997.88710410619,27748.862333828023,27493.38823656241,27231.069439011917,26962.50680511131,26687.005459339536,26404.918035467883,26116.04431833189,25820.80198007517,25518.65330104661,25209.675664853385,24893.96340277116,24571.62862653711,24242.388421338914,23906.33819050382,23563.59058703718,23213.806290991608,22857.565175890537,22494.014304474575,22123.747258052023,21746.352745754826,21361.924602456173,20970.572625038894,20572.423284095137,20166.97552842941,19754.3176487402,19335.24772421705,18908.521286779294,18474.94332985708,18033.892150528372,17585.454452890583,17130.562067678606,16667.698666290293,16197.797965721744,15721.007677781541,15236.539920809213,14745.464574865313,14245.94405575443,13740.095118295249,13225.976711941978,12704.749220556994,12176.571118772321,11640.422209094206,11096.24397072161,10545.262247100822,9985.076196239592,9418.38797132577,8842.665104474981,8260.800860799507,7668.646198246053,7070.686032529324,6464.106147350933,5848.975975211935,5225.376113827908,4595.11057963044,3956.670827669899,3308.3653258297054,2653.8988609290245,1991.6568478344198,1319.830478756281,640.4545574033473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,27126.887939514465,27412.16665220171,27686.306350203624,27949.483031381897,28201.774905470214,28443.166941767355,28673.819443829765,28893.794793724763,29103.16508024816,29301.91196164577,29490.174936125186,29667.95249495937,29835.2992537435,29992.230943620838,30138.85348863133,30275.108964377898,30401.107074953263,30516.839970337274,30622.341525234504,30717.6443840512,30802.723897903656,30877.643988563264,30942.386527729483,31000.79173436991,31049.292977260993,31087.901790928216,31116.61928020135,31135.46078166546,31144.436019997982,31143.551438279756,31132.821025035395,31112.239189165954,31081.8050880279,31041.54465188642,30991.422577259462,30931.46496078516,30861.681129450757,30782.03556306205,30692.570608545993,30593.235433967293,30484.014422591517,30364.957814833222,30236.05910117142,30097.219135220534,29948.58067407912,29789.932373035255,29621.42653067227,29443.032036161065,29256.521177242535,29063.65092301074,28864.49021403826,28658.97187658181,28447.175076398766,28229.022240652863,28004.413276645635,27773.42187175173,27536.1404638085,27292.23639620641,27042.003121354304,26785.55462372904,26522.243177486827,26252.650797504353,25976.621495089275,25693.96236374672,25404.757656762766,25108.776201876168,24806.438966180107,24497.518607586553,24182.12228502834,23859.976558821687,23531.172229720523,23195.38241854649,22853.12866817395,22504.080108806298,22148.33765160428,21786.018624733166,21416.7248193716,21041.09862093612,20658.157563322493,20267.955493757967,19871.802283664965,19467.985278064865,19057.869111964814,18640.251733895493,18215.90575396677,17784.97495384919,17346.847173117778,16901.618238914678,16449.398213858614,15989.4545272307,15523.612860941554,15049.366261984207,14568.598369241648,14081.49510381886,13586.234815188247,13083.886038178098,12574.583389816558,12057.36156571225,11533.294394800403,11001.238681000526,10462.502674427858,9914.771592841484,9360.643081441143,8799.017233929713,8228.65009121623,7650.993307228477,7066.211616436536,6472.974835351124,5871.34532663854,5262.996199716443,4646.504127394153,4021.967483222703,3389.4965389406134,2749.2139039387985,2101.2549616925608,1445.7683013345231,780.9699116680204,108.87518356954388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,,,,,,,,27038.97732092794,27307.130798088947,27564.37404056175,27810.85181911705,28046.61046439131,28271.70993617367,28486.32591754116,28690.379740959957,28883.96233457444,29067.217733067057,29240.05161419066,29402.619246977436,29554.93553996354,29696.98090129846,29828.86891080932,29950.588121537407,30062.173026428587,30163.625150534157,30255.015716926937,30336.28932693312,30407.544276007433,30472.619017138306,30527.895712819532,30573.39249176251,30609.113467233,30635.102517498737,30651.34168791192,30657.86145519072,30654.660035247318,30641.748368771154,30619.128376344117,30586.81793324587,30544.796772016238,30493.084601519644,30431.661714680544,30360.560163780443,30279.79208092716,30189.273384502598,30089.085136947244,29979.17286697277,29859.58582304332,29730.24613519555,29591.203197971732,29442.34916306545,29283.825188794573,29115.614689979335,28939.374860035008,28756.95837229163,28568.30863198256,28373.631321206252,28172.592925110755,27965.399642220993,27751.97736569537,27532.230109337706,27306.418693623476,27074.261528351373,26835.61885484949,26590.99674609615,26339.828115260098,26082.41651530628,25818.606817325122,25548.48579756092,25271.86683070079,24988.829419948168,24699.78955223342,24403.900989418187,24101.553664900403,23792.848682684387,23477.9042195806,23156.055708219257,22827.770748260595,22493.166692402752,22151.92393363305,21804.138187890294,21449.42821589997,21088.374455154855,20720.586999738323,20346.16367425704,19965.217502829644,19577.27921836593,19183.04680289176,18781.392515799795,18373.687816735663,17958.740680495124,17537.33087107356,17108.86614646785,16673.435523091437,16231.141559658703,15782.100923164951,15326.444949407974,14863.437447017815,14394.063969743518,13916.61501426925,13433.045616926502,12942.55643088212,12444.23538656949,11939.06231943472,11427.057481786862,10907.248188249185,10379.71207754423,9845.752821855502,9303.080463105973,8754.276820366795,8196.927692433397,7632.425375689592,7060.924305711604,6481.141505074433,5894.627437480456,5300.040659603641,4697.460308445436,4086.9763446512225,3470.3644042272645,2844.435918395393,2210.9438213723406,1570.0255643632845,921.8315043107577,266.52530554849363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,26652.127480047315,26914.384141581246,27165.959447571015,27406.89245613121,27637.181991814025,27857.005056577207,28066.383099075385,28265.401673642973,28454.05114924129,28632.43413848502,28800.606943197097,28958.630343346915,29106.477995117548,29244.180214504602,29371.855255015667,29489.492619024502,29597.091336749494,29694.728437028323,29782.37320047455,29860.099446785433,29931.77130369159,29993.7491400101,30046.07751668366,30088.752970063917,30121.812961625637,30145.244449555565,30159.081360544358,30163.333349519882,30158.00165306368,30143.09815451541,30118.632034568822,30084.608933525207,30041.02035211674,29987.88589060982,29925.191380149994,29852.968416865555,29771.193077177133,29679.862064702953,29578.969215220786,29468.50436428116,29348.515030698392,29218.92988095253,29079.79649646222,28931.0982399884,28772.809180875196,28606.671433208114,28434.52167107536,28256.321156129434,28072.140733311266,27881.804532829097,27685.3676043306,27482.9025717187,27274.338983112477,27059.58516004251,26838.708100526568,26611.79214059301,26378.735559463443,26139.40960893042,25893.883523883545,25642.24308251524,25384.338813495982,25120.252973596296,24849.80547539875,24573.36420297746,24290.448547205484,24001.445086926662,23705.805205856213,23404.283616100383,23095.935209206607,22781.560966458157,22460.904688066537,22133.659528458116,21799.900525692916,21459.717038000104,21113.213397597458,20760.50955785079,20400.716633933578,20034.93183133372,19662.769196526453,19283.775661350715,18898.02321539044,18506.216336399215,18107.237841231377,17701.797530582167,17290.02302654177,16871.34215416984,16445.837586335874,16014.371517300293,15575.5463009198,15130.225419954899,14677.69764049453,14218.906746640532,13753.112176984512,13280.406107037685,12800.89327888161,12314.559255264678,11821.40314901821,11320.506611263612,10813.026174803126,10298.00292645672,9775.519880827836,9245.671507034538,8709.803744062585,8165.593734793576,7614.375820128422,7054.940186455249,6490.114490028413,5915.885042727212,5335.143156652135,4746.566205328119,4151.799832305522,3547.854494824918,2938.007149735611,2320.8123968446234,1694.6534532220612,1061.3227101687517,420.97203510683903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,,,,,,,,,,26251.496621504368,26508.175405549904,26754.29328787284,26989.840576589537,27214.935902866186,27429.65196524069,27634.01754196298,27828.17864997958,28012.07625474567,28185.869868731566,28349.568217436754,28503.18942054094,28646.759777482952,28780.400431372036,28904.054512050338,29017.763493676335,29121.608888698516,29215.5914963745,29299.752130969842,29377.972733450573,29446.59672239841,29505.702642064418,29555.256342826906,29595.32655197652,29625.88875954806,29646.96775221829,29658.594212564727,29660.75304073154,29653.47859614759,29636.769885719605,29610.636154190553,29575.07792052244,29530.1076670608,29475.739124636097,29411.939405514837,29338.7536171699,29256.163151554763,29164.167016327658,29062.76142564574,28951.938700543284,28831.744652923477,28702.114659303938,28563.022721166362,28414.591389686055,28258.406446078545,28096.358810088786,27928.425141868734,27754.460412884728,27574.62536928077,27388.879384213025,27197.03045471411,26999.40938420443,26795.66927353183,26586.021000917386,26370.384001901213,26148.654445673063,25920.897975796037,25687.196559236574,25447.43152207369,25201.684421629514,24949.811675434106,24691.63691084846,24427.749844531405,24157.458244651338,23881.10243098745,23598.475904125957,23309.976592678464,23015.063538306073,22714.150688186706,22406.9909494335,22093.674567217004,21773.905062497866,21447.752169398882,21115.735798955327,20777.09864121702,20432.372192363848,20081.19243174661,19724.156697205788,19359.829642666922,18989.86004124232,18613.291898830765,18230.204906829145,17840.69171516208,17444.858483045195,17042.825424265546,16634.04055418502,16218.580648381794,15796.534706511775,15368.766357539447,14933.893039491151,14491.964793726525,14043.884642661622,13588.93791489255,13128.108929840972,12659.59429007487,12185.201965779852,11703.166801037427,11213.53165353991,10717.402568309211,10214.940877583555,9705.202394894179,9188.27519901449,8664.258635934973,8132.037914570094,7594.15114314243,7048.244017935482,6495.688719069985,5936.644954014337,5369.8686877893415,4795.425356639105,4214.890106692896,3625.3904978020946,3030.0664323311066,2427.526767275376,1816.2161158837043,1199.5710246134258,574.3360935969322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,25837.13192944176,26088.439852683034,26329.254658631355,26559.63253746416,26779.69962271299,26989.53450887771,27189.170134614476,27378.65036618695,27558.02843140826,27727.41638908451,27886.826939658902,28036.23323194636,28175.809615437276,28305.491495701375,28425.318739547496,28535.375822076974,28635.66157741058,28726.182118703393,28810.906683339126,28886.15969644959,28951.992782275498,29008.36694084202,29055.389729507908,29093.003369676244,29121.258761669495,29140.176165193498,29149.75888173822,29150.026394877164,29140.98570265385,29122.65074525144,29095.0277417644,29058.119584365966,29011.93817147063,28956.499127100367,28891.777947758754,28817.815645388484,28734.56779545706,28642.05621746137,28540.321214588945,28429.32641061395,28309.007600958274,28179.51111070581,28040.65084217924,27894.33710808403,27742.229621814226,27584.297205516243,27420.592342572163,27250.978554422556,27075.607504304025,26894.441032255498,26707.42531197154,26514.626043478966,26315.833444303546,26111.247170808,25900.790090610462,25684.53815468958,25462.398045786445,25234.251110202782,25000.158689570762,24760.197314510573,24514.22846755163,24262.568060150275,24004.575018096744,23740.814353592148,23471.124310900304,23195.306297883682,22913.43086698731,22625.58282779265,22331.86189694731,22032.029956593535,21725.802767505713,21414.001447671275,21095.583802076926,20771.41501346129,20440.76707171738,20104.147048164763,19761.203486416634,19412.506502284108,19057.18677994145,18695.822489985036,18328.534210584497,17954.31623917538,17574.375450697167,17187.648268176054,16795.452878108823,16396.006884237562,15990.675840870965,15578.906671500372,15160.794364357032,14736.446481868246,14305.983641113482,13868.73183664502,13424.758380244712,12974.011985013429,12517.3437289336,12054.021463714467,11583.211000044437,11105.929299309966,10621.304784679814,10130.43745017636,9632.4173220226,9128.431846261228,8616.390486296295,8098.644959020363,7572.992429756778,7040.69901290549,6501.901958870505,5955.430362863539,5402.691588886184,4842.46168609841,4274.809186153085,3699.8120602353883,3119.0784624083026,2531.2707592757943,1934.8940705505884,1333.2380665621313,723.178202751893,106.46253871740191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,,,,,,,,,,,,,25661.691172352002,25897.711979365406,26123.38032553075,26338.946516653436,26544.32251640377,26739.606105250954,26924.902026179334,27100.266031481657,27265.7082582663,27421.29982675807,27567.06555569282,27703.037351511455,27829.299307726877,27945.843396453725,28052.67090409431,28149.91456503934,28241.34185852073,28323.428286239112,28396.18967465081,28459.612855857074,28513.72616120266,28558.6128536968,28594.237937604514,28620.62905175773,28637.810937408223,28645.803790899165,28644.61034129992,28634.239452297552,28614.709567686772,28586.02889308162,28548.20528353959,28501.249678655066,28445.153697380763,28379.94392326353,28305.61742976854,28222.151615704413,28129.59905176708,28027.899862416853,27917.12117178304,27797.1729594116,27668.134143529747,27531.723934423277,27389.58604673888,27241.831771440116,27088.370720339866,26929.162856588875,26764.34869598325,26593.802313296757,26417.46492882731,26235.50271050757,26047.743393175602,25854.376791758983,25655.202606577073,25450.276794034344,25239.504118816192,25023.118329674206,24800.848958229457,24572.950384904987,24339.110064557142,24099.381731219448,23854.064432487412,23602.7896780594,23345.619092796278,23082.628168082825,22813.625483084423,22538.9708026355,22258.475362454898,21971.91016232978,21679.34015145499,21380.843379443435,21076.51158921534,20766.450803251468,20449.9822647522,20127.975448961257,19799.2795284906,19465.256751636218,19124.67969543824,18778.555456910286,18426.02659456819,18067.14869125992,17702.534420994267,17331.757145336116,16954.908983626643,16572.094735332772,16182.801828680509,15787.747568041515,15385.724172182468,14978.148518762508,14563.744094655958,14144.046371419812,13716.93383329505,13284.66089078995,12844.849985367648,12399.21012461833,11946.156198837118,11486.619044570121,11020.715461129279,10548.574609288655,10069.340657835834,9584.104840740249,9090.913590865748,8591.939481847352,8086.248585243156,7573.9464932242045,7053.956514921309,6528.758973100019,5994.806251792637,5455.934766074497,4909.740838993421,4356.286678849014,3795.6433822407416,3227.8912774392156,2654.6159926788678,2072.9673037040993,1486.0896439371936,890.9883124004264,296.1413226474979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
