Altitude_km,Mach_min,CL_max,V_min_ms
0.0,0.0734,1.41064,24.98
0.02112,0.0735,1.4106,25.01
0.0438,0.0736,1.41056,25.03
0.06644,0.0737,1.41052,25.06
0.08903,0.0738,1.41048,25.09
0.11158,0.0739,1.41044,25.12
0.13409,0.074,1.4104,25.14
0.15656,0.0741,1.41036,25.17
0.17898,0.0742,1.41032,25.2
0.20136,0.0743,1.41028,25.23
0.22371,0.0744,1.41024,25.25
0.246,0.0745,1.4102,25.28
0.26826,0.0746,1.41016,25.31
0.29048,0.0747,1.41012,25.34
0.31265,0.0748,1.41008,25.36
0.33479,0.0749,1.41004,25.39
0.35688,0.075,1.41,25.42
0.37893,0.0751,1.40996,25.45
0.40094,0.0752,1.40992,25.47
0.42292,0.0753,1.40988,25.5
0.44485,0.0754,1.40984,25.53
0.46674,0.0755,1.4098,25.56
0.48859,0.0756,1.40976,25.58
0.5104,0.0757,1.40972,25.61
0.53217,0.0758,1.40968,25.64
0.5539,0.0759,1.40964,25.67
0.57559,0.076,1.4096,25.69
0.59724,0.0761,1.40956,25.72
0.61885,0.0762,1.40952,25.75
0.64042,0.0763,1.40948,25.78
0.66196,0.0764,1.40944,25.8
0.68345,0.0765,1.4094,25.83
0.7049,0.0766,1.40936,25.86
0.72632,0.0767,1.40932,25.89
0.7477,0.0768,1.40928,25.91
0.76904,0.0769,1.40924,25.94
0.79034,0.077,1.4092,25.97
0.8116,0.0771,1.40916,26.0
0.83282,0.0772,1.40912,26.02
0.85401,0.0773,1.40908,26.05
0.87516,0.0774,1.40904,26.08
0.89627,0.0775,1.409,26.11
0.91734,0.0776,1.40896,26.13
0.93837,0.0777,1.40892,26.16
0.95937,0.0778,1.40888,26.19
0.98033,0.0779,1.40884,26.21
1.00125,0.078,1.4088,26.24
1.02214,0.0781,1.40876,26.27
1.04298,0.0782,1.40872,26.3
1.06379,0.0783,1.40868,26.32
1.08457,0.0784,1.40864,26.35
1.10531,0.0785,1.4086,26.38
1.12601,0.0786,1.40856,26.41
1.14667,0.0787,1.40852,26.43
1.1673,0.0788,1.40848,26.46
1.18789,0.0789,1.40844,26.49
1.20845,0.079,1.4084,26.51
1.22896,0.0791,1.40836,26.54
1.24945,0.0792,1.40832,26.57
1.2699,0.0793,1.40828,26.6
1.29031,0.0794,1.40824,26.62
1.31068,0.0795,1.4082,26.65
1.33102,0.0796,1.40816,26.68
1.35133,0.0797,1.40812,26.71
1.3716,0.0798,1.40808,26.73
1.39183,0.0799,1.40804,26.76
1.41203,0.08,1.408,26.79
1.4322,0.0801,1.40796,26.81
1.45233,0.0802,1.40792,26.84
1.47242,0.0803,1.40788,26.87
1.49248,0.0804,1.40784,26.9
1.51251,0.0805,1.4078,26.92
1.5325,0.0806,1.40776,26.95
1.55245,0.0807,1.40772,26.98
1.57237,0.0808,1.40768,27.0
1.59226,0.0809,1.40764,27.03
1.61212,0.081,1.4076,27.06
1.63194,0.0811,1.40756,27.09
1.65172,0.0812,1.40752,27.11
1.67147,0.0813,1.40748,27.14
1.69119,0.0814,1.40744,27.17
1.71088,0.0815,1.4074,27.19
1.73053,0.0816,1.40736,27.22
1.75015,0.0817,1.40732,27.25
1.76973,0.0818,1.40728,27.28
1.78928,0.0819,1.40724,27.3
1.8088,0.082,1.4072,27.33
1.82829,0.0821,1.40716,27.36
1.84774,0.0822,1.40712,27.38
1.86716,0.0823,1.40708,27.41
1.88655,0.0824,1.40704,27.44
1.9059,0.0825,1.407,27.46
1.92522,0.0826,1.40696,27.49
1.94451,0.0827,1.40692,27.52
1.96377,0.0828,1.40688,27.55
1.98299,0.0829,1.40684,27.57
2.00218,0.083,1.4068,27.6
2.02134,0.0831,1.40676,27.63
2.04047,0.0832,1.40672,27.65
2.05957,0.0833,1.40668,27.68
2.07863,0.0834,1.40664,27.71
2.09767,0.0835,1.4066,27.73
2.11667,0.0836,1.40656,27.76
2.13564,0.0837,1.40652,27.79
2.15458,0.0838,1.40648,27.82
2.17348,0.0839,1.40644,27.84
2.19236,0.084,1.4064,27.87
2.2112,0.0841,1.40636,27.9
2.23002,0.0842,1.40632,27.92
2.2488,0.0843,1.40628,27.95
2.26755,0.0844,1.40624,27.98
2.28627,0.0845,1.4062,28.0
2.30496,0.0846,1.40616,28.03
2.32362,0.0847,1.40612,28.06
2.34225,0.0848,1.40608,28.08
2.36085,0.0849,1.40604,28.11
2.37942,0.085,1.406,28.14
2.39796,0.0851,1.40596,28.17
2.41646,0.0852,1.40592,28.19
2.43494,0.0853,1.40588,28.22
2.45339,0.0854,1.40584,28.25
2.47181,0.0855,1.4058,28.27
2.49019,0.0856,1.40576,28.3
2.50855,0.0857,1.40572,28.33
2.52688,0.0858,1.40568,28.35
2.54518,0.0859,1.40564,28.38
2.56345,0.086,1.4056,28.41
2.58168,0.0861,1.40556,28.43
2.59989,0.0862,1.40552,28.46
2.61807,0.0863,1.40548,28.49
2.63623,0.0864,1.40544,28.51
2.65435,0.0865,1.4054,28.54
2.67244,0.0866,1.40536,28.57
2.69051,0.0867,1.40532,28.59
2.70854,0.0868,1.40528,28.62
2.72655,0.0869,1.40524,28.65
2.74452,0.087,1.4052,28.67
2.76247,0.0871,1.40516,28.7
2.78039,0.0872,1.40512,28.73
2.79829,0.0873,1.40508,28.76
2.81615,0.0874,1.40504,28.78
2.83398,0.0875,1.405,28.81
2.85179,0.0876,1.40496,28.84
2.86957,0.0877,1.40492,28.86
2.88732,0.0878,1.40488,28.89
2.90504,0.0879,1.40484,28.92
2.92274,0.088,1.4048,28.94
2.9404,0.0881,1.40476,28.97
2.95804,0.0882,1.40472,29.0
2.97565,0.0883,1.40468,29.02
2.99324,0.0884,1.40464,29.05
3.01079,0.0885,1.4046,29.08
3.02832,0.0886,1.40456,29.1
3.04582,0.0887,1.40452,29.13
3.06329,0.0888,1.40448,29.16
3.08074,0.0889,1.40444,29.18
3.09816,0.089,1.4044,29.21
3.11555,0.0891,1.40436,29.24
3.13291,0.0892,1.40432,29.26
3.15025,0.0893,1.40428,29.29
3.16756,0.0894,1.40424,29.32
3.18485,0.0895,1.4042,29.34
3.2021,0.0896,1.40416,29.37
3.21933,0.0897,1.40412,29.4
3.23654,0.0898,1.40408,29.42
3.25371,0.0899,1.40404,29.45
3.27086,0.09,1.404,29.48
3.28799,0.0901,1.40396,29.5
3.30509,0.0902,1.40392,29.53
3.32216,0.0903,1.40388,29.56
3.3392,0.0904,1.40384,29.58
3.35622,0.0905,1.4038,29.61
3.37321,0.0906,1.40376,29.63
3.39018,0.0907,1.40372,29.66
3.40712,0.0908,1.40368,29.69
3.42404,0.0909,1.40364,29.71
3.44092,0.091,1.4036,29.74
3.45779,0.0911,1.40356,29.77
3.47463,0.0912,1.40352,29.79
3.49144,0.0913,1.40348,29.82
3.50822,0.0914,1.40344,29.85
3.52498,0.0915,1.4034,29.87
3.54172,0.0916,1.40336,29.9
3.55843,0.0917,1.40332,29.93
3.57511,0.0918,1.40328,29.95
3.59177,0.0919,1.40324,29.98
3.60841,0.092,1.4032,30.01
3.62502,0.0921,1.40316,30.03
3.6416,0.0922,1.40312,30.06
3.65816,0.0923,1.40308,30.09
3.6747,0.0924,1.40304,30.11
3.69121,0.0925,1.403,30.14
3.70769,0.0926,1.40296,30.17
3.72415,0.0927,1.40292,30.19
3.74059,0.0928,1.40288,30.22
3.757,0.0929,1.40284,30.24
3.77338,0.093,1.4028,30.27
3.78974,0.0931,1.40276,30.3
3.80608,0.0932,1.40272,30.32
3.8224,0.0933,1.40268,30.35
3.83868,0.0934,1.40264,30.38
3.85495,0.0935,1.4026,30.4
3.87119,0.0936,1.40256,30.43
3.88741,0.0937,1.40252,30.46
3.9036,0.0938,1.40248,30.48
3.91977,0.0939,1.40244,30.51
3.93591,0.094,1.4024,30.54
3.95203,0.0941,1.40236,30.56
3.96813,0.0942,1.40232,30.59
3.9842,0.0943,1.40228,30.61
4.00025,0.0944,1.40224,30.64
4.01628,0.0945,1.4022,30.67
4.03228,0.0946,1.40216,30.69
4.04826,0.0947,1.40212,30.72
4.06421,0.0948,1.40208,30.75
4.08015,0.0949,1.40204,30.77
4.09605,0.095,1.402,30.8
4.11194,0.0951,1.40196,30.83
4.1278,0.0952,1.40192,30.85
4.14364,0.0953,1.40188,30.88
4.15946,0.0954,1.40184,30.9
4.17525,0.0955,1.4018,30.93
4.19102,0.0956,1.40176,30.96
4.20677,0.0957,1.40172,30.98
4.22249,0.0958,1.40168,31.01
4.23819,0.0959,1.40164,31.04
4.25387,0.096,1.4016,31.06
4.26953,0.0961,1.40156,31.09
4.28516,0.0962,1.40152,31.11
4.30077,0.0963,1.40148,31.14
4.31636,0.0964,1.40144,31.17
4.33193,0.0965,1.4014,31.19
4.34747,0.0966,1.40136,31.22
4.36299,0.0967,1.40132,31.25
4.37849,0.0968,1.40128,31.27
4.39397,0.0969,1.40124,31.3
4.40942,0.097,1.4012,31.32
4.42485,0.0971,1.40116,31.35
4.44026,0.0972,1.40112,31.38
4.45565,0.0973,1.40108,31.4
4.47102,0.0974,1.40104,31.43
4.48636,0.0975,1.401,31.46
4.50169,0.0976,1.40096,31.48
4.51699,0.0977,1.40092,31.51
4.53227,0.0978,1.40088,31.53
4.54752,0.0979,1.40084,31.56
4.56276,0.098,1.4008,31.59
4.57797,0.0981,1.40076,31.61
4.59317,0.0982,1.40072,31.64
4.60834,0.0983,1.40068,31.67
4.62349,0.0984,1.40064,31.69
4.63862,0.0985,1.4006,31.72
4.65372,0.0986,1.40056,31.74
4.66881,0.0987,1.40052,31.77
4.68387,0.0988,1.40048,31.8
4.69892,0.0989,1.40044,31.82
4.71394,0.099,1.4004,31.85
4.72894,0.0991,1.40036,31.87
4.74392,0.0992,1.40032,31.9
4.75888,0.0993,1.40028,31.93
4.77382,0.0994,1.40024,31.95
4.78873,0.0995,1.4002,31.98
4.80363,0.0996,1.40016,32.0
4.81851,0.0997,1.40012,32.03
