Altitude_km,Mach_perm,CL_perm,V_perm_ms
0.0,0.0821,1.12851,27.94
0.02112,0.0735,1.12848,25.01
0.0438,0.0736,1.12845,25.03
0.06644,0.0737,1.12842,25.06
0.08903,0.0738,1.12838,25.09
0.11158,0.0739,1.12835,25.12
0.13409,0.074,1.12832,25.14
0.15656,0.0741,1.12829,25.17
0.17898,0.0742,1.12826,25.2
0.20136,0.0743,1.12822,25.23
0.22371,0.0744,1.12819,25.25
0.246,0.0745,1.12816,25.28
0.26826,0.0746,1.12813,25.31
0.29048,0.0747,1.1281,25.34
0.31265,0.0748,1.12806,25.36
0.33479,0.0749,1.12803,25.39
0.35688,0.075,1.128,25.42
0.37893,0.0751,1.12797,25.45
0.40094,0.0752,1.12794,25.47
0.42292,0.0753,1.1279,25.5
0.44485,0.0754,1.12787,25.53
0.46674,0.0755,1.12784,25.56
0.48859,0.0756,1.12781,25.58
0.5104,0.0757,1.12778,25.61
0.53217,0.0758,1.12774,25.64
0.5539,0.0759,1.12771,25.67
0.57559,0.076,1.12768,25.69
0.59724,0.0761,1.12765,25.72
0.61885,0.0762,1.12762,25.75
0.64042,0.0763,1.12758,25.78
0.66196,0.0764,1.12755,25.8
0.68345,0.0765,1.12752,25.83
0.7049,0.0766,1.12749,25.86
0.72632,0.0767,1.12746,25.89
0.7477,0.0768,1.12742,25.91
0.76904,0.0769,1.12739,25.94
0.79034,0.077,1.12736,25.97
0.8116,0.0771,1.12733,26.0
0.83282,0.0772,1.1273,26.02
0.85401,0.0773,1.12726,26.05
0.87516,0.0774,1.12723,26.08
0.89627,0.0775,1.1272,26.11
0.91734,0.0776,1.12717,26.13
0.93837,0.0777,1.12714,26.16
0.95937,0.0778,1.1271,26.19
0.98033,0.0779,1.12707,26.21
1.00125,0.078,1.12704,26.24
1.02214,0.0781,1.12701,26.27
1.04298,0.0782,1.12698,26.3
1.06379,0.0783,1.12694,26.32
1.08457,0.0784,1.12691,26.35
1.10531,0.0785,1.12688,26.38
1.12601,0.0786,1.12685,26.41
1.14667,0.0787,1.12682,26.43
1.1673,0.0788,1.12678,26.46
1.18789,0.0789,1.12675,26.49
1.20845,0.079,1.12672,26.51
1.22896,0.0791,1.12669,26.54
1.24945,0.0792,1.12666,26.57
1.2699,0.0793,1.12662,26.6
1.29031,0.0794,1.12659,26.62
1.31068,0.0795,1.12656,26.65
1.33102,0.0796,1.12653,26.68
1.35133,0.0797,1.1265,26.71
1.3716,0.0798,1.12646,26.73
1.39183,0.0799,1.12643,26.76
1.41203,0.08,1.1264,26.79
1.4322,0.0801,1.12637,26.81
1.45233,0.0802,1.12634,26.84
1.47242,0.0803,1.1263,26.87
1.49248,0.0804,1.12627,26.9
1.51251,0.0805,1.12624,26.92
1.5325,0.0806,1.12621,26.95
1.55245,0.0807,1.12618,26.98
1.57237,0.0808,1.12614,27.0
1.59226,0.0809,1.12611,27.03
1.61212,0.081,1.12608,27.06
1.63194,0.0811,1.12605,27.09
1.65172,0.0812,1.12602,27.11
1.67147,0.0813,1.12598,27.14
1.69119,0.0814,1.12595,27.17
1.71088,0.0815,1.12592,27.19
1.73053,0.0816,1.12589,27.22
1.75015,0.0817,1.12586,27.25
1.76973,0.0818,1.12582,27.28
1.78928,0.0819,1.12579,27.3
1.8088,0.082,1.12576,27.33
1.82829,0.0821,1.12573,27.36
1.84774,0.0822,1.1257,27.38
1.86716,0.0823,1.12566,27.41
1.88655,0.0824,1.12563,27.44
1.9059,0.0825,1.1256,27.46
1.92522,0.0826,1.12557,27.49
1.94451,0.0827,1.12554,27.52
1.96377,0.0828,1.1255,27.55
1.98299,0.0829,1.12547,27.57
2.00218,0.083,1.12544,27.6
2.02134,0.0831,1.12541,27.63
2.04047,0.0832,1.12538,27.65
2.05957,0.0833,1.12534,27.68
2.07863,0.0834,1.12531,27.71
2.09767,0.0835,1.12528,27.73
2.11667,0.0836,1.12525,27.76
2.13564,0.0837,1.12522,27.79
2.15458,0.0838,1.12518,27.82
2.17348,0.0839,1.12515,27.84
2.19236,0.084,1.12512,27.87
2.2112,0.0841,1.12509,27.9
2.23002,0.0842,1.12506,27.92
2.2488,0.0843,1.12502,27.95
2.26755,0.0844,1.12499,27.98
2.28627,0.0845,1.12496,28.0
